callithrix_jacchus ENSCJAG00000043602
saimiri_boliviensis_boliviensis ENSSBOG00000023260
cebus_capucinus_imitator ENSCCAG00000035007
rhinopithecus_roxellana ENSRROG00000044193
rhinopithecus_bieti ENSRBIG00000029011
colobus_angolensis_palliatus ENSCANG00000035427
piliocolobus_tephrosceles ENSPTEG00000031578
papio_anubis ENSPANG00000019785
theropithecus_gelada ENSTGEG00000022334
cercocebus_atys ENSCATG00000036171
mandrillus_leucophaeus ENSMLEG00000030285
macaca_mulatta ENSMMUG00000046862
macaca_nemestrina ENSMNEG00000030136
macaca_fascicularis ENSMFAG00000039339
chlorocebus_sabaeus ENSCSAG00000009896
homo_sapiens ENSG00000240204
pongo_abelii ENSPPYG00000029384
pan_troglodytes ENSPTRG00000048623
pan_troglodytes ENSPTRG00000052315
gorilla_gorilla ENSGGOG00000038256
nomascus_leucogenys ENSNLEG00000018605
carlito_syrichta ENSTSYG00000027739
propithecus_coquereli ENSPCOG00000022145
prolemur_simus ENSPSMG00000000049
microcebus_murinus ENSMICG00000045930
spermophilus_dauricus ENSSDAG00000013394
ictidomys_tridecemlineatus ENSSTOG00000027079
marmota_marmota_marmota ENSMMMG00000013716
urocitellus_parryii ENSUPAG00010002197
panthera_pardus ENSPPRG00000001247
panthera_tigris_altaica ENSPTIG00000020786
felis_catus ENSFCAG00000039173
canis_lupus_dingo ENSCAFG00020023320
vulpes_vulpes ENSVVUG00000012317
capra_hircus ENSCHIG00000008143
ovis_aries ENSOARG00000001182
bos_mutus ENSBMUG00000023521
bison_bison_bison ENSBBBG00000014511
ursus_maritimus ENSUMAG00000009222
ursus_americanus ENSUAMG00000000772
mustela_putorius_furo ENSMPUG00000005431
sus_scrofa ENSSSCG00000025967
equus_asinus_asinus ENSEASG00005008773
myotis_lucifugus ENSMLUG00000027572
mus_spicilegus ENSMSIG00000023350
meriones_unguiculatus ENSMUGG00000001763
cricetulus_griseus_crigri-picr ENSCGRG00015026449
peromyscus_maniculatus_bairdii ENSPEMG00000030083
castor_canadensis ENSCCNG00000030194
dasypus_novemcinctus ENSDNOG00000034218
phascolarctos_cinereus ENSPCIG00000028737
ornithorhynchus_anatinus ENSOANG00000011455
gallus_gallus ENSGALG00000047596
coturnix_japonica ENSCJPG00005000523
numida_meleagris ENSNMEG00000000076
anser_brachyrhynchus ENSABRG00000006769
calidris_pygmaea ENSCPGG00000005252
calidris_pugnax ENSCPUG00000004946
melopsittacus_undulatus ENSMUNG00000001490
apteryx_owenii ENSAOWG00000013588
apteryx_haastii ENSAHAG00000000658
apteryx_rowi ENSARWG00000014696
nothoprocta_perdicaria ENSNPEG00000015508
dromaius_novaehollandiae ENSDNVG00000006242
crocodylus_porosus ENSCPRG00005002340
chrysemys_picta_bellii ENSCPBG00000017525
chelonoidis_abingdonii ENSCABG00000010138
pogona_vitticeps ENSPVIG00000008706
notechis_scutatus ENSNSUG00000012644
salvator_merianae ENSSMRG00000013546
pygocentrus_nattereri ENSPNAG00000029660
danio_rerio ENSDARG00000107526
maylandia_zebra ENSMZEG00005011842
astatotilapia_calliptera ENSACLG00000003057
pundamilia_nyererei ENSPNYG00000006964
haplochromis_burtoni ENSHBUG00000004872
neolamprologus_brichardi ENSNBRG00000000331
amphiprion_percula ENSAPEG00000015470
scophthalmus_maximus ENSSMAG00000019913
scleropages_formosus ENSSFOG00015003728
