apteryx_owenii ENSAOWG00000019067
apteryx_haastii ENSAHAG00000007577
apteryx_rowi ENSARWG00000003053
dromaius_novaehollandiae ENSDNVG00000007554
nothoprocta_perdicaria ENSNPEG00000008810
melopsittacus_undulatus ENSMUNG00000014318
melopsittacus_undulatus ENSMUNG00000012023
calidris_pygmaea ENSCPGG00000003319
calidris_pugnax ENSCPUG00000000423
taeniopygia_guttata ENSTGUG00000001636
lonchura_striata_domestica ENSLSDG00000018066
serinus_canaria ENSSCAG00000004374
zonotrichia_albicollis ENSZALG00000003278
junco_hyemalis ENSJHYG00000000354
taeniopygia_guttata ENSTGUG00000001639
cyanistes_caeruleus ENSCCEG00000022134
parus_major ENSPMJG00000001020
ficedula_albicollis ENSFALG00000008373
lepidothrix_coronata ENSLCOG00000011667
manacus_vitellinus ENSMVIG00005006170
gallus_gallus ENSGALG00000028501
coturnix_japonica ENSCJPG00005001538
meleagris_gallopavo ENSMGAG00000009956
numida_meleagris ENSNMEG00000018990
anser_brachyrhynchus ENSABRG00000014286
anas_platyrhynchos_platyrhynchos ENSAPLG00000012557
crocodylus_porosus ENSCPRG00005006909
chelonoidis_abingdonii ENSCABG00000010043
gopherus_agassizii ENSGAGG00000015916
chrysemys_picta_bellii ENSCPBG00000019509
pelodiscus_sinensis ENSPSIG00000014315
sphenodon_punctatus ENSSPUG00000007607
anolis_carolinensis ENSACAG00000012976
pogona_vitticeps ENSPVIG00000012110
notechis_scutatus ENSNSUG00000002895
salvator_merianae ENSSMRG00000008477
loxodonta_africana ENSLAFG00000016875
echinops_telfairi ENSETEG00000005698
dasypus_novemcinctus ENSDNOG00000049158
myotis_lucifugus ENSMLUG00000005844
pteropus_vampyrus ENSPVAG00000004341
tursiops_truncatus ENSTTRG00000008416
vicugna_pacos ENSVPAG00000011894
bos_mutus ENSBMUG00000007167
bos_taurus ENSBTAG00000012397
bison_bison_bison ENSBBBG00000015339
capra_hircus ENSCHIG00000025212
ovis_aries ENSOARG00000012101
equus_caballus ENSECAG00000021782
equus_asinus_asinus ENSEASG00005016679
erinaceus_europaeus ENSEEUG00000012004
sorex_araneus ENSSARG00000001769
neovison_vison ENSNVIG00000016296
mustela_putorius_furo ENSMPUG00000009380
ursus_americanus ENSUAMG00000027353
ursus_maritimus ENSUMAG00000003772
ailuropoda_melanoleuca ENSAMEG00000005937
canis_lupus_familiaris ENSCAFG00000002931
canis_lupus_dingo ENSCAFG00020027050
vulpes_vulpes ENSVVUG00000004114
panthera_tigris_altaica ENSPTIG00000011409
panthera_pardus ENSPPRG00000001003
felis_catus ENSFCAG00000022606
piliocolobus_tephrosceles ENSPTEG00000010303
jaculus_jaculus ENSJJAG00000013739
tupaia_belangeri ENSTBEG00000010389
sus_scrofa ENSSSCG00000008942
oryctolagus_cuniculus ENSOCUG00000001265
dipodomys_ordii ENSDORG00000009073
choloepus_hoffmanni ENSCHOG00000010685
microcebus_murinus ENSMICG00000006474
prolemur_simus ENSPSMG00000014281
otolemur_garnettii ENSOGAG00000007826
homo_sapiens ENSG00000156136
gorilla_gorilla ENSGGOG00000008454
pongo_abelii ENSPPYG00000014814
chlorocebus_sabaeus ENSCSAG00000004847
pan_troglodytes ENSPTRG00000016139
pan_paniscus ENSPPAG00000036099
gorilla_gorilla ENSGGOG00000027305
nomascus_leucogenys ENSNLEG00000007725
papio_anubis ENSPANG00000006080
mandrillus_leucophaeus ENSMLEG00000028819
macaca_fascicularis ENSMFAG00000000944
macaca_nemestrina ENSMNEG00000027583
macaca_mulatta ENSMMUG00000030280
theropithecus_gelada ENSTGEG00000016079
cercocebus_atys ENSCATG00000022131
rhinopithecus_bieti ENSRBIG00000009551
rhinopithecus_roxellana ENSRROG00000039889
colobus_angolensis_palliatus ENSCANG00000034552
cebus_capucinus_imitator ENSCCAG00000023766
saimiri_boliviensis_boliviensis ENSSBOG00000029603
callithrix_jacchus ENSCJAG00000046940
aotus_nancymaae ENSANAG00000030474
ictidomys_tridecemlineatus ENSSTOG00000011578
urocitellus_parryii ENSUPAG00010011053
spermophilus_dauricus ENSSDAG00000024552
marmota_marmota_marmota ENSMMMG00000024680
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000000874
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005799
fukomys_damarensis ENSFDAG00000010163
cavia_porcellus ENSCPOG00000004384
