amphilophus_citrinellus ENSACIG00000020625
anabas_testudineus ENSATEG00000012413
oryzias_latipes_asm223471v1 ENSORLG00020022158
oryzias_latipes_asm223467v1 ENSORLG00000030221
oryzias_latipes_asm223469v1 ENSORLG00015015227
oryzias_melastigma ENSOMEG00000009972
astatotilapia_calliptera ENSACLG00000001468
anabas_testudineus ENSATEG00000002611
anabas_testudineus ENSATEG00000018576
anabas_testudineus ENSATEG00000024922
anabas_testudineus ENSATEG00000011654
anabas_testudineus ENSATEG00000000694
anabas_testudineus ENSATEG00000003048
maylandia_zebra ENSMZEG00005002505
neolamprologus_brichardi ENSNBRG00000010264
mastacembelus_armatus ENSMAMG00000010461
amphiprion_ocellaris ENSAOCG00000000131
amphiprion_percula ENSAPEG00000017556
stegastes_partitus ENSSPAG00000008886
acanthochromis_polyacanthus ENSAPOG00000022202
xiphophorus_maculatus ENSXMAG00000022190
scophthalmus_maximus ENSSMAG00000002575
monopterus_albus ENSMALG00000002459
