pan_troglodytes ENSPTRG00000048027
pan_paniscus ENSPPAG00000032417
gorilla_gorilla ENSGGOG00000043826
aotus_nancymaae ENSANAG00000020553
rhinopithecus_roxellana ENSRROG00000040060
rhinopithecus_bieti ENSRBIG00000029367
aotus_nancymaae ENSANAG00000024623
jaculus_jaculus ENSJJAG00000010886
jaculus_jaculus ENSJJAG00000017894
ictidomys_tridecemlineatus ENSSTOG00000034817
capra_hircus ENSCHIG00000017005
capra_hircus ENSCHIG00000020366
papio_anubis ENSPANG00000035340
cercocebus_atys ENSCATG00000029358
mandrillus_leucophaeus ENSMLEG00000032940
macaca_fascicularis ENSMFAG00000030699
macaca_nemestrina ENSMNEG00000045503
rhinopithecus_roxellana ENSRROG00000006858
rhinopithecus_bieti ENSRBIG00000029504
macaca_nemestrina ENSMNEG00000034959
cercocebus_atys ENSCATG00000043991
pan_paniscus ENSPPAG00000027243
gorilla_gorilla ENSGGOG00000038423
microcebus_murinus ENSMICG00000043208
microcebus_murinus ENSMICG00000045235
propithecus_coquereli ENSPCOG00000022163
microcebus_murinus ENSMICG00000045227
microcebus_murinus ENSMICG00000026375
propithecus_coquereli ENSPCOG00000016755
propithecus_coquereli ENSPCOG00000017953
chinchilla_lanigera ENSCLAG00000005116
sus_scrofa ENSSSCG00000034663
