homo_sapiens ENSG00000279170
pan_paniscus ENSPPAG00000032827
pan_troglodytes ENSPTRG00000052330
gorilla_gorilla ENSGGOG00000022586
nomascus_leucogenys ENSNLEG00000027493
macaca_fascicularis ENSMFAG00000042059
macaca_nemestrina ENSMNEG00000028023
cercocebus_atys ENSCATG00000029496
mandrillus_leucophaeus ENSMLEG00000031751
papio_anubis ENSPANG00000029462
colobus_angolensis_palliatus ENSCANG00000030034
piliocolobus_tephrosceles ENSPTEG00000005955
callithrix_jacchus ENSCJAG00000031571
carlito_syrichta ENSTSYG00000028784
propithecus_coquereli ENSPCOG00000027118
prolemur_simus ENSPSMG00000008114
microcebus_murinus ENSMICG00000037658
panthera_pardus ENSPPRG00000023365
panthera_tigris_altaica ENSPTIG00000018302
felis_catus ENSFCAG00000026591
bison_bison_bison ENSBBBG00000008950
bos_mutus ENSBMUG00000025494
sphenodon_punctatus ENSSPUG00000002226
