mastacembelus_armatus ENSMAMG00000011255
monopterus_albus ENSMALG00000016080
anabas_testudineus ENSATEG00000021633
seriola_lalandi_dorsalis ENSSLDG00000020439
seriola_lalandi_dorsalis ENSSLDG00000005328
seriola_lalandi_dorsalis ENSSLDG00000005951
seriola_lalandi_dorsalis ENSSLDG00000024134
seriola_dumerili ENSSDUG00000015378
gasterosteus_aculeatus ENSGACG00000006222
tetraodon_nigroviridis ENSTNIG00000006064
takifugu_rubripes ENSTRUG00000018361
mola_mola ENSMMOG00000004229
labrus_bergylta ENSLBEG00000020500
hippocampus_comes ENSHCOG00000017417
scophthalmus_maximus ENSSMAG00000020073
cynoglossus_semilaevis ENSCSEG00000019283
cyprinodon_variegatus ENSCVAG00000013569
cyprinodon_variegatus ENSCVAG00000012897
fundulus_heteroclitus ENSFHEG00000002267
xiphophorus_maculatus ENSXMAG00000010103
xiphophorus_couchianus ENSXCOG00000010978
poecilia_latipinna ENSPLAG00000022411
poecilia_mexicana ENSPMEG00000018300
poecilia_formosa ENSPFOG00000014515
poecilia_reticulata ENSPREG00000021614
gambusia_affinis ENSGAFG00000010197
kryptolebias_marmoratus ENSKMAG00000009751
oryzias_latipes_asm223471v1 ENSORLG00020006784
oryzias_latipes_asm223467v1 ENSORLG00000011217
oryzias_latipes_asm223469v1 ENSORLG00015004460
oryzias_melastigma ENSOMEG00000010434
amphiprion_percula ENSAPEG00000013241
amphiprion_ocellaris ENSAOCG00000012487
acanthochromis_polyacanthus ENSAPOG00000016317
stegastes_partitus ENSSPAG00000021668
stegastes_partitus ENSSPAG00000016857
maylandia_zebra ENSMZEG00005004781
pundamilia_nyererei ENSPNYG00000015674
astatotilapia_calliptera ENSACLG00000026807
haplochromis_burtoni ENSHBUG00000003861
neolamprologus_brichardi ENSNBRG00000019891
oreochromis_niloticus ENSONIG00000008946
amphilophus_citrinellus ENSACIG00000010074
periophthalmus_magnuspinnatus ENSPMGG00000016065
gadus_morhua ENSGMOG00000018637
esox_lucius ENSELUG00000018947
pygocentrus_nattereri ENSPNAG00000025929
astyanax_mexicanus ENSAMXG00000010664
ictalurus_punctatus ENSIPUG00000008433
danio_rerio ENSDARG00000075159
paramormyrops_kingsleyae ENSPKIG00000012270
scleropages_formosus ENSSFOG00015017465
lepisosteus_oculatus ENSLOCG00000001493
pogona_vitticeps ENSPVIG00000016835
anolis_carolinensis ENSACAG00000015714
notechis_scutatus ENSNSUG00000019728
salvator_merianae ENSSMRG00000016028
sphenodon_punctatus ENSSPUG00000016521
gopherus_agassizii ENSGAGG00000019709
chelonoidis_abingdonii ENSCABG00000011945
chrysemys_picta_bellii ENSCPBG00000011365
pelodiscus_sinensis ENSPSIG00000006993
anser_brachyrhynchus ENSABRG00000017117
anas_platyrhynchos_platyrhynchos ENSAPLG00000006097
gallus_gallus ENSGALG00000006855
meleagris_gallopavo ENSMGAG00000006732
coturnix_japonica ENSCJPG00005012469
numida_meleagris ENSNMEG00000013050
zonotrichia_albicollis ENSZALG00000012622
junco_hyemalis ENSJHYG00000005312
serinus_canaria ENSSCAG00000015485
taeniopygia_guttata ENSTGUG00000008871
lonchura_striata_domestica ENSLSDG00000010287
parus_major ENSPMJG00000018621
cyanistes_caeruleus ENSCCEG00000014850
ficedula_albicollis ENSFALG00000007108
lepidothrix_coronata ENSLCOG00000000830
manacus_vitellinus ENSMVIG00005005036
melopsittacus_undulatus ENSMUNG00000011079
calidris_pygmaea ENSCPGG00000014606
calidris_pugnax ENSCPUG00000017217
apteryx_owenii ENSAOWG00000000740
apteryx_rowi ENSARWG00000006451
apteryx_haastii ENSAHAG00000016295
dromaius_novaehollandiae ENSDNVG00000016267
nothoprocta_perdicaria ENSNPEG00000004721
phascolarctos_cinereus ENSPCIG00000021411
notamacropus_eugenii ENSMEUG00000016023
monodelphis_domestica ENSMODG00000020511
ovis_aries ENSOARG00000020373
capra_hircus ENSCHIG00000024175
bos_taurus ENSBTAG00000002998
bos_mutus ENSBMUG00000021570
bison_bison_bison ENSBBBG00000010630
tursiops_truncatus ENSTTRG00000012374
sus_scrofa ENSSSCG00000011837
vicugna_pacos ENSVPAG00000010373
erinaceus_europaeus ENSEEUG00000006697
pteropus_vampyrus ENSPVAG00000012943
myotis_lucifugus ENSMLUG00000008268
ursus_maritimus ENSUMAG00000003078
ursus_americanus ENSUAMG00000023882
ailuropoda_melanoleuca ENSAMEG00000003605
neovison_vison ENSNVIG00000007908
