homo_sapiens ENSG00000173530
gorilla_gorilla ENSGGOG00000008019
pan_paniscus ENSPPAG00000034029
pan_troglodytes ENSPTRG00000031023
pongo_abelii ENSPPYG00000018433
nomascus_leucogenys ENSNLEG00000033814
piliocolobus_tephrosceles ENSPTEG00000027452
colobus_angolensis_palliatus ENSCANG00000039843
rhinopithecus_roxellana ENSRROG00000038394
piliocolobus_tephrosceles ENSPTEG00000027404
rhinopithecus_bieti ENSRBIG00000041979
macaca_fascicularis ENSMFAG00000029610
macaca_mulatta ENSMMUG00000016649
macaca_nemestrina ENSMNEG00000042359
mandrillus_leucophaeus ENSMLEG00000041434
cercocebus_atys ENSCATG00000043425
papio_anubis ENSPANG00000007325
chlorocebus_sabaeus ENSCSAG00000016271
aotus_nancymaae ENSANAG00000024101
callithrix_jacchus ENSCJAG00000048444
