oryzias_melastigma ENSOMEG00000009769
oryzias_latipes_asm223469v1 ENSORLG00015010288
acanthochromis_polyacanthus ENSAPOG00000016750
stegastes_partitus ENSSPAG00000022128
cyprinodon_variegatus ENSCVAG00000018997
cynoglossus_semilaevis ENSCSEG00000020170
periophthalmus_magnuspinnatus ENSPMGG00000022192
gasterosteus_aculeatus ENSGACG00000011174
labrus_bergylta ENSLBEG00000006969
takifugu_rubripes ENSTRUG00000024029
seriola_dumerili ENSSDUG00000000040
maylandia_zebra ENSMZEG00005009424
pundamilia_nyererei ENSPNYG00000021775
amphilophus_citrinellus ENSACIG00000008912
kryptolebias_marmoratus ENSKMAG00000022292
hippocampus_comes ENSHCOG00000002446
