bos_mutus ENSBMUG00000003939
bos_taurus ENSBTAG00000011510
bison_bison_bison ENSBBBG00000005697
capra_hircus ENSCHIG00000008381
ovis_aries ENSOARG00000013857
sus_scrofa ENSSSCG00000040427
sus_scrofa ENSSSCG00000037414
sus_scrofa ENSSSCG00000039081
ursus_maritimus ENSUMAG00000010463
ailuropoda_melanoleuca ENSAMEG00000018709
mustela_putorius_furo ENSMPUG00000019602
neovison_vison ENSNVIG00000007592
canis_lupus_dingo ENSCAFG00020009740
canis_lupus_familiaris ENSCAFG00000014097
panthera_pardus ENSPPRG00000020511
felis_catus ENSFCAG00000027347
equus_caballus ENSECAG00000006538
equus_asinus_asinus ENSEASG00005017426
myotis_lucifugus ENSMLUG00000029670
cricetulus_griseus_crigri-picr ENSCGRG00015001574
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014606
peromyscus_maniculatus_bairdii ENSPEMG00000012647
mus_spicilegus ENSMSIG00000018921
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000048080
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020077
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019187
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0030206
rattus_norvegicus ENSRNOG00000012526
meriones_unguiculatus ENSMUGG00000012361
chinchilla_lanigera ENSCLAG00000017460
castor_canadensis ENSCCNG00000014155
marmota_marmota_marmota ENSMMMG00000001472
urocitellus_parryii ENSUPAG00010008323
spermophilus_dauricus ENSSDAG00000019320
ictidomys_tridecemlineatus ENSSTOG00000028330
oryctolagus_cuniculus ENSOCUG00000026375
prolemur_simus ENSPSMG00000021644
otolemur_garnettii ENSOGAG00000028252
theropithecus_gelada ENSTGEG00000013804
loxodonta_africana ENSLAFG00000032077
sarcophilus_harrisii ENSSHAG00000008835
monodelphis_domestica ENSMODG00000007775
