macaca_nemestrina ENSMNEG00000033234
macaca_mulatta ENSMMUG00000021748
macaca_fascicularis ENSMFAG00000031514
papio_anubis ENSPANG00000034010
mandrillus_leucophaeus ENSMLEG00000011472
cercocebus_atys ENSCATG00000044826
rhinopithecus_bieti ENSRBIG00000040958
rhinopithecus_roxellana ENSRROG00000031314
colobus_angolensis_palliatus ENSCANG00000033609
pan_paniscus ENSPPAG00000037211
pan_troglodytes ENSPTRG00000013904
gorilla_gorilla ENSGGOG00000024462
pongo_abelii ENSPPYG00000011415
nomascus_leucogenys ENSNLEG00000031686
