rhinopithecus_bieti ENSRBIG00000026615
rhinopithecus_roxellana ENSRROG00000039778
colobus_angolensis_palliatus ENSCANG00000029666
mandrillus_leucophaeus ENSMLEG00000040231
theropithecus_gelada ENSTGEG00000006760
macaca_fascicularis ENSMFAG00000002943
macaca_nemestrina ENSMNEG00000019424
macaca_mulatta ENSMMUG00000039264
papio_anubis ENSPANG00000023193
cercocebus_atys ENSCATG00000041413
chlorocebus_sabaeus ENSCSAG00000010312
pan_troglodytes ENSPTRG00000050628
pan_paniscus ENSPPAG00000038451
gorilla_gorilla ENSGGOG00000027420
nomascus_leucogenys ENSNLEG00000027693
cebus_capucinus_imitator ENSCCAG00000034049
saimiri_boliviensis_boliviensis ENSSBOG00000032215
callithrix_jacchus ENSCJAG00000046409
aotus_nancymaae ENSANAG00000032716
tupaia_belangeri ENSTBEG00000014431
panthera_pardus ENSPPRG00000010168
