astatotilapia_calliptera ENSACLG00000024188
maylandia_zebra ENSMZEG00005004338
neolamprologus_brichardi ENSNBRG00000001413
pundamilia_nyererei ENSPNYG00000004024
amphilophus_citrinellus ENSACIG00000014738
fundulus_heteroclitus ENSFHEG00000010928
cyprinodon_variegatus ENSCVAG00000009185
xiphophorus_couchianus ENSXCOG00000014550
xiphophorus_maculatus ENSXMAG00000029356
gambusia_affinis ENSGAFG00000017370
poecilia_formosa ENSPFOG00000024805
poecilia_latipinna ENSPLAG00000000039
poecilia_mexicana ENSPMEG00000005540
mastacembelus_armatus ENSMAMG00000013149
monopterus_albus ENSMALG00000003837
seriola_lalandi_dorsalis ENSSLDG00000015527
seriola_dumerili ENSSDUG00000008679
gasterosteus_aculeatus ENSGACG00000018798
