lepisosteus_oculatus ENSLOCG00000006233
latimeria_chalumnae ENSLACG00000017422
phascolarctos_cinereus ENSPCIG00000019756
notamacropus_eugenii ENSMEUG00000003723
sarcophilus_harrisii ENSSHAG00000017652
monodelphis_domestica ENSMODG00000012449
ornithorhynchus_anatinus ENSOANG00000014781
ornithorhynchus_anatinus ENSOANG00000019908
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024342
mus_spicilegus ENSMSIG00000012907
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000039254
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023425
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0024882
rattus_norvegicus ENSRNOG00000010477
meriones_unguiculatus ENSMUGG00000011468
microtus_ochrogaster ENSMOCG00000022108
peromyscus_maniculatus_bairdii ENSPEMG00000011414
cricetulus_griseus_crigri-picr ENSCGRG00015009775
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019065
cricetulus_griseus_crigri_1.0 ENSCGRG00000012249
mesocricetus_auratus ENSMAUG00000014110
nannospalax_galili ENSNGAG00000008179
jaculus_jaculus ENSJJAG00000019337
castor_canadensis ENSCCNG00000000883
ictidomys_tridecemlineatus ENSSTOG00000004011
spermophilus_dauricus ENSSDAG00000015967
urocitellus_parryii ENSUPAG00010023169
marmota_marmota_marmota ENSMMMG00000011692
propithecus_coquereli ENSPCOG00000024209
prolemur_simus ENSPSMG00000017780
microcebus_murinus ENSMICG00000004891
otolemur_garnettii ENSOGAG00000012801
carlito_syrichta ENSTSYG00000008613
pan_paniscus ENSPPAG00000027406
pan_troglodytes ENSPTRG00000021488
homo_sapiens ENSG00000130714
gorilla_gorilla ENSGGOG00000012525
pongo_abelii ENSPPYG00000019703
nomascus_leucogenys ENSNLEG00000012757
macaca_fascicularis ENSMFAG00000038316
macaca_mulatta ENSMMUG00000009975
macaca_nemestrina ENSMNEG00000041652
papio_anubis ENSPANG00000025980
theropithecus_gelada ENSTGEG00000014435
cercocebus_atys ENSCATG00000037841
mandrillus_leucophaeus ENSMLEG00000041486
chlorocebus_sabaeus ENSCSAG00000014870
rhinopithecus_roxellana ENSRROG00000035096
rhinopithecus_bieti ENSRBIG00000041158
colobus_angolensis_palliatus ENSCANG00000032532
cebus_capucinus_imitator ENSCCAG00000021653
saimiri_boliviensis_boliviensis ENSSBOG00000030442
callithrix_jacchus ENSCJAG00000008387
aotus_nancymaae ENSANAG00000021615
piliocolobus_tephrosceles ENSPTEG00000004323
loxodonta_africana ENSLAFG00000021539
procavia_capensis ENSPCAG00000006350
echinops_telfairi ENSETEG00000016730
dasypus_novemcinctus ENSDNOG00000049744
choloepus_hoffmanni ENSCHOG00000012596
pteropus_vampyrus ENSPVAG00000004244
myotis_lucifugus ENSMLUG00000001249
capra_hircus ENSCHIG00000024383
ovis_aries ENSOARG00000006744
bos_taurus ENSBTAG00000010805
bison_bison_bison ENSBBBG00000009666
bos_mutus ENSBMUG00000005586
tursiops_truncatus ENSTTRG00000009168
sus_scrofa ENSSSCG00000005716
ursus_maritimus ENSUMAG00000017298
ursus_americanus ENSUAMG00000008837
ailuropoda_melanoleuca ENSAMEG00000016384
neovison_vison ENSNVIG00000018225
mustela_putorius_furo ENSMPUG00000012587
canis_lupus_familiaris ENSCAFG00000019905
canis_lupus_dingo ENSCAFG00020024466
vulpes_vulpes ENSVVUG00000028093
panthera_pardus ENSPPRG00000004061
panthera_tigris_altaica ENSPTIG00000009105
felis_catus ENSFCAG00000008385
