bison_bison_bison ENSBBBG00000002437
bos_mutus ENSBMUG00000006803
panthera_pardus ENSPPRG00000012002
felis_catus ENSFCAG00000042361
pan_paniscus ENSPPAG00000032888
pan_troglodytes ENSPTRG00000041734
homo_sapiens ENSG00000244025
macaca_fascicularis ENSMFAG00000042867
macaca_nemestrina ENSMNEG00000030821
macaca_mulatta ENSMMUG00000023347
chlorocebus_sabaeus ENSCSAG00000009344
papio_anubis ENSPANG00000005500
cercocebus_atys ENSCATG00000038578
mandrillus_leucophaeus ENSMLEG00000027934
colobus_angolensis_palliatus ENSCANG00000032353
callithrix_jacchus ENSCJAG00000038921
carlito_syrichta ENSTSYG00000019542
