xiphophorus_maculatus ENSXMAG00000023055
poecilia_mexicana ENSPMEG00000014838
fundulus_heteroclitus ENSFHEG00000009630
maylandia_zebra ENSMZEG00005017305
astatotilapia_calliptera ENSACLG00000004007
hippocampus_comes ENSHCOG00000008238
oryzias_melastigma ENSOMEG00000018546
gambusia_affinis ENSGAFG00000016753
astatotilapia_calliptera ENSACLG00000016981
pundamilia_nyererei ENSPNYG00000014749
mola_mola ENSMMOG00000002890
dipodomys_ordii ENSDORG00000024721
microtus_ochrogaster ENSMOCG00000009001
notechis_scutatus ENSNSUG00000013971
