choloepus_hoffmanni ENSCHOG00000000838
dasypus_novemcinctus ENSDNOG00000012407
capra_hircus ENSCHIG00000025039
ovis_aries ENSOARG00000018373
bos_taurus ENSBTAG00000010533
bos_mutus ENSBMUG00000014037
bison_bison_bison ENSBBBG00000000577
tursiops_truncatus ENSTTRG00000011364
sus_scrofa ENSSSCG00000025780
vicugna_pacos ENSVPAG00000011043
ursus_americanus ENSUAMG00000015503
ursus_maritimus ENSUMAG00000017004
ailuropoda_melanoleuca ENSAMEG00000001545
mustela_putorius_furo ENSMPUG00000012403
neovison_vison ENSNVIG00000004205
canis_lupus_familiaris ENSCAFG00000001732
canis_lupus_dingo ENSCAFG00020004587
vulpes_vulpes ENSVVUG00000023533
panthera_pardus ENSPPRG00000023113
panthera_tigris_altaica ENSPTIG00000004430
felis_catus ENSFCAG00000003298
pteropus_vampyrus ENSPVAG00000011411
myotis_lucifugus ENSMLUG00000001977
equus_asinus_asinus ENSEASG00005018962
equus_caballus ENSECAG00000023930
erinaceus_europaeus ENSEEUG00000004516
cricetulus_griseus_crigri_1.0 ENSCGRG00000005431
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014475
cricetulus_griseus_crigri-picr ENSCGRG00015018541
microtus_ochrogaster ENSMOCG00000005178
peromyscus_maniculatus_bairdii ENSPEMG00000019138
mesocricetus_auratus ENSMAUG00000011338
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032351
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000034518
mus_spicilegus ENSMSIG00000010412
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031230
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021695
rattus_norvegicus ENSRNOG00000013878
meriones_unguiculatus ENSMUGG00000001820
nannospalax_galili ENSNGAG00000000700
jaculus_jaculus ENSJJAG00000000668
spermophilus_dauricus ENSSDAG00000024557
ictidomys_tridecemlineatus ENSSTOG00000009433
urocitellus_parryii ENSUPAG00010000921
marmota_marmota_marmota ENSMMMG00000016847
castor_canadensis ENSCCNG00000021615
