pteropus_vampyrus ENSPVAG00000011998
myotis_lucifugus ENSMLUG00000030019
bos_mutus ENSBMUG00000000160
bos_taurus ENSBTAG00000016765
bison_bison_bison ENSBBBG00000000393
capra_hircus ENSCHIG00000015818
ovis_aries ENSOARG00000016895
tursiops_truncatus ENSTTRG00000008880
equus_asinus_asinus ENSEASG00005017064
ursus_americanus ENSUAMG00000026472
ursus_maritimus ENSUMAG00000010728
canis_lupus_dingo ENSCAFG00020014011
panthera_pardus ENSPPRG00000001575
panthera_tigris_altaica ENSPTIG00000016019
felis_catus ENSFCAG00000010804
sorex_araneus ENSSARG00000009092
saimiri_boliviensis_boliviensis ENSSBOG00000030037
cebus_capucinus_imitator ENSCCAG00000033696
callithrix_jacchus ENSCJAG00000015342
aotus_nancymaae ENSANAG00000021058
pan_troglodytes ENSPTRG00000019489
pan_troglodytes ENSPTRG00000051610
pan_paniscus ENSPPAG00000043014
homo_sapiens ENSG00000185955
gorilla_gorilla ENSGGOG00000000932
pongo_abelii ENSPPYG00000017413
nomascus_leucogenys ENSNLEG00000011743
piliocolobus_tephrosceles ENSPTEG00000024652
colobus_angolensis_palliatus ENSCANG00000030593
rhinopithecus_bieti ENSRBIG00000024588
rhinopithecus_roxellana ENSRROG00000031497
cercocebus_atys ENSCATG00000045016
chlorocebus_sabaeus ENSCSAG00000017898
mandrillus_leucophaeus ENSMLEG00000039527
papio_anubis ENSPANG00000026465
macaca_fascicularis ENSMFAG00000001229
macaca_mulatta ENSMMUG00000030395
macaca_nemestrina ENSMNEG00000027949
carlito_syrichta ENSTSYG00000025745
otolemur_garnettii ENSOGAG00000011019
propithecus_coquereli ENSPCOG00000028301
mesocricetus_auratus ENSMAUG00000001031
microtus_ochrogaster ENSMOCG00000011038
rattus_norvegicus ENSRNOG00000046006
nannospalax_galili ENSNGAG00000019954
spermophilus_dauricus ENSSDAG00000021745
marmota_marmota_marmota ENSMMMG00000012379
urocitellus_parryii ENSUPAG00010017949
ictidomys_tridecemlineatus ENSSTOG00000007599
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100013798
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000016122
chinchilla_lanigera ENSCLAG00000016063
oryctolagus_cuniculus ENSOCUG00000024411
ochotona_princeps ENSOPRG00000014838
tupaia_belangeri ENSTBEG00000008744
procavia_capensis ENSPCAG00000001684
echinops_telfairi ENSETEG00000017721
dasypus_novemcinctus ENSDNOG00000040221
