sarcophilus_harrisii ENSSHAG00000015432
monodelphis_domestica ENSMODG00000025417
piliocolobus_tephrosceles ENSPTEG00000013746
rhinopithecus_roxellana ENSRROG00000040958
macaca_mulatta ENSMMUG00000021006
theropithecus_gelada ENSTGEG00000013321
chlorocebus_sabaeus ENSCSAG00000000509
gorilla_gorilla ENSGGOG00000008193
homo_sapiens ENSG00000164185
pan_paniscus ENSPPAG00000024398
pongo_abelii ENSPPYG00000015716
cebus_capucinus_imitator ENSCCAG00000031890
saimiri_boliviensis_boliviensis ENSSBOG00000021556
callithrix_jacchus ENSCJAG00000017194
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023186
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000046886
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022273
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0019006
meriones_unguiculatus ENSMUGG00000011697
cricetulus_griseus_crigri-picr ENSCGRG00015006523
cricetulus_griseus_crigri_1.0 ENSCGRG00000006080
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001002746
neovison_vison ENSNVIG00000020736
