anabas_testudineus ENSATEG00000011101
mastacembelus_armatus ENSMAMG00000015256
seriola_dumerili ENSSDUG00000005161
pundamilia_nyererei ENSPNYG00000000958
astatotilapia_calliptera ENSACLG00000003810
neolamprologus_brichardi ENSNBRG00000006557
scophthalmus_maximus ENSSMAG00000018829
periophthalmus_magnuspinnatus ENSPMGG00000011494
lepidothrix_coronata ENSLCOG00000006664
manacus_vitellinus ENSMVIG00005016042
apteryx_owenii ENSAOWG00000013004
amphiprion_ocellaris ENSAOCG00000011291
acanthochromis_polyacanthus ENSAPOG00000010291
stegastes_partitus ENSSPAG00000013325
haplochromis_burtoni ENSHBUG00000016302
pundamilia_nyererei ENSPNYG00000009385
neolamprologus_brichardi ENSNBRG00000002958
amphilophus_citrinellus ENSACIG00000009466
hippocampus_comes ENSHCOG00000006759
periophthalmus_magnuspinnatus ENSPMGG00000021539
danio_rerio ENSDARG00000096411
paramormyrops_kingsleyae ENSPKIG00000025133
paramormyrops_kingsleyae ENSPKIG00000000905
paramormyrops_kingsleyae ENSPKIG00000011253
chrysemys_picta_bellii ENSCPBG00000016125
poecilia_reticulata ENSPREG00000020171
poecilia_reticulata ENSPREG00000000780
oryzias_latipes_asm223471v1 ENSORLG00020014548
oryzias_latipes_asm223471v1 ENSORLG00020013803
oryzias_latipes_asm223469v1 ENSORLG00015022646
oryzias_latipes_asm223471v1 ENSORLG00020001710
amphilophus_citrinellus ENSACIG00000009376
maylandia_zebra ENSMZEG00005026694
oryzias_latipes_asm223469v1 ENSORLG00015017424
drosophila_melanogaster FBgn0040089
