meriones_unguiculatus ENSMUGG00000014462
mus_spicilegus ENSMSIG00000012980
peromyscus_maniculatus_bairdii ENSPEMG00000030678
marmota_marmota_marmota ENSMMMG00000023146
cebus_capucinus_imitator ENSCCAG00000031185
aotus_nancymaae ENSANAG00000021408
rhinopithecus_bieti ENSRBIG00000006061
colobus_angolensis_palliatus ENSCANG00000017938
piliocolobus_tephrosceles ENSPTEG00000027247
macaca_mulatta ENSMMUG00000046405
macaca_fascicularis ENSMFAG00000013097
macaca_nemestrina ENSMNEG00000000753
theropithecus_gelada ENSTGEG00000019052
mandrillus_leucophaeus ENSMLEG00000018361
papio_anubis ENSPANG00000033779
cercocebus_atys ENSCATG00000013628
prolemur_simus ENSPSMG00000009339
felis_catus ENSFCAG00000035404
ursus_americanus ENSUAMG00000018196
sus_scrofa ENSSSCG00000037790
phascolarctos_cinereus ENSPCIG00000002730
nothoprocta_perdicaria ENSNPEG00000010239
