canis_lupus_familiaris ENSCAFG00000019014
panthera_tigris_altaica ENSPTIG00000013782
sorex_araneus ENSSARG00000012391
vicugna_pacos ENSVPAG00000001879
equus_asinus_asinus ENSEASG00005022498
equus_caballus ENSECAG00000027796
pteropus_vampyrus ENSPVAG00000012932
canis_lupus_dingo ENSCAFG00020018663
felis_catus ENSFCAG00000019404
bison_bison_bison ENSBBBG00000022267
bos_mutus ENSBMUG00000019128
capra_hircus ENSCHIG00000025161
ovis_aries ENSOARG00000009226
tursiops_truncatus ENSTTRG00000001724
sus_scrofa ENSSSCG00000035176
ursus_americanus ENSUAMG00000019170
ursus_maritimus ENSUMAG00000007871
ailuropoda_melanoleuca ENSAMEG00000001879
vulpes_vulpes ENSVVUG00000008665
neovison_vison ENSNVIG00000008048
mustela_putorius_furo ENSMPUG00000005111
myotis_lucifugus ENSMLUG00000011454
rhinopithecus_roxellana ENSRROG00000033508
rhinopithecus_bieti ENSRBIG00000031016
colobus_angolensis_palliatus ENSCANG00000037480
mandrillus_leucophaeus ENSMLEG00000044162
aotus_nancymaae ENSANAG00000035307
saimiri_boliviensis_boliviensis ENSSBOG00000028706
propithecus_coquereli ENSPCOG00000009520
echinops_telfairi ENSETEG00000014244
cavia_porcellus ENSCPOG00000002693
fukomys_damarensis ENSFDAG00000017232
chinchilla_lanigera ENSCLAG00000009399
cricetulus_griseus_crigri_1.0 ENSCGRG00000010234
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000008078
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100015842
octodon_degus ENSODEG00000016032
urocitellus_parryii ENSUPAG00010009930
peromyscus_maniculatus_bairdii ENSPEMG00000011380
microtus_ochrogaster ENSMOCG00000011179
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023299
cricetulus_griseus_crigri-picr ENSCGRG00015003399
mesocricetus_auratus ENSMAUG00000008147
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000001227
mus_spicilegus ENSMSIG00000012056
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022679
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021767
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020756
rattus_norvegicus ENSRNOG00000045998
meriones_unguiculatus ENSMUGG00000005130
nannospalax_galili ENSNGAG00000023267
castor_canadensis ENSCCNG00000030230
microcebus_murinus ENSMICG00000033330
prolemur_simus ENSPSMG00000020111
otolemur_garnettii ENSOGAG00000007390
pan_troglodytes ENSPTRG00000010315
pan_paniscus ENSPPAG00000031679
homo_sapiens ENSG00000167680
pongo_abelii ENSPPYG00000009412
nomascus_leucogenys ENSNLEG00000013327
theropithecus_gelada ENSTGEG00000016714
papio_anubis ENSPANG00000014342
cercocebus_atys ENSCATG00000044485
macaca_nemestrina ENSMNEG00000035081
macaca_mulatta ENSMMUG00000023702
macaca_fascicularis ENSMFAG00000031298
chlorocebus_sabaeus ENSCSAG00000010501
piliocolobus_tephrosceles ENSPTEG00000024255
cebus_capucinus_imitator ENSCCAG00000032216
callithrix_jacchus ENSCJAG00000017506
jaculus_jaculus ENSJJAG00000007447
dipodomys_ordii ENSDORG00000001284
ictidomys_tridecemlineatus ENSSTOG00000021893
marmota_marmota_marmota ENSMMMG00000018426
dasypus_novemcinctus ENSDNOG00000025383
procavia_capensis ENSPCAG00000010368
phascolarctos_cinereus ENSPCIG00000012402
notamacropus_eugenii ENSMEUG00000000239
monodelphis_domestica ENSMODG00000024028
sarcophilus_harrisii ENSSHAG00000004700
xenopus_tropicalis ENSXETG00000022081
gopherus_agassizii ENSGAGG00000015894
chelonoidis_abingdonii ENSCABG00000001904
chrysemys_picta_bellii ENSCPBG00000011042
crocodylus_porosus ENSCPRG00005008401
