piliocolobus_tephrosceles ENSPTEG00000015702
cercocebus_atys ENSCATG00000022490
monopterus_albus ENSMALG00000000777
anabas_testudineus ENSATEG00000007498
seriola_lalandi_dorsalis ENSSLDG00000022423
stegastes_partitus ENSSPAG00000018875
amphiprion_percula ENSAPEG00000022805
pundamilia_nyererei ENSPNYG00000020405
haplochromis_burtoni ENSHBUG00000018618
neolamprologus_brichardi ENSNBRG00000009655
oreochromis_niloticus ENSONIG00000003204
poecilia_mexicana ENSPMEG00000021695
poecilia_latipinna ENSPLAG00000009569
poecilia_formosa ENSPFOG00000007185
poecilia_reticulata ENSPREG00000000051
fundulus_heteroclitus ENSFHEG00000012869
kryptolebias_marmoratus ENSKMAG00000008205
oryzias_latipes_asm223471v1 ENSORLG00020011632
oryzias_latipes_asm223467v1 ENSORLG00000009145
oryzias_melastigma ENSOMEG00000021272
tetraodon_nigroviridis ENSTNIG00000019778
cynoglossus_semilaevis ENSCSEG00000002283
hippocampus_comes ENSHCOG00000010272
esox_lucius ENSELUG00000010845
astyanax_mexicanus ENSAMXG00000004240
pygocentrus_nattereri ENSPNAG00000003238
ictalurus_punctatus ENSIPUG00000001442
paramormyrops_kingsleyae ENSPKIG00000008594
pygocentrus_nattereri ENSPNAG00000004212
astyanax_mexicanus ENSAMXG00000015075
danio_rerio ENSDARG00000058574
lepisosteus_oculatus ENSLOCG00000008815
sphenodon_punctatus ENSSPUG00000004372
anolis_carolinensis ENSACAG00000009175
pelodiscus_sinensis ENSPSIG00000014064
ciona_intestinalis ENSCING00000003892
ciona_savignyi ENSCSAVG00000005767
saccharomyces_cerevisiae_strain_s288c YCR011C
