cavia_aperea ENSCAPG00000016582
cavia_porcellus ENSCPOG00000024738
octodon_degus ENSODEG00000001219
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017165
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100011576
fukomys_damarensis ENSFDAG00000016316
chinchilla_lanigera ENSCLAG00000005081
sorex_araneus ENSSARG00000005700
dipodomys_ordii ENSDORG00000013059
castor_canadensis ENSCCNG00000013329
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020658
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000022305
mus_spicilegus ENSMSIG00000010859
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019761
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0019770
rattus_norvegicus ENSRNOG00000004152
meriones_unguiculatus ENSMUGG00000018235
microtus_ochrogaster ENSMOCG00000018668
peromyscus_maniculatus_bairdii ENSPEMG00000008441
cricetulus_griseus_crigri-picr ENSCGRG00015026962
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010635
mesocricetus_auratus ENSMAUG00000015703
nannospalax_galili ENSNGAG00000021837
jaculus_jaculus ENSJJAG00000020477
ictidomys_tridecemlineatus ENSSTOG00000013074
urocitellus_parryii ENSUPAG00010014620
spermophilus_dauricus ENSSDAG00000004255
marmota_marmota_marmota ENSMMMG00000016608
oryctolagus_cuniculus ENSOCUG00000002245
ochotona_princeps ENSOPRG00000006371
pan_troglodytes ENSPTRG00000020497
pan_paniscus ENSPPAG00000039973
homo_sapiens ENSG00000147650
gorilla_gorilla ENSGGOG00000011923
pongo_abelii ENSPPYG00000018813
nomascus_leucogenys ENSNLEG00000003921
colobus_angolensis_palliatus ENSCANG00000032791
piliocolobus_tephrosceles ENSPTEG00000036552
rhinopithecus_roxellana ENSRROG00000024289
rhinopithecus_bieti ENSRBIG00000039602
mandrillus_leucophaeus ENSMLEG00000031518
cercocebus_atys ENSCATG00000028633
macaca_mulatta ENSMMUG00000022789
macaca_fascicularis ENSMFAG00000004646
macaca_nemestrina ENSMNEG00000039254
theropithecus_gelada ENSTGEG00000004749
papio_anubis ENSPANG00000021263
chlorocebus_sabaeus ENSCSAG00000011833
saimiri_boliviensis_boliviensis ENSSBOG00000023275
callithrix_jacchus ENSCJAG00000038802
cebus_capucinus_imitator ENSCCAG00000022730
aotus_nancymaae ENSANAG00000026015
carlito_syrichta ENSTSYG00000034097
prolemur_simus ENSPSMG00000013185
propithecus_coquereli ENSPCOG00000010722
microcebus_murinus ENSMICG00000048008
otolemur_garnettii ENSOGAG00000028805
tupaia_belangeri ENSTBEG00000006735
ailuropoda_melanoleuca ENSAMEG00000005717
ursus_maritimus ENSUMAG00000019948
mustela_putorius_furo ENSMPUG00000015086
neovison_vison ENSNVIG00000001672
canis_lupus_dingo ENSCAFG00020003246
canis_lupus_familiaris ENSCAFG00000000677
vulpes_vulpes ENSVVUG00000017042
panthera_tigris_altaica ENSPTIG00000016992
panthera_pardus ENSPPRG00000009849
felis_catus ENSFCAG00000042764
equus_caballus ENSECAG00000016556
equus_asinus_asinus ENSEASG00005001196
bos_mutus ENSBMUG00000010306
bos_taurus ENSBTAG00000011516
bison_bison_bison ENSBBBG00000002967
ovis_aries ENSOARG00000015579
capra_hircus ENSCHIG00000011346
tursiops_truncatus ENSTTRG00000004328
sus_scrofa ENSSSCG00000006039
vicugna_pacos ENSVPAG00000012371
pteropus_vampyrus ENSPVAG00000009418
dasypus_novemcinctus ENSDNOG00000020002
choloepus_hoffmanni ENSCHOG00000008203
loxodonta_africana ENSLAFG00000008324
procavia_capensis ENSPCAG00000015609
myotis_lucifugus ENSMLUG00000016148
erinaceus_europaeus ENSEEUG00000003350
echinops_telfairi ENSETEG00000014019
phascolarctos_cinereus ENSPCIG00000015354
notamacropus_eugenii ENSMEUG00000012672
sarcophilus_harrisii ENSSHAG00000013457
monodelphis_domestica ENSMODG00000005408
apteryx_haastii ENSAHAG00000018523
apteryx_owenii ENSAOWG00000014076
apteryx_rowi ENSARWG00000005220
nothoprocta_perdicaria ENSNPEG00000015399
dromaius_novaehollandiae ENSDNVG00000005137
junco_hyemalis ENSJHYG00000001977
zonotrichia_albicollis ENSZALG00000009058
serinus_canaria ENSSCAG00000006189
lonchura_striata_domestica ENSLSDG00000004515
taeniopygia_guttata ENSTGUG00000012185
ficedula_albicollis ENSFALG00000006045
parus_major ENSPMJG00000010340
cyanistes_caeruleus ENSCCEG00000002695
lepidothrix_coronata ENSLCOG00000008356
melopsittacus_undulatus ENSMUNG00000004713
calidris_pygmaea ENSCPGG00000007180
calidris_pugnax ENSCPUG00000007048
anser_brachyrhynchus ENSABRG00000014469
anas_platyrhynchos_platyrhynchos ENSAPLG00000000692
meleagris_gallopavo ENSMGAG00000012372
coturnix_japonica ENSCJPG00005000976
gallus_gallus ENSGALG00000033630
numida_meleagris ENSNMEG00000004749
crocodylus_porosus ENSCPRG00005006508
chelonoidis_abingdonii ENSCABG00000002274
gopherus_agassizii ENSGAGG00000017602
chrysemys_picta_bellii ENSCPBG00000026023
pelodiscus_sinensis ENSPSIG00000010561
anolis_carolinensis ENSACAG00000009840
pogona_vitticeps ENSPVIG00000007087
notechis_scutatus ENSNSUG00000012350
salvator_merianae ENSSMRG00000021127
sphenodon_punctatus ENSSPUG00000009260
latimeria_chalumnae ENSLACG00000001459
ornithorhynchus_anatinus ENSOANG00000007212
xenopus_tropicalis ENSXETG00000004065
pygocentrus_nattereri ENSPNAG00000011039
astyanax_mexicanus ENSAMXG00000017000
ictalurus_punctatus ENSIPUG00000018857
danio_rerio ENSDARG00000098845
esox_lucius ENSELUG00000010699
paramormyrops_kingsleyae ENSPKIG00000025594
scleropages_formosus ENSSFOG00015019508
hippocampus_comes ENSHCOG00000018794
periophthalmus_magnuspinnatus ENSPMGG00000002268
scophthalmus_maximus ENSSMAG00000014696
cynoglossus_semilaevis ENSCSEG00000018869
poecilia_formosa ENSPFOG00000008239
poecilia_latipinna ENSPLAG00000006732
poecilia_mexicana ENSPMEG00000015541
poecilia_reticulata ENSPREG00000015540
xiphophorus_maculatus ENSXMAG00000017639
xiphophorus_couchianus ENSXCOG00000019423
gambusia_affinis ENSGAFG00000012780
fundulus_heteroclitus ENSFHEG00000017173
cyprinodon_variegatus ENSCVAG00000023096
kryptolebias_marmoratus ENSKMAG00000001661
oryzias_latipes_asm223467v1 ENSORLG00000001647
oryzias_latipes_asm223471v1 ENSORLG00020010367
oryzias_latipes_asm223469v1 ENSORLG00015017547
oryzias_melastigma ENSOMEG00000009415
amphiprion_percula ENSAPEG00000018933
amphiprion_ocellaris ENSAOCG00000016293
acanthochromis_polyacanthus ENSAPOG00000004635
stegastes_partitus ENSSPAG00000013896
mastacembelus_armatus ENSMAMG00000022199
monopterus_albus ENSMALG00000011599
anabas_testudineus ENSATEG00000010431
