maylandia_zebra ENSMZEG00005017880
astatotilapia_calliptera ENSACLG00000020031
pundamilia_nyererei ENSPNYG00000012551
haplochromis_burtoni ENSHBUG00000014520
neolamprologus_brichardi ENSNBRG00000021010
amphilophus_citrinellus ENSACIG00000009131
hippocampus_comes ENSHCOG00000009412
scophthalmus_maximus ENSSMAG00000018610
monopterus_albus ENSMALG00000012482
fundulus_heteroclitus ENSFHEG00000011257
poecilia_mexicana ENSPMEG00000008772
oryzias_melastigma ENSOMEG00000021949
amphiprion_percula ENSAPEG00000004815
amphiprion_ocellaris ENSAOCG00000000626
acanthochromis_polyacanthus ENSAPOG00000005464
stegastes_partitus ENSSPAG00000014424
cynoglossus_semilaevis ENSCSEG00000003724
anabas_testudineus ENSATEG00000021175
labrus_bergylta ENSLBEG00000010013
gasterosteus_aculeatus ENSGACG00000017668
mastacembelus_armatus ENSMAMG00000006569
seriola_dumerili ENSSDUG00000021737
seriola_lalandi_dorsalis ENSSLDG00000010652
periophthalmus_magnuspinnatus ENSPMGG00000018209
gadus_morhua ENSGMOG00000008013
esox_lucius ENSELUG00000011289
astyanax_mexicanus ENSAMXG00000031218
pygocentrus_nattereri ENSPNAG00000009045
danio_rerio ENSDARG00000093026
pygocentrus_nattereri ENSPNAG00000007851
astyanax_mexicanus ENSAMXG00000038955
ictalurus_punctatus ENSIPUG00000025024
lepisosteus_oculatus ENSLOCG00000006453
latimeria_chalumnae ENSLACG00000022118
ciona_intestinalis ENSCING00000004874
ciona_savignyi ENSCSAVG00000001888
