piliocolobus_tephrosceles ENSPTEG00000037296
colobus_angolensis_palliatus ENSCANG00000006459
papio_anubis ENSPANG00000011745
mandrillus_leucophaeus ENSMLEG00000026190
macaca_mulatta ENSMMUG00000040234
macaca_fascicularis ENSMFAG00000000262
macaca_nemestrina ENSMNEG00000031780
cercocebus_atys ENSCATG00000041680
rhinopithecus_bieti ENSRBIG00000034352
rhinopithecus_roxellana ENSRROG00000040511
gorilla_gorilla ENSGGOG00000043013
saimiri_boliviensis_boliviensis ENSSBOG00000032207
cebus_capucinus_imitator ENSCCAG00000027834
propithecus_coquereli ENSPCOG00000018187
