ochotona_princeps ENSOPRG00000006336
erinaceus_europaeus ENSEEUG00000002559
choloepus_hoffmanni ENSCHOG00000012231
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001021606
cricetulus_griseus_crigri-picr ENSCGRG00015015735
cricetulus_griseus_crigri_1.0 ENSCGRG00000001072
mesocricetus_auratus ENSMAUG00000021450
peromyscus_maniculatus_bairdii ENSPEMG00000015615
microtus_ochrogaster ENSMOCG00000003897
mus_spicilegus ENSMSIG00000016299
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000078486
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027918
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026923
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0029272
rattus_norvegicus ENSRNOG00000020244
meriones_unguiculatus ENSMUGG00000004439
nannospalax_galili ENSNGAG00000010138
jaculus_jaculus ENSJJAG00000023504
spermophilus_dauricus ENSSDAG00000014887
marmota_marmota_marmota ENSMMMG00000021350
urocitellus_parryii ENSUPAG00010015602
fukomys_damarensis ENSFDAG00000007531
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100008250
chinchilla_lanigera ENSCLAG00000004628
octodon_degus ENSODEG00000007575
cavia_porcellus ENSCPOG00000001121
castor_canadensis ENSCCNG00000018793
dipodomys_ordii ENSDORG00000028250
homo_sapiens ENSG00000187642
gorilla_gorilla ENSGGOG00000002732
pan_paniscus ENSPPAG00000038627
pan_troglodytes ENSPTRG00000039606
nomascus_leucogenys ENSNLEG00000000019
rhinopithecus_bieti ENSRBIG00000038315
rhinopithecus_roxellana ENSRROG00000044918
colobus_angolensis_palliatus ENSCANG00000028581
mandrillus_leucophaeus ENSMLEG00000018120
cercocebus_atys ENSCATG00000034880
theropithecus_gelada ENSTGEG00000010484
papio_anubis ENSPANG00000024459
macaca_mulatta ENSMMUG00000022525
macaca_fascicularis ENSMFAG00000041450
macaca_nemestrina ENSMNEG00000017907
chlorocebus_sabaeus ENSCSAG00000000667
pan_troglodytes ENSPTRG00000043702
aotus_nancymaae ENSANAG00000026237
saimiri_boliviensis_boliviensis ENSSBOG00000024026
carlito_syrichta ENSTSYG00000027960
prolemur_simus ENSPSMG00000012486
microcebus_murinus ENSMICG00000033997
propithecus_coquereli ENSPCOG00000026589
otolemur_garnettii ENSOGAG00000032462
ursus_maritimus ENSUMAG00000002682
ursus_americanus ENSUAMG00000027515
ailuropoda_melanoleuca ENSAMEG00000016569
mustela_putorius_furo ENSMPUG00000013912
canis_lupus_dingo ENSCAFG00020011693
canis_lupus_dingo ENSCAFG00020011692
canis_lupus_familiaris ENSCAFG00000019352
vulpes_vulpes ENSVVUG00000003762
panthera_tigris_altaica ENSPTIG00000015203
panthera_pardus ENSPPRG00000020385
felis_catus ENSFCAG00000030944
sorex_araneus ENSSARG00000002806
pteropus_vampyrus ENSPVAG00000010835
bos_mutus ENSBMUG00000025435
bos_taurus ENSBTAG00000014540
bison_bison_bison ENSBBBG00000002585
ovis_aries ENSOARG00000007315
capra_hircus ENSCHIG00000016178
tursiops_truncatus ENSTTRG00000003191
sus_scrofa ENSSSCG00000033735
equus_caballus ENSECAG00000039391
equus_asinus_asinus ENSEASG00005015101
callithrix_jacchus ENSCJAG00000038823
cebus_capucinus_imitator ENSCCAG00000021791
urocitellus_parryii ENSUPAG00010015600
neovison_vison ENSNVIG00000004505
loxodonta_africana ENSLAFG00000028505
procavia_capensis ENSPCAG00000012087
echinops_telfairi ENSETEG00000010435
piliocolobus_tephrosceles ENSPTEG00000013831
oryctolagus_cuniculus ENSOCUG00000010635
dasypus_novemcinctus ENSDNOG00000040944
phascolarctos_cinereus ENSPCIG00000007838
sarcophilus_harrisii ENSSHAG00000000173
monodelphis_domestica ENSMODG00000018646
ornithorhynchus_anatinus ENSOANG00000020368
apteryx_owenii ENSAOWG00000004270
apteryx_haastii ENSAHAG00000009082
nothoprocta_perdicaria ENSNPEG00000004986
dromaius_novaehollandiae ENSDNVG00000010158
manacus_vitellinus ENSMVIG00005010408
lepidothrix_coronata ENSLCOG00000014857
ficedula_albicollis ENSFALG00000007418
lonchura_striata_domestica ENSLSDG00000014893
parus_major ENSPMJG00000014469
anas_platyrhynchos_platyrhynchos ENSAPLG00000028056
anser_brachyrhynchus ENSABRG00000007252
meleagris_gallopavo ENSMGAG00000003458
gallus_gallus ENSGALG00000026875
numida_meleagris ENSNMEG00000009937
calidris_pygmaea ENSCPGG00000015463
calidris_pugnax ENSCPUG00000012665
melopsittacus_undulatus ENSMUNG00000015817
crocodylus_porosus ENSCPRG00005002884
pelodiscus_sinensis ENSPSIG00000013023
anolis_carolinensis ENSACAG00000001609
pogona_vitticeps ENSPVIG00000021884
sphenodon_punctatus ENSSPUG00000018949
chelonoidis_abingdonii ENSCABG00000022053
gopherus_agassizii ENSGAGG00000011493
chrysemys_picta_bellii ENSCPBG00000022138
danio_rerio ENSDARG00000076850
