cynoglossus_semilaevis ENSCSEG00000006821
scophthalmus_maximus ENSSMAG00000011329
anabas_testudineus ENSATEG00000009567
hippocampus_comes ENSHCOG00000019564
xiphophorus_maculatus ENSXMAG00000007040
xiphophorus_couchianus ENSXCOG00000018528
gambusia_affinis ENSGAFG00000009865
poecilia_formosa ENSPFOG00000023479
poecilia_mexicana ENSPMEG00000024354
poecilia_latipinna ENSPLAG00000019672
fundulus_heteroclitus ENSFHEG00000000559
cyprinodon_variegatus ENSCVAG00000006457
oryzias_latipes_asm223469v1 ENSORLG00015007938
oryzias_latipes_asm223467v1 ENSORLG00000024412
oryzias_melastigma ENSOMEG00000016793
amphiprion_percula ENSAPEG00000004657
amphiprion_ocellaris ENSAOCG00000011365
stegastes_partitus ENSSPAG00000019145
acanthochromis_polyacanthus ENSAPOG00000007196
haplochromis_burtoni ENSHBUG00000010257
oreochromis_niloticus ENSONIG00000017860
neolamprologus_brichardi ENSNBRG00000018055
takifugu_rubripes ENSTRUG00000023091
