gadus_morhua ENSGMOG00000009458
danio_rerio ENSDARG00000104674
takifugu_rubripes ENSTRUG00000001566
tetraodon_nigroviridis ENSTNIG00000002870
mola_mola ENSMMOG00000006040
cyprinodon_variegatus ENSCVAG00000020271
fundulus_heteroclitus ENSFHEG00000013453
poecilia_formosa ENSPFOG00000011762
poecilia_latipinna ENSPLAG00000012485
poecilia_mexicana ENSPMEG00000022704
poecilia_reticulata ENSPREG00000005706
gambusia_affinis ENSGAFG00000003912
gambusia_affinis ENSGAFG00000003889
xiphophorus_maculatus ENSXMAG00000021288
xiphophorus_couchianus ENSXCOG00000013005
kryptolebias_marmoratus ENSKMAG00000007604
oryzias_latipes_asm223471v1 ENSORLG00020004655
oryzias_latipes_asm223469v1 ENSORLG00015004075
oryzias_latipes_asm223467v1 ENSORLG00000017401
oryzias_melastigma ENSOMEG00000022656
amphiprion_ocellaris ENSAOCG00000015685
amphiprion_percula ENSAPEG00000023941
acanthochromis_polyacanthus ENSAPOG00000007872
stegastes_partitus ENSSPAG00000012711
monopterus_albus ENSMALG00000008688
pundamilia_nyererei ENSPNYG00000010867
haplochromis_burtoni ENSHBUG00000003373
maylandia_zebra ENSMZEG00005019036
astatotilapia_calliptera ENSACLG00000010947
neolamprologus_brichardi ENSNBRG00000014641
oreochromis_niloticus ENSONIG00000018052
amphilophus_citrinellus ENSACIG00000018549
mastacembelus_armatus ENSMAMG00000018515
anabas_testudineus ENSATEG00000023517
scophthalmus_maximus ENSSMAG00000007407
gasterosteus_aculeatus ENSGACG00000014681
seriola_lalandi_dorsalis ENSSLDG00000013434
seriola_dumerili ENSSDUG00000014386
hippocampus_comes ENSHCOG00000004567
cynoglossus_semilaevis ENSCSEG00000018488
acanthochromis_polyacanthus ENSAPOG00000012047
periophthalmus_magnuspinnatus ENSPMGG00000016488
pygocentrus_nattereri ENSPNAG00000030004
astyanax_mexicanus ENSAMXG00000044076
ictalurus_punctatus ENSIPUG00000012527
paramormyrops_kingsleyae ENSPKIG00000022706
esox_lucius ENSELUG00000011698
scleropages_formosus ENSSFOG00015015673
lepisosteus_oculatus ENSLOCG00000016196
xenopus_tropicalis ENSXETG00000001410
eptatretus_burgeri ENSEBUG00000009852
phascolarctos_cinereus ENSPCIG00000009428
notamacropus_eugenii ENSMEUG00000000537
sarcophilus_harrisii ENSSHAG00000005384
monodelphis_domestica ENSMODG00000020380
vulpes_vulpes ENSVVUG00000015889
neovison_vison ENSNVIG00000016436
bos_mutus ENSBMUG00000024995
otolemur_garnettii ENSOGAG00000002308
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100008864
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000008737
fukomys_damarensis ENSFDAG00000014409
chinchilla_lanigera ENSCLAG00000007009
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016650
mus_spicilegus ENSMSIG00000009279
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000034024
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015827
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031260
rattus_norvegicus ENSRNOG00000021317
meriones_unguiculatus ENSMUGG00000017833
peromyscus_maniculatus_bairdii ENSPEMG00000022366
microtus_ochrogaster ENSMOCG00000001863
cricetulus_griseus_crigri_1.0 ENSCGRG00000012800
cricetulus_griseus_crigri-picr ENSCGRG00015007894
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001007289
mesocricetus_auratus ENSMAUG00000011514
nannospalax_galili ENSNGAG00000016113
castor_canadensis ENSCCNG00000027243
dipodomys_ordii ENSDORG00000010325
spermophilus_dauricus ENSSDAG00000003118
ictidomys_tridecemlineatus ENSSTOG00000014029
urocitellus_parryii ENSUPAG00010023412
marmota_marmota_marmota ENSMMMG00000003897
cavia_porcellus ENSCPOG00000012867
cavia_aperea ENSCAPG00000013518
microcebus_murinus ENSMICG00000033758
equus_asinus_asinus ENSEASG00005008081
dasypus_novemcinctus ENSDNOG00000017773
choloepus_hoffmanni ENSCHOG00000006098
loxodonta_africana ENSLAFG00000006688
homo_sapiens ENSG00000166226
gorilla_gorilla ENSGGOG00000006241
pan_troglodytes ENSPTRG00000005210
pan_paniscus ENSPPAG00000012594
pongo_abelii ENSPPYG00000004760
nomascus_leucogenys ENSNLEG00000003862
rhinopithecus_roxellana ENSRROG00000028760
rhinopithecus_bieti ENSRBIG00000042534
colobus_angolensis_palliatus ENSCANG00000030834
piliocolobus_tephrosceles ENSPTEG00000014977
piliocolobus_tephrosceles ENSPTEG00000015020
piliocolobus_tephrosceles ENSPTEG00000030838
macaca_nemestrina ENSMNEG00000033246
macaca_fascicularis ENSMFAG00000035905
macaca_mulatta ENSMMUG00000010820
papio_anubis ENSPANG00000025711
theropithecus_gelada ENSTGEG00000022886
cercocebus_atys ENSCATG00000042565
mandrillus_leucophaeus ENSMLEG00000033313
chlorocebus_sabaeus ENSCSAG00000004209
callithrix_jacchus ENSCJAG00000001715
saimiri_boliviensis_boliviensis ENSSBOG00000035092
aotus_nancymaae ENSANAG00000026639
carlito_syrichta ENSTSYG00000011458
propithecus_coquereli ENSPCOG00000014447
microcebus_murinus ENSMICG00000011477
prolemur_simus ENSPSMG00000004315
oryctolagus_cuniculus ENSOCUG00000017199
ochotona_princeps ENSOPRG00000003525
cebus_capucinus_imitator ENSCCAG00000022381
cebus_capucinus_imitator ENSCCAG00000025245
cebus_capucinus_imitator ENSCCAG00000024370
saimiri_boliviensis_boliviensis ENSSBOG00000018693
piliocolobus_tephrosceles ENSPTEG00000015051
carlito_syrichta ENSTSYG00000029935
otolemur_garnettii ENSOGAG00000028224
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000008939
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100011735
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100011499
jaculus_jaculus ENSJJAG00000019620
jaculus_jaculus ENSJJAG00000020445
erinaceus_europaeus ENSEEUG00000013975
sorex_araneus ENSSARG00000002221
vicugna_pacos ENSVPAG00000004520
echinops_telfairi ENSETEG00000003936
tupaia_belangeri ENSTBEG00000007489
octodon_degus ENSODEG00000013394
capra_hircus ENSCHIG00000025742
ovis_aries ENSOARG00000020314
bos_mutus ENSBMUG00000018574
bos_taurus ENSBTAG00000019156
bison_bison_bison ENSBBBG00000013777
sus_scrofa ENSSSCG00000000496
pteropus_vampyrus ENSPVAG00000000936
tursiops_truncatus ENSTTRG00000012534
myotis_lucifugus ENSMLUG00000008364
ursus_maritimus ENSUMAG00000020818
ursus_americanus ENSUAMG00000026439
ailuropoda_melanoleuca ENSAMEG00000011869
neovison_vison ENSNVIG00000010718
mustela_putorius_furo ENSMPUG00000017498
canis_lupus_dingo ENSCAFG00020002047
vulpes_vulpes ENSVVUG00000006937
canis_lupus_familiaris ENSCAFG00000000432
canis_lupus_dingo ENSCAFG00020016882
vulpes_vulpes ENSVVUG00000008957
panthera_pardus ENSPPRG00000013206
panthera_tigris_altaica ENSPTIG00000014050
felis_catus ENSFCAG00000001610
canis_lupus_dingo ENSCAFG00020025450
ovis_aries ENSOARG00000006089
loxodonta_africana ENSLAFG00000030271
octodon_degus ENSODEG00000005074
octodon_degus ENSODEG00000015085
cebus_capucinus_imitator ENSCCAG00000024815
equus_caballus ENSECAG00000020755
procavia_capensis ENSPCAG00000014666
cebus_capucinus_imitator ENSCCAG00000029917
ornithorhynchus_anatinus ENSOANG00000005950
apteryx_haastii ENSAHAG00000018092
apteryx_rowi ENSARWG00000009892
apteryx_owenii ENSAOWG00000011370
dromaius_novaehollandiae ENSDNVG00000013117
nothoprocta_perdicaria ENSNPEG00000008924
meleagris_gallopavo ENSMGAG00000014712
meleagris_gallopavo ENSMGAG00000017182
coturnix_japonica ENSCJPG00005016006
gallus_gallus ENSGALG00000009975
numida_meleagris ENSNMEG00000000572
anser_brachyrhynchus ENSABRG00000022176
anas_platyrhynchos_platyrhynchos ENSAPLG00000013136
calidris_pugnax ENSCPUG00000004551
calidris_pygmaea ENSCPGG00000016696
melopsittacus_undulatus ENSMUNG00000007839
manacus_vitellinus ENSMVIG00005004551
lepidothrix_coronata ENSLCOG00000014055
taeniopygia_guttata ENSTGUG00000006912
lonchura_striata_domestica ENSLSDG00000003508
serinus_canaria ENSSCAG00000009187
junco_hyemalis ENSJHYG00000007985
parus_major ENSPMJG00000012624
cyanistes_caeruleus ENSCCEG00000010013
ficedula_albicollis ENSFALG00000010198
crocodylus_porosus ENSCPRG00005006898
gopherus_agassizii ENSGAGG00000021092
chelonoidis_abingdonii ENSCABG00000014890
chrysemys_picta_bellii ENSCPBG00000013364
pelodiscus_sinensis ENSPSIG00000015944
pogona_vitticeps ENSPVIG00000025416
anolis_carolinensis ENSACAG00000004492
notechis_scutatus ENSNSUG00000003795
salvator_merianae ENSSMRG00000017142
sphenodon_punctatus ENSSPUG00000001321
danio_rerio ENSDARG00000087206
periophthalmus_magnuspinnatus ENSPMGG00000016492
eptatretus_burgeri ENSEBUG00000005326
latimeria_chalumnae ENSLACG00000005175
petromyzon_marinus ENSPMAG00000001904
echinops_telfairi ENSETEG00000013877
ciona_savignyi ENSCSAVG00000000743
ciona_intestinalis ENSCING00000005347
drosophila_melanogaster FBgn0030086
caenorhabditis_elegans_strain_n2 WBGene00000378
piliocolobus_tephrosceles ENSPTEG00000007122
saccharomyces_cerevisiae_strain_s288c YIL142W
