scophthalmus_maximus ENSSMAG00000011370
cynoglossus_semilaevis ENSCSEG00000005063
seriola_lalandi_dorsalis ENSSLDG00000001051
seriola_dumerili ENSSDUG00000022343
monopterus_albus ENSMALG00000007434
mastacembelus_armatus ENSMAMG00000000731
anabas_testudineus ENSATEG00000020257
oreochromis_niloticus ENSONIG00000008944
neolamprologus_brichardi ENSNBRG00000016549
haplochromis_burtoni ENSHBUG00000002721
pundamilia_nyererei ENSPNYG00000000734
astatotilapia_calliptera ENSACLG00000014164
amphilophus_citrinellus ENSACIG00000010156
oryzias_latipes_asm223469v1 ENSORLG00015004217
oryzias_latipes_asm223467v1 ENSORLG00000005274
oryzias_melastigma ENSOMEG00000000326
stegastes_partitus ENSSPAG00000020945
takifugu_rubripes ENSTRUG00000004778
tetraodon_nigroviridis ENSTNIG00000017818
mola_mola ENSMMOG00000007363
gasterosteus_aculeatus ENSGACG00000016109
labrus_bergylta ENSLBEG00000003388
maylandia_zebra ENSMZEG00005021599
astatotilapia_calliptera ENSACLG00000014190
oryzias_latipes_asm223471v1 ENSORLG00020006746
amphiprion_ocellaris ENSAOCG00000000275
amphiprion_percula ENSAPEG00000020297
acanthochromis_polyacanthus ENSAPOG00000008454
periophthalmus_magnuspinnatus ENSPMGG00000024161
gadus_morhua ENSGMOG00000003721
esox_lucius ENSELUG00000007925
astyanax_mexicanus ENSAMXG00000033370
pygocentrus_nattereri ENSPNAG00000018271
danio_rerio ENSDARG00000055439
scleropages_formosus ENSSFOG00015008841
paramormyrops_kingsleyae ENSPKIG00000012842
seriola_dumerili ENSSDUG00000022354
seriola_lalandi_dorsalis ENSSLDG00000001073
cynoglossus_semilaevis ENSCSEG00000005046
haplochromis_burtoni ENSHBUG00000002724
pundamilia_nyererei ENSPNYG00000023282
neolamprologus_brichardi ENSNBRG00000016531
oryzias_latipes_asm223467v1 ENSORLG00000029750
stegastes_partitus ENSSPAG00000020939
labrus_bergylta ENSLBEG00000003419
mastacembelus_armatus ENSMAMG00000000719
takifugu_rubripes ENSTRUG00000023435
esox_lucius ENSELUG00000007907
astyanax_mexicanus ENSAMXG00000033388
pygocentrus_nattereri ENSPNAG00000018239
scleropages_formosus ENSSFOG00015008838
