homo_sapiens ENSG00000213337
pan_troglodytes ENSPTRG00000012244
gorilla_gorilla ENSGGOG00000040844
pongo_abelii ENSPPYG00000012723
nomascus_leucogenys ENSNLEG00000001438
theropithecus_gelada ENSTGEG00000009190
papio_anubis ENSPANG00000006852
cercocebus_atys ENSCATG00000043687
macaca_nemestrina ENSMNEG00000015288
macaca_fascicularis ENSMFAG00000001711
chlorocebus_sabaeus ENSCSAG00000017294
rhinopithecus_roxellana ENSRROG00000011626
rhinopithecus_bieti ENSRBIG00000039298
colobus_angolensis_palliatus ENSCANG00000040797
piliocolobus_tephrosceles ENSPTEG00000006508
mandrillus_leucophaeus ENSMLEG00000039583
pan_paniscus ENSPPAG00000032915
saimiri_boliviensis_boliviensis ENSSBOG00000022252
cebus_capucinus_imitator ENSCCAG00000037976
callithrix_jacchus ENSCJAG00000008006
aotus_nancymaae ENSANAG00000027220
carlito_syrichta ENSTSYG00000005079
microcebus_murinus ENSMICG00000042630
propithecus_coquereli ENSPCOG00000019032
prolemur_simus ENSPSMG00000022152
castor_canadensis ENSCCNG00000003840
dipodomys_ordii ENSDORG00000016118
jaculus_jaculus ENSJJAG00000018658
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001009977
cricetulus_griseus_crigri_1.0 ENSCGRG00000015855
mesocricetus_auratus ENSMAUG00000008102
peromyscus_maniculatus_bairdii ENSPEMG00000029562
microtus_ochrogaster ENSMOCG00000022779
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000079610
mus_spicilegus ENSMSIG00000004625
rattus_norvegicus ENSRNOG00000023995
nannospalax_galili ENSNGAG00000022612
marmota_marmota_marmota ENSMMMG00000021698
ictidomys_tridecemlineatus ENSSTOG00000021946
urocitellus_parryii ENSUPAG00010017880
spermophilus_dauricus ENSSDAG00000012381
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014598
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100017040
fukomys_damarensis ENSFDAG00000000654
chinchilla_lanigera ENSCLAG00000003185
octodon_degus ENSODEG00000008651
cavia_porcellus ENSCPOG00000024896
cavia_aperea ENSCAPG00000017120
ochotona_princeps ENSOPRG00000019009
oryctolagus_cuniculus ENSOCUG00000024245
equus_asinus_asinus ENSEASG00005001343
equus_caballus ENSECAG00000000103
pteropus_vampyrus ENSPVAG00000007111
capra_hircus ENSCHIG00000022775
ovis_aries ENSOARG00000013735
bos_taurus ENSBTAG00000035244
sus_scrofa ENSSSCG00000035533
tursiops_truncatus ENSTTRG00000007885
neovison_vison ENSNVIG00000015723
mustela_putorius_furo ENSMPUG00000011373
ailuropoda_melanoleuca ENSAMEG00000005315
canis_lupus_dingo ENSCAFG00020025346
vulpes_vulpes ENSVVUG00000028815
panthera_tigris_altaica ENSPTIG00000009735
panthera_pardus ENSPPRG00000021969
felis_catus ENSFCAG00000018835
vicugna_pacos ENSVPAG00000002935
bison_bison_bison ENSBBBG00000006268
myotis_lucifugus ENSMLUG00000023540
ursus_americanus ENSUAMG00000023795
canis_lupus_familiaris ENSCAFG00000002396
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0014844
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014040
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027286
procavia_capensis ENSPCAG00000004738
loxodonta_africana ENSLAFG00000032430
dasypus_novemcinctus ENSDNOG00000036051
phascolarctos_cinereus ENSPCIG00000009284
notamacropus_eugenii ENSMEUG00000000790
sarcophilus_harrisii ENSSHAG00000017670
ornithorhynchus_anatinus ENSOANG00000030205
anolis_carolinensis ENSACAG00000006331
pogona_vitticeps ENSPVIG00000018393
salvator_merianae ENSSMRG00000019804
gallus_gallus ENSGALG00000049001
coturnix_japonica ENSCJPG00005011851
numida_meleagris ENSNMEG00000019883
lepidothrix_coronata ENSLCOG00000007224
junco_hyemalis ENSJHYG00000000908
anser_brachyrhynchus ENSABRG00000011389
parus_major ENSPMJG00000013442
calidris_pugnax ENSCPUG00000007864
apteryx_haastii ENSAHAG00000004958
apteryx_owenii ENSAOWG00000008221
apteryx_rowi ENSARWG00000017981
gopherus_agassizii ENSGAGG00000014343
chelonoidis_abingdonii ENSCABG00000012077
chrysemys_picta_bellii ENSCPBG00000023213
sphenodon_punctatus ENSSPUG00000003626
xenopus_tropicalis ENSXETG00000031480
xenopus_tropicalis ENSXETG00000002571
ornithorhynchus_anatinus ENSOANG00000011380
latimeria_chalumnae ENSLACG00000015682
amphiprion_percula ENSAPEG00000008170
amphiprion_ocellaris ENSAOCG00000016789
acanthochromis_polyacanthus ENSAPOG00000002771
stegastes_partitus ENSSPAG00000015329
pundamilia_nyererei ENSPNYG00000000806
maylandia_zebra ENSMZEG00005007641
haplochromis_burtoni ENSHBUG00000013270
astatotilapia_calliptera ENSACLG00000016291
neolamprologus_brichardi ENSNBRG00000009691
oreochromis_niloticus ENSONIG00000011019
amphilophus_citrinellus ENSACIG00000023945
seriola_lalandi_dorsalis ENSSLDG00000015203
seriola_dumerili ENSSDUG00000022860
scophthalmus_maximus ENSSMAG00000002194
monopterus_albus ENSMALG00000018768
mastacembelus_armatus ENSMAMG00000004555
anabas_testudineus ENSATEG00000018794
labrus_bergylta ENSLBEG00000007391
gasterosteus_aculeatus ENSGACG00000012417
poecilia_formosa ENSPFOG00000017807
poecilia_latipinna ENSPLAG00000013097
poecilia_mexicana ENSPMEG00000018973
poecilia_reticulata ENSPREG00000000695
xiphophorus_couchianus ENSXCOG00000015290
xiphophorus_maculatus ENSXMAG00000003646
fundulus_heteroclitus ENSFHEG00000011450
cyprinodon_variegatus ENSCVAG00000014845
oryzias_latipes_asm223467v1 ENSORLG00000023302
oryzias_latipes_asm223469v1 ENSORLG00015014553
oryzias_latipes_asm223471v1 ENSORLG00020001519
oryzias_melastigma ENSOMEG00000016533
takifugu_rubripes ENSTRUG00000016523
tetraodon_nigroviridis ENSTNIG00000011491
hippocampus_comes ENSHCOG00000013402
periophthalmus_magnuspinnatus ENSPMGG00000024019
gadus_morhua ENSGMOG00000009551
esox_lucius ENSELUG00000018170
pygocentrus_nattereri ENSPNAG00000003624
astyanax_mexicanus ENSAMXG00000017316
ictalurus_punctatus ENSIPUG00000008140
danio_rerio ENSDARG00000041350
scleropages_formosus ENSSFOG00015012297
paramormyrops_kingsleyae ENSPKIG00000024789
petromyzon_marinus ENSPMAG00000007832
eptatretus_burgeri ENSEBUG00000011551
ciona_savignyi ENSCSAVG00000009163
drosophila_melanogaster FBgn0264743
