dipodomys_ordii ENSDORG00000023575
castor_canadensis ENSCCNG00000007792
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100011032
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000015833
fukomys_damarensis ENSFDAG00000005969
octodon_degus ENSODEG00000008488
octodon_degus ENSODEG00000018954
octodon_degus ENSODEG00000019254
octodon_degus ENSODEG00000018891
cavia_porcellus ENSCPOG00000015544
chinchilla_lanigera ENSCLAG00000015651
peromyscus_maniculatus_bairdii ENSPEMG00000031257
microtus_ochrogaster ENSMOCG00000016659
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019440
cricetulus_griseus_crigri-picr ENSCGRG00015025441
mesocricetus_auratus ENSMAUG00000018340
mus_spicilegus ENSMSIG00000022085
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017164
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000020392
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016320
rattus_norvegicus ENSRNOG00000005024
meriones_unguiculatus ENSMUGG00000013367
nannospalax_galili ENSNGAG00000009385
oryctolagus_cuniculus ENSOCUG00000015783
ochotona_princeps ENSOPRG00000006676
pan_troglodytes ENSPTRG00000043266
pan_paniscus ENSPPAG00000035608
nomascus_leucogenys ENSNLEG00000032044
piliocolobus_tephrosceles ENSPTEG00000027381
colobus_angolensis_palliatus ENSCANG00000041459
gorilla_gorilla ENSGGOG00000013089
pongo_abelii ENSPPYG00000012571
nomascus_leucogenys ENSNLEG00000029245
piliocolobus_tephrosceles ENSPTEG00000002397
pan_paniscus ENSPPAG00000030689
pan_troglodytes ENSPTRG00000017241
homo_sapiens ENSG00000237190
gorilla_gorilla ENSGGOG00000004348
pongo_abelii ENSPPYG00000015787
nomascus_leucogenys ENSNLEG00000030191
macaca_fascicularis ENSMFAG00000036438
macaca_mulatta ENSMMUG00000015938
macaca_nemestrina ENSMNEG00000042298
papio_anubis ENSPANG00000008879
theropithecus_gelada ENSTGEG00000020584
cercocebus_atys ENSCATG00000024426
mandrillus_leucophaeus ENSMLEG00000032485
chlorocebus_sabaeus ENSCSAG00000013589
rhinopithecus_bieti ENSRBIG00000018523
rhinopithecus_bieti ENSRBIG00000006177
rhinopithecus_roxellana ENSRROG00000012329
rhinopithecus_roxellana ENSRROG00000019641
piliocolobus_tephrosceles ENSPTEG00000035010
colobus_angolensis_palliatus ENSCANG00000035372
macaca_mulatta ENSMMUG00000047398
macaca_mulatta ENSMMUG00000016643
papio_anubis ENSPANG00000031739
aotus_nancymaae ENSANAG00000026282
cebus_capucinus_imitator ENSCCAG00000021921
callithrix_jacchus ENSCJAG00000004787
saimiri_boliviensis_boliviensis ENSSBOG00000011200
aotus_nancymaae ENSANAG00000015018
propithecus_coquereli ENSPCOG00000023139
prolemur_simus ENSPSMG00000020559
microcebus_murinus ENSMICG00000028986
microcebus_murinus ENSMICG00000038207
otolemur_garnettii ENSOGAG00000024120
otolemur_garnettii ENSOGAG00000025071
mandrillus_leucophaeus ENSMLEG00000036760
urocitellus_parryii ENSUPAG00010016866
marmota_marmota_marmota ENSMMMG00000000328
ictidomys_tridecemlineatus ENSSTOG00000007822
spermophilus_dauricus ENSSDAG00000018136
tupaia_belangeri ENSTBEG00000010679
erinaceus_europaeus ENSEEUG00000011382
sorex_araneus ENSSARG00000013902
pteropus_vampyrus ENSPVAG00000012431
myotis_lucifugus ENSMLUG00000012917
sus_scrofa ENSSSCG00000037127
tursiops_truncatus ENSTTRG00000016862
vicugna_pacos ENSVPAG00000001587
equus_caballus ENSECAG00000016203
equus_asinus_asinus ENSEASG00005018544
