rattus_norvegicus ENSRNOG00000040214
mus_spicilegus ENSMSIG00000025106
castor_canadensis ENSCCNG00000024564
pan_paniscus ENSPPAG00000033133
pan_troglodytes ENSPTRG00000046659
gorilla_gorilla ENSGGOG00000041458
nomascus_leucogenys ENSNLEG00000031288
macaca_fascicularis ENSMFAG00000032617
papio_anubis ENSPANG00000031656
rhinopithecus_bieti ENSRBIG00000041455
rhinopithecus_roxellana ENSRROG00000029402
colobus_angolensis_palliatus ENSCANG00000036702
aotus_nancymaae ENSANAG00000022948
sus_scrofa ENSSSCG00000037278
