oryctolagus_cuniculus ENSOCUG00000004411
ochotona_princeps ENSOPRG00000010207
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100006606
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010492
fukomys_damarensis ENSFDAG00000017420
octodon_degus ENSODEG00000016991
octodon_degus ENSODEG00000014533
chinchilla_lanigera ENSCLAG00000015853
cavia_aperea ENSCAPG00000008985
cavia_porcellus ENSCPOG00000020174
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001006706
cricetulus_griseus_crigri-picr ENSCGRG00015012682
castor_canadensis ENSCCNG00000007847
dipodomys_ordii ENSDORG00000014371
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017862
mus_spicilegus ENSMSIG00000019193
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000013415
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017016
rattus_norvegicus ENSRNOG00000006122
meriones_unguiculatus ENSMUGG00000011119
meriones_unguiculatus ENSMUGG00000010983
cricetulus_griseus_crigri_1.0 ENSCGRG00000014555
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001000282
cricetulus_griseus_crigri-picr ENSCGRG00015020296
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001003571
microtus_ochrogaster ENSMOCG00000010232
peromyscus_maniculatus_bairdii ENSPEMG00000021974
castor_canadensis ENSCCNG00000019621
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018146
nannospalax_galili ENSNGAG00000015679
jaculus_jaculus ENSJJAG00000002687
urocitellus_parryii ENSUPAG00010006100
ictidomys_tridecemlineatus ENSSTOG00000010643
spermophilus_dauricus ENSSDAG00000011597
marmota_marmota_marmota ENSMMMG00000000613
pan_paniscus ENSPPAG00000040224
pan_troglodytes ENSPTRG00000009368
homo_sapiens ENSG00000159217
gorilla_gorilla ENSGGOG00000008872
pongo_abelii ENSPPYG00000008913
nomascus_leucogenys ENSNLEG00000002786
macaca_mulatta ENSMMUG00000011533
chlorocebus_sabaeus ENSCSAG00000002487
theropithecus_gelada ENSTGEG00000029087
piliocolobus_tephrosceles ENSPTEG00000033476
colobus_angolensis_palliatus ENSCANG00000032567
macaca_nemestrina ENSMNEG00000033825
macaca_fascicularis ENSMFAG00000001613
papio_anubis ENSPANG00000022833
cercocebus_atys ENSCATG00000041707
mandrillus_leucophaeus ENSMLEG00000026086
rhinopithecus_roxellana ENSRROG00000039581
rhinopithecus_bieti ENSRBIG00000035739
saimiri_boliviensis_boliviensis ENSSBOG00000020973
callithrix_jacchus ENSCJAG00000007258
aotus_nancymaae ENSANAG00000022606
cebus_capucinus_imitator ENSCCAG00000031817
carlito_syrichta ENSTSYG00000003912
propithecus_coquereli ENSPCOG00000006475
prolemur_simus ENSPSMG00000020445
microcebus_murinus ENSMICG00000013324
microcebus_murinus ENSMICG00000043511
otolemur_garnettii ENSOGAG00000001270
tupaia_belangeri ENSTBEG00000004254
loxodonta_africana ENSLAFG00000002048
procavia_capensis ENSPCAG00000016601
echinops_telfairi ENSETEG00000003370
choloepus_hoffmanni ENSCHOG00000002349
dasypus_novemcinctus ENSDNOG00000006801
sorex_araneus ENSSARG00000013201
sus_scrofa ENSSSCG00000001827
myotis_lucifugus ENSMLUG00000016891
myotis_lucifugus ENSMLUG00000023642
pteropus_vampyrus ENSPVAG00000001718
ursus_americanus ENSUAMG00000023269
ursus_maritimus ENSUMAG00000015682
