hippocampus_comes ENSHCOG00000011657
periophthalmus_magnuspinnatus ENSPMGG00000014868
takifugu_rubripes ENSTRUG00000005894
tetraodon_nigroviridis ENSTNIG00000007971
mola_mola ENSMMOG00000011507
labrus_bergylta ENSLBEG00000001265
seriola_lalandi_dorsalis ENSSLDG00000004120
seriola_dumerili ENSSDUG00000008479
scophthalmus_maximus ENSSMAG00000007185
cynoglossus_semilaevis ENSCSEG00000021592
mastacembelus_armatus ENSMAMG00000011761
monopterus_albus ENSMALG00000004338
anabas_testudineus ENSATEG00000010711
fundulus_heteroclitus ENSFHEG00000014413
cyprinodon_variegatus ENSCVAG00000013475
poecilia_formosa ENSPFOG00000024575
poecilia_formosa ENSPFOG00000023451
poecilia_latipinna ENSPLAG00000009233
poecilia_mexicana ENSPMEG00000008116
poecilia_reticulata ENSPREG00000019199
gambusia_affinis ENSGAFG00000000658
xiphophorus_maculatus ENSXMAG00000006218
kryptolebias_marmoratus ENSKMAG00000021855
oryzias_latipes_asm223471v1 ENSORLG00020007861
oryzias_latipes_asm223469v1 ENSORLG00015000360
oryzias_latipes_asm223467v1 ENSORLG00000001918
oryzias_melastigma ENSOMEG00000002843
astatotilapia_calliptera ENSACLG00000002168
maylandia_zebra ENSMZEG00005005351
haplochromis_burtoni ENSHBUG00000008908
neolamprologus_brichardi ENSNBRG00000006362
pundamilia_nyererei ENSPNYG00000013998
oreochromis_niloticus ENSONIG00000014998
amphilophus_citrinellus ENSACIG00000000430
amphiprion_ocellaris ENSAOCG00000008029
amphiprion_percula ENSAPEG00000015195
acanthochromis_polyacanthus ENSAPOG00000003903
stegastes_partitus ENSSPAG00000018789
pygocentrus_nattereri ENSPNAG00000020940
astyanax_mexicanus ENSAMXG00000042649
ictalurus_punctatus ENSIPUG00000018914
danio_rerio ENSDARG00000117075
esox_lucius ENSELUG00000004019
seriola_dumerili ENSSDUG00000008495
seriola_lalandi_dorsalis ENSSLDG00000007065
amphilophus_citrinellus ENSACIG00000000471
gasterosteus_aculeatus ENSGACG00000001619
gadus_morhua ENSGMOG00000016390
petromyzon_marinus ENSPMAG00000004910
