monopterus_albus ENSMALG00000008628
mastacembelus_armatus ENSMAMG00000024002
anabas_testudineus ENSATEG00000023980
seriola_lalandi_dorsalis ENSSLDG00000022154
seriola_dumerili ENSSDUG00000015832
scophthalmus_maximus ENSSMAG00000003140
takifugu_rubripes ENSTRUG00000010534
tetraodon_nigroviridis ENSTNIG00000009632
mola_mola ENSMMOG00000008686
labrus_bergylta ENSLBEG00000022976
gasterosteus_aculeatus ENSGACG00000006944
amphiprion_ocellaris ENSAOCG00000014655
amphiprion_percula ENSAPEG00000014032
acanthochromis_polyacanthus ENSAPOG00000011012
stegastes_partitus ENSSPAG00000002845
astatotilapia_calliptera ENSACLG00000013413
maylandia_zebra ENSMZEG00005025550
haplochromis_burtoni ENSHBUG00000011919
neolamprologus_brichardi ENSNBRG00000020565
pundamilia_nyererei ENSPNYG00000003339
oreochromis_niloticus ENSONIG00000007013
amphilophus_citrinellus ENSACIG00000012032
fundulus_heteroclitus ENSFHEG00000003445
cyprinodon_variegatus ENSCVAG00000019256
poecilia_formosa ENSPFOG00000009740
poecilia_mexicana ENSPMEG00000017567
poecilia_latipinna ENSPLAG00000014264
xiphophorus_maculatus ENSXMAG00000010999
xiphophorus_couchianus ENSXCOG00000016168
poecilia_reticulata ENSPREG00000009877
gambusia_affinis ENSGAFG00000001263
oryzias_latipes_asm223467v1 ENSORLG00000004821
oryzias_latipes_asm223471v1 ENSORLG00020022634
oryzias_latipes_asm223469v1 ENSORLG00015007420
oryzias_melastigma ENSOMEG00000012611
cynoglossus_semilaevis ENSCSEG00000005134
hippocampus_comes ENSHCOG00000011582
periophthalmus_magnuspinnatus ENSPMGG00000022606
gadus_morhua ENSGMOG00000012284
esox_lucius ENSELUG00000023257
pygocentrus_nattereri ENSPNAG00000009534
astyanax_mexicanus ENSAMXG00000018512
ictalurus_punctatus ENSIPUG00000009168
danio_rerio ENSDARG00000090447
paramormyrops_kingsleyae ENSPKIG00000018833
scleropages_formosus ENSSFOG00015005181
lepisosteus_oculatus ENSLOCG00000009214
anolis_carolinensis ENSACAG00000009271
pogona_vitticeps ENSPVIG00000018360
notechis_scutatus ENSNSUG00000011193
salvator_merianae ENSSMRG00000021460
sphenodon_punctatus ENSSPUG00000008344
manacus_vitellinus ENSMVIG00005012617
lepidothrix_coronata ENSLCOG00000010234
