spermophilus_dauricus ENSSDAG00000014066
urocitellus_parryii ENSUPAG00010010008
ictidomys_tridecemlineatus ENSSTOG00000029528
marmota_marmota_marmota ENSMMMG00000012421
castor_canadensis ENSCCNG00000006206
oryctolagus_cuniculus ENSOCUG00000029242
pan_troglodytes ENSPTRG00000021843
pan_paniscus ENSPPAG00000035075
homo_sapiens ENSG00000147124
gorilla_gorilla ENSGGOG00000012848
pongo_abelii ENSPPYG00000020293
nomascus_leucogenys ENSNLEG00000003328
piliocolobus_tephrosceles ENSPTEG00000010438
colobus_angolensis_palliatus ENSCANG00000028321
rhinopithecus_roxellana ENSRROG00000041298
macaca_fascicularis ENSMFAG00000023099
macaca_nemestrina ENSMNEG00000033342
theropithecus_gelada ENSTGEG00000005374
macaca_mulatta ENSMMUG00000010404
papio_anubis ENSPANG00000006213
mandrillus_leucophaeus ENSMLEG00000017976
cercocebus_atys ENSCATG00000037921
chlorocebus_sabaeus ENSCSAG00000013630
cebus_capucinus_imitator ENSCCAG00000033199
saimiri_boliviensis_boliviensis ENSSBOG00000021547
callithrix_jacchus ENSCJAG00000012415
aotus_nancymaae ENSANAG00000021949
carlito_syrichta ENSTSYG00000000220
propithecus_coquereli ENSPCOG00000027769
prolemur_simus ENSPSMG00000016042
microcebus_murinus ENSMICG00000008558
otolemur_garnettii ENSOGAG00000005514
otolemur_garnettii ENSOGAG00000029465
tupaia_belangeri ENSTBEG00000004010
tupaia_belangeri ENSTBEG00000004709
capra_hircus ENSCHIG00000009772
ovis_aries ENSOARG00000013304
bos_taurus ENSBTAG00000002113
bison_bison_bison ENSBBBG00000004116
bos_mutus ENSBMUG00000025931
sus_scrofa ENSSSCG00000039997
tursiops_truncatus ENSTTRG00000006804
vicugna_pacos ENSVPAG00000001511
ursus_americanus ENSUAMG00000017372
ursus_maritimus ENSUMAG00000008129
ailuropoda_melanoleuca ENSAMEG00000013044
mustela_putorius_furo ENSMPUG00000013342
neovison_vison ENSNVIG00000017430
canis_lupus_familiaris ENSCAFG00000015031
canis_lupus_dingo ENSCAFG00020021390
vulpes_vulpes ENSVVUG00000017517
panthera_pardus ENSPPRG00000006771
panthera_tigris_altaica ENSPTIG00000017480
felis_catus ENSFCAG00000012244
equus_caballus ENSECAG00000023498
equus_asinus_asinus ENSEASG00005012819
myotis_lucifugus ENSMLUG00000010765
sorex_araneus ENSSARG00000011508
dasypus_novemcinctus ENSDNOG00000040988
neovison_vison ENSNVIG00000017627
pteropus_vampyrus ENSPVAG00000006800
castor_canadensis ENSCCNG00000013298
castor_canadensis ENSCCNG00000007691
peromyscus_maniculatus_bairdii ENSPEMG00000030974
urocitellus_parryii ENSUPAG00010010004
marmota_marmota_marmota ENSMMMG00000012485
equus_caballus ENSECAG00000018399
equus_asinus_asinus ENSEASG00005012817
prolemur_simus ENSPSMG00000023993
dasypus_novemcinctus ENSDNOG00000046066
procavia_capensis ENSPCAG00000012247
