cricetulus_griseus_crigri_1.0 ENSCGRG00000001846
astyanax_mexicanus ENSAMXG00000031999
poecilia_latipinna ENSPLAG00000009059
poecilia_mexicana ENSPMEG00000006401
pogona_vitticeps ENSPVIG00000001022
latimeria_chalumnae ENSLACG00000016502
lepisosteus_oculatus ENSLOCG00000006407
eptatretus_burgeri ENSEBUG00000011947
chelonoidis_abingdonii ENSCABG00000005452
gopherus_agassizii ENSGAGG00000002663
chrysemys_picta_bellii ENSCPBG00000003500
pelodiscus_sinensis ENSPSIG00000003067
crocodylus_porosus ENSCPRG00005013823
salvator_merianae ENSSMRG00000018215
notechis_scutatus ENSNSUG00000011215
anser_brachyrhynchus ENSABRG00000002455
anas_platyrhynchos_platyrhynchos ENSAPLG00000025122
gallus_gallus ENSGALG00000023420
coturnix_japonica ENSCJPG00005017726
numida_meleagris ENSNMEG00000022225
lonchura_striata_domestica ENSLSDG00000010978
taeniopygia_guttata ENSTGUG00000008971
serinus_canaria ENSSCAG00000016112
junco_hyemalis ENSJHYG00000012602
parus_major ENSPMJG00000018522
ficedula_albicollis ENSFALG00000003190
lepidothrix_coronata ENSLCOG00000016309
manacus_vitellinus ENSMVIG00005001526
cyanistes_caeruleus ENSCCEG00000004786
melopsittacus_undulatus ENSMUNG00000007890
calidris_pygmaea ENSCPGG00000017168
apteryx_rowi ENSARWG00000004676
apteryx_owenii ENSAOWG00000018752
apteryx_haastii ENSAHAG00000007917
dromaius_novaehollandiae ENSDNVG00000017462
nothoprocta_perdicaria ENSNPEG00000015044
anolis_carolinensis ENSACAG00000017904
phascolarctos_cinereus ENSPCIG00000026502
notamacropus_eugenii ENSMEUG00000016587
sarcophilus_harrisii ENSSHAG00000016090
myotis_lucifugus ENSMLUG00000012510
pteropus_vampyrus ENSPVAG00000017421
bos_taurus ENSBTAG00000004835
bos_mutus ENSBMUG00000015572
bison_bison_bison ENSBBBG00000017682
capra_hircus ENSCHIG00000011624
ovis_aries ENSOARG00000017472
tursiops_truncatus ENSTTRG00000013779
sus_scrofa ENSSSCG00000015985
equus_caballus ENSECAG00000022129
equus_asinus_asinus ENSEASG00005022544
ailuropoda_melanoleuca ENSAMEG00000001830
ursus_americanus ENSUAMG00000025698
mustela_putorius_furo ENSMPUG00000014072
neovison_vison ENSNVIG00000007128
canis_lupus_dingo ENSCAFG00020006263
canis_lupus_familiaris ENSCAFG00000013464
vulpes_vulpes ENSVVUG00000012700
felis_catus ENSFCAG00000022371
panthera_pardus ENSPPRG00000022847
sorex_araneus ENSSARG00000007917
castor_canadensis ENSCCNG00000006483
dipodomys_ordii ENSDORG00000029389
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024596
mus_spicilegus ENSMSIG00000006158
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000079277
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023673
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0025125
rattus_norvegicus ENSRNOG00000001577
meriones_unguiculatus ENSMUGG00000010710
microtus_ochrogaster ENSMOCG00000022552
peromyscus_maniculatus_bairdii ENSPEMG00000028862
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011863
cricetulus_griseus_crigri-picr ENSCGRG00015000213
mesocricetus_auratus ENSMAUG00000018318
nannospalax_galili ENSNGAG00000021055
urocitellus_parryii ENSUPAG00010020410
spermophilus_dauricus ENSSDAG00000015738
ictidomys_tridecemlineatus ENSSTOG00000014680
marmota_marmota_marmota ENSMMMG00000023768
chinchilla_lanigera ENSCLAG00000000379
chinchilla_lanigera ENSCLAG00000013605
cavia_porcellus ENSCPOG00000034932
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000003761
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100009503
fukomys_damarensis ENSFDAG00000010330
octodon_degus ENSODEG00000009722
oryctolagus_cuniculus ENSOCUG00000014119
ochotona_princeps ENSOPRG00000004098
microcebus_murinus ENSMICG00000004286
propithecus_coquereli ENSPCOG00000017195
prolemur_simus ENSPSMG00000024507
otolemur_garnettii ENSOGAG00000015710
pan_troglodytes ENSPTRG00000012672
pan_paniscus ENSPPAG00000031713
gorilla_gorilla ENSGGOG00000037089
homo_sapiens ENSG00000128652
pongo_abelii ENSPPYG00000012963
nomascus_leucogenys ENSNLEG00000006018
piliocolobus_tephrosceles ENSPTEG00000039245
colobus_angolensis_palliatus ENSCANG00000032126
rhinopithecus_bieti ENSRBIG00000044829
rhinopithecus_roxellana ENSRROG00000044509
macaca_fascicularis ENSMFAG00000034065
macaca_nemestrina ENSMNEG00000040202
theropithecus_gelada ENSTGEG00000021334
papio_anubis ENSPANG00000000543
cercocebus_atys ENSCATG00000029355
mandrillus_leucophaeus ENSMLEG00000037278
chlorocebus_sabaeus ENSCSAG00000014422
callithrix_jacchus ENSCJAG00000042426
cebus_capucinus_imitator ENSCCAG00000021072
saimiri_boliviensis_boliviensis ENSSBOG00000031894
aotus_nancymaae ENSANAG00000026428
carlito_syrichta ENSTSYG00000036098
echinops_telfairi ENSETEG00000019407
procavia_capensis ENSPCAG00000015801
loxodonta_africana ENSLAFG00000005477
dasypus_novemcinctus ENSDNOG00000035593
choloepus_hoffmanni ENSCHOG00000010719
ornithorhynchus_anatinus ENSOANG00000008618
xenopus_tropicalis ENSXETG00000001800
latimeria_chalumnae ENSLACG00000008444
paramormyrops_kingsleyae ENSPKIG00000022968
scleropages_formosus ENSSFOG00015001794
mastacembelus_armatus ENSMAMG00000006302
monopterus_albus ENSMALG00000009560
anabas_testudineus ENSATEG00000015328
haplochromis_burtoni ENSHBUG00000019721
