hippocampus_comes ENSHCOG00000016777
periophthalmus_magnuspinnatus ENSPMGG00000020346
anabas_testudineus ENSATEG00000022327
takifugu_rubripes ENSTRUG00000019497
tetraodon_nigroviridis ENSTNIG00000001305
mola_mola ENSMMOG00000010989
labrus_bergylta ENSLBEG00000014491
scophthalmus_maximus ENSSMAG00000004695
cynoglossus_semilaevis ENSCSEG00000007273
seriola_lalandi_dorsalis ENSSLDG00000015669
seriola_lalandi_dorsalis ENSSLDG00000009751
seriola_dumerili ENSSDUG00000023045
monopterus_albus ENSMALG00000015959
mastacembelus_armatus ENSMAMG00000004383
xiphophorus_couchianus ENSXCOG00000012070
xiphophorus_maculatus ENSXMAG00000013752
gambusia_affinis ENSGAFG00000008685
poecilia_formosa ENSPFOG00000006699
poecilia_mexicana ENSPMEG00000005326
poecilia_latipinna ENSPLAG00000019716
poecilia_reticulata ENSPREG00000021501
fundulus_heteroclitus ENSFHEG00000004940
cyprinodon_variegatus ENSCVAG00000003868
kryptolebias_marmoratus ENSKMAG00000020132
oryzias_latipes_asm223471v1 ENSORLG00020001861
oryzias_latipes_asm223467v1 ENSORLG00000009075
oryzias_latipes_asm223469v1 ENSORLG00015005941
oryzias_melastigma ENSOMEG00000002327
amphiprion_percula ENSAPEG00000017079
amphiprion_ocellaris ENSAOCG00000016965
acanthochromis_polyacanthus ENSAPOG00000013940
stegastes_partitus ENSSPAG00000022213
pundamilia_nyererei ENSPNYG00000010246
haplochromis_burtoni ENSHBUG00000022757
astatotilapia_calliptera ENSACLG00000006529
maylandia_zebra ENSMZEG00005003887
neolamprologus_brichardi ENSNBRG00000010805
oreochromis_niloticus ENSONIG00000009590
amphilophus_citrinellus ENSACIG00000023075
esox_lucius ENSELUG00000009880
pygocentrus_nattereri ENSPNAG00000007806
astyanax_mexicanus ENSAMXG00000034584
ictalurus_punctatus ENSIPUG00000000232
