manacus_vitellinus ENSMVIG00005002136
lepidothrix_coronata ENSLCOG00000010939
junco_hyemalis ENSJHYG00000014293
zonotrichia_albicollis ENSZALG00000001638
serinus_canaria ENSSCAG00000007201
lonchura_striata_domestica ENSLSDG00000017006
taeniopygia_guttata ENSTGUG00000008753
cyanistes_caeruleus ENSCCEG00000012979
parus_major ENSPMJG00000014069
calidris_pygmaea ENSCPGG00000002577
calidris_pugnax ENSCPUG00000006258
anas_platyrhynchos_platyrhynchos ENSAPLG00000013907
anser_brachyrhynchus ENSABRG00000019238
gallus_gallus ENSGALG00000013430
coturnix_japonica ENSCJPG00005007058
numida_meleagris ENSNMEG00000009424
apteryx_owenii ENSAOWG00000017795
apteryx_rowi ENSARWG00000002615
dromaius_novaehollandiae ENSDNVG00000012377
chrysemys_picta_bellii ENSCPBG00000001630
anolis_carolinensis ENSACAG00000028522
ciona_savignyi ENSCSAVG00000011780
ciona_intestinalis ENSCING00000013724
