tursiops_truncatus ENSTTRG00000008136
ovis_aries ENSOARG00000003212
pteropus_vampyrus ENSPVAG00000009228
panthera_pardus ENSPPRG00000009373
panthera_tigris_altaica ENSPTIG00000016899
felis_catus ENSFCAG00000040693
neovison_vison ENSNVIG00000023589
equus_caballus ENSECAG00000034372
equus_caballus ENSECAG00000040347
equus_caballus ENSECAG00000030049
equus_caballus ENSECAG00000038196
sorex_araneus ENSSARG00000008982
cebus_capucinus_imitator ENSCCAG00000025364
saimiri_boliviensis_boliviensis ENSSBOG00000018626
callithrix_jacchus ENSCJAG00000004256
pan_paniscus ENSPPAG00000035097
pan_troglodytes ENSPTRG00000028167
gorilla_gorilla ENSGGOG00000005354
homo_sapiens ENSG00000203870
pongo_abelii ENSPPYG00000020894
nomascus_leucogenys ENSNLEG00000014424
macaca_nemestrina ENSMNEG00000038954
macaca_fascicularis ENSMFAG00000041900
cercocebus_atys ENSCATG00000029574
theropithecus_gelada ENSTGEG00000013523
papio_anubis ENSPANG00000014914
mandrillus_leucophaeus ENSMLEG00000033175
chlorocebus_sabaeus ENSCSAG00000006693
rhinopithecus_roxellana ENSRROG00000038407
rhinopithecus_bieti ENSRBIG00000003622
piliocolobus_tephrosceles ENSPTEG00000011538
colobus_angolensis_palliatus ENSCANG00000042116
carlito_syrichta ENSTSYG00000014404
microcebus_murinus ENSMICG00000043321
propithecus_coquereli ENSPCOG00000024173
prolemur_simus ENSPSMG00000012462
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020847
cricetulus_griseus_crigri_1.0 ENSCGRG00000016026
mesocricetus_auratus ENSMAUG00000018168
peromyscus_maniculatus_bairdii ENSPEMG00000010945
microtus_ochrogaster ENSMOCG00000003619
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000073094
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034353
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033193
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031737
urocitellus_parryii ENSUPAG00010002776
procavia_capensis ENSPCAG00000014737
procavia_capensis ENSPCAG00000011748
loxodonta_africana ENSLAFG00000032056
