pundamilia_nyererei ENSPNYG00000023791
astatotilapia_calliptera ENSACLG00000006257
maylandia_zebra ENSMZEG00005024914
neolamprologus_brichardi ENSNBRG00000011737
maylandia_zebra ENSMZEG00005025717
maylandia_zebra ENSMZEG00005000150
maylandia_zebra ENSMZEG00005024033
astatotilapia_calliptera ENSACLG00000016948
maylandia_zebra ENSMZEG00005024898
maylandia_zebra ENSMZEG00005025143
maylandia_zebra ENSMZEG00005015257
maylandia_zebra ENSMZEG00005025783
maylandia_zebra ENSMZEG00005024552
maylandia_zebra ENSMZEG00005015158
maylandia_zebra ENSMZEG00005003274
astatotilapia_calliptera ENSACLG00000010010
maylandia_zebra ENSMZEG00005023109
maylandia_zebra ENSMZEG00005025787
haplochromis_burtoni ENSHBUG00000018982
maylandia_zebra ENSMZEG00005015510
neolamprologus_brichardi ENSNBRG00000022740
astatotilapia_calliptera ENSACLG00000007988
astatotilapia_calliptera ENSACLG00000009488
neolamprologus_brichardi ENSNBRG00000000864
