salvator_merianae ENSSMRG00000017081
anolis_carolinensis ENSACAG00000015398
pogona_vitticeps ENSPVIG00000008718
notechis_scutatus ENSNSUG00000013328
sphenodon_punctatus ENSSPUG00000016462
gopherus_agassizii ENSGAGG00000023246
chelonoidis_abingdonii ENSCABG00000004282
chrysemys_picta_bellii ENSCPBG00000005286
pelodiscus_sinensis ENSPSIG00000008244
cavia_porcellus ENSCPOG00000005140
cavia_aperea ENSCAPG00000005534
chinchilla_lanigera ENSCLAG00000007309
dipodomys_ordii ENSDORG00000002447
oryctolagus_cuniculus ENSOCUG00000026747
microcebus_murinus ENSMICG00000007863
mus_spicilegus ENSMSIG00000021874
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022711
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000007670
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021800
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020789
rattus_norvegicus ENSRNOG00000047628
meriones_unguiculatus ENSMUGG00000006409
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011031
cricetulus_griseus_crigri_1.0 ENSCGRG00000015331
cricetulus_griseus_crigri-picr ENSCGRG00015001678
mesocricetus_auratus ENSMAUG00000018966
microtus_ochrogaster ENSMOCG00000018305
peromyscus_maniculatus_bairdii ENSPEMG00000022853
nannospalax_galili ENSNGAG00000023093
jaculus_jaculus ENSJJAG00000006370
marmota_marmota_marmota ENSMMMG00000019257
spermophilus_dauricus ENSSDAG00000009904
urocitellus_parryii ENSUPAG00010023657
ictidomys_tridecemlineatus ENSSTOG00000002371
castor_canadensis ENSCCNG00000027177
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000013239
fukomys_damarensis ENSFDAG00000010889
octodon_degus ENSODEG00000015021
choloepus_hoffmanni ENSCHOG00000009251
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100000480
procavia_capensis ENSPCAG00000000246
loxodonta_africana ENSLAFG00000002426
echinops_telfairi ENSETEG00000004793
nothoprocta_perdicaria ENSNPEG00000015726
lonchura_striata_domestica ENSLSDG00000003191
ochotona_princeps ENSOPRG00000010594
pongo_abelii ENSPPYG00000009454
pongo_abelii ENSPPYG00000019172
pan_paniscus ENSPPAG00000036398
pan_paniscus ENSPPAG00000036395
pan_troglodytes ENSPTRG00000010364
gorilla_gorilla ENSGGOG00000007028
homo_sapiens ENSG00000088247
nomascus_leucogenys ENSNLEG00000015923
rhinopithecus_roxellana ENSRROG00000031782
rhinopithecus_bieti ENSRBIG00000041605
piliocolobus_tephrosceles ENSPTEG00000026581
colobus_angolensis_palliatus ENSCANG00000015665
papio_anubis ENSPANG00000000103
cercocebus_atys ENSCATG00000036458
mandrillus_leucophaeus ENSMLEG00000030501
macaca_fascicularis ENSMFAG00000000292
macaca_mulatta ENSMMUG00000005597
macaca_nemestrina ENSMNEG00000036982
theropithecus_gelada ENSTGEG00000019428
chlorocebus_sabaeus ENSCSAG00000009626
saimiri_boliviensis_boliviensis ENSSBOG00000034871
callithrix_jacchus ENSCJAG00000016627
cebus_capucinus_imitator ENSCCAG00000025297
aotus_nancymaae ENSANAG00000027617
otolemur_garnettii ENSOGAG00000008073
sus_scrofa ENSSSCG00000013538
vicugna_pacos ENSVPAG00000010837
bos_mutus ENSBMUG00000026034
bison_bison_bison ENSBBBG00000008202
bos_taurus ENSBTAG00000021018
capra_hircus ENSCHIG00000027053
ovis_aries ENSOARG00000005881
tursiops_truncatus ENSTTRG00000010390
equus_caballus ENSECAG00000018305
equus_asinus_asinus ENSEASG00005023114
pteropus_vampyrus ENSPVAG00000007251
myotis_lucifugus ENSMLUG00000015543
ursus_maritimus ENSUMAG00000011144
ursus_americanus ENSUAMG00000023100
ailuropoda_melanoleuca ENSAMEG00000006978
mustela_putorius_furo ENSMPUG00000006615
neovison_vison ENSNVIG00000015567
canis_lupus_dingo ENSCAFG00020019133
canis_lupus_familiaris ENSCAFG00000018667
vulpes_vulpes ENSVVUG00000026737
felis_catus ENSFCAG00000003731
panthera_pardus ENSPPRG00000008001
propithecus_coquereli ENSPCOG00000027506
prolemur_simus ENSPSMG00000010582
carlito_syrichta ENSTSYG00000011552
dasypus_novemcinctus ENSDNOG00000046507
ornithorhynchus_anatinus ENSOANG00000000261
phascolarctos_cinereus ENSPCIG00000025516
notamacropus_eugenii ENSMEUG00000016601
sarcophilus_harrisii ENSSHAG00000011383
monodelphis_domestica ENSMODG00000001952
xenopus_tropicalis ENSXETG00000021862
latimeria_chalumnae ENSLACG00000002072
seriola_dumerili ENSSDUG00000002110
seriola_lalandi_dorsalis ENSSLDG00000025625
scophthalmus_maximus ENSSMAG00000012166
mastacembelus_armatus ENSMAMG00000023639
monopterus_albus ENSMALG00000004958
anabas_testudineus ENSATEG00000024744
gasterosteus_aculeatus ENSGACG00000012422
mola_mola ENSMMOG00000005097
amphiprion_ocellaris ENSAOCG00000010189
amphiprion_percula ENSAPEG00000008575
acanthochromis_polyacanthus ENSAPOG00000012989
stegastes_partitus ENSSPAG00000008244
maylandia_zebra ENSMZEG00005011227
haplochromis_burtoni ENSHBUG00000014760
astatotilapia_calliptera ENSACLG00000001424
maylandia_zebra ENSMZEG00005022974
pundamilia_nyererei ENSPNYG00000014008
neolamprologus_brichardi ENSNBRG00000005876
oreochromis_niloticus ENSONIG00000002163
esox_lucius ENSELUG00000008445
gasterosteus_aculeatus ENSGACG00000018990
tetraodon_nigroviridis ENSTNIG00000014067
labrus_bergylta ENSLBEG00000005191
hippocampus_comes ENSHCOG00000020488
poecilia_formosa ENSPFOG00000004577
poecilia_latipinna ENSPLAG00000010763
poecilia_mexicana ENSPMEG00000014049
poecilia_reticulata ENSPREG00000000419
xiphophorus_maculatus ENSXMAG00000012876
xiphophorus_couchianus ENSXCOG00000014443
gambusia_affinis ENSGAFG00000010469
cyprinodon_variegatus ENSCVAG00000001873
fundulus_heteroclitus ENSFHEG00000009577
kryptolebias_marmoratus ENSKMAG00000018579
oryzias_latipes_asm223469v1 ENSORLG00015003791
oryzias_latipes_asm223467v1 ENSORLG00000011882
oryzias_latipes_asm223471v1 ENSORLG00020005284
oryzias_melastigma ENSOMEG00000013233
cynoglossus_semilaevis ENSCSEG00000011429
mastacembelus_armatus ENSMAMG00000011746
monopterus_albus ENSMALG00000006104
anabas_testudineus ENSATEG00000019332
mola_mola ENSMMOG00000021381
seriola_dumerili ENSSDUG00000002390
seriola_lalandi_dorsalis ENSSLDG00000012993
scophthalmus_maximus ENSSMAG00000004167
amphiprion_percula ENSAPEG00000013411
amphiprion_ocellaris ENSAOCG00000010049
acanthochromis_polyacanthus ENSAPOG00000009524
stegastes_partitus ENSSPAG00000008349
astatotilapia_calliptera ENSACLG00000020487
haplochromis_burtoni ENSHBUG00000018543
pundamilia_nyererei ENSPNYG00000001374
