phascolarctos_cinereus ENSPCIG00000014074
notamacropus_eugenii ENSMEUG00000006166
sarcophilus_harrisii ENSSHAG00000004738
monodelphis_domestica ENSMODG00000021092
choloepus_hoffmanni ENSCHOG00000004086
dasypus_novemcinctus ENSDNOG00000016432
loxodonta_africana ENSLAFG00000015027
procavia_capensis ENSPCAG00000008507
echinops_telfairi ENSETEG00000017261
tursiops_truncatus ENSTTRG00000009085
sus_scrofa ENSSSCG00000023215
bos_taurus ENSBTAG00000001288
bos_mutus ENSBMUG00000022334
ovis_aries ENSOARG00000003288
capra_hircus ENSCHIG00000024619
vicugna_pacos ENSVPAG00000000658
ursus_maritimus ENSUMAG00000013852
ursus_americanus ENSUAMG00000027637
ailuropoda_melanoleuca ENSAMEG00000016331
neovison_vison ENSNVIG00000016341
mustela_putorius_furo ENSMPUG00000012731
canis_lupus_dingo ENSCAFG00020027173
canis_lupus_familiaris ENSCAFG00000014451
vulpes_vulpes ENSVVUG00000011781
panthera_pardus ENSPPRG00000013398
panthera_tigris_altaica ENSPTIG00000016649
felis_catus ENSFCAG00000013086
equus_caballus ENSECAG00000000132
pteropus_vampyrus ENSPVAG00000011226
myotis_lucifugus ENSMLUG00000001434
erinaceus_europaeus ENSEEUG00000006026
sorex_araneus ENSSARG00000014232
microcebus_murinus ENSMICG00000031145
prolemur_simus ENSPSMG00000020644
prolemur_simus ENSPSMG00000023538
propithecus_coquereli ENSPCOG00000025423
prolemur_simus ENSPSMG00000020034
otolemur_garnettii ENSOGAG00000005617
otolemur_garnettii ENSOGAG00000025343
tupaia_belangeri ENSTBEG00000000633
pan_troglodytes ENSPTRG00000021817
pan_paniscus ENSPPAG00000033577
homo_sapiens ENSG00000069535
gorilla_gorilla ENSGGOG00000000204
pongo_abelii ENSPPYG00000020264
nomascus_leucogenys ENSNLEG00000002389
rhinopithecus_roxellana ENSRROG00000041200
rhinopithecus_bieti ENSRBIG00000038848
piliocolobus_tephrosceles ENSPTEG00000027858
colobus_angolensis_palliatus ENSCANG00000012149
macaca_fascicularis ENSMFAG00000040990
macaca_nemestrina ENSMNEG00000037209
macaca_mulatta ENSMMUG00000019492
cercocebus_atys ENSCATG00000033757
mandrillus_leucophaeus ENSMLEG00000038827
papio_anubis ENSPANG00000025805
theropithecus_gelada ENSTGEG00000007961
chlorocebus_sabaeus ENSCSAG00000013934
cebus_capucinus_imitator ENSCCAG00000024453
saimiri_boliviensis_boliviensis ENSSBOG00000019184
callithrix_jacchus ENSCJAG00000010763
aotus_nancymaae ENSANAG00000034907
carlito_syrichta ENSTSYG00000009884
dipodomys_ordii ENSDORG00000011172
castor_canadensis ENSCCNG00000027194
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000040147
mus_spicilegus ENSMSIG00000007452
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034099
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032950
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031493
rattus_norvegicus ENSRNOG00000029778
meriones_unguiculatus ENSMUGG00000004087
cricetulus_griseus_crigri-picr ENSCGRG00015003458
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012026
cricetulus_griseus_crigri_1.0 ENSCGRG00000002629
mesocricetus_auratus ENSMAUG00000017384
peromyscus_maniculatus_bairdii ENSPEMG00000000761
microtus_ochrogaster ENSMOCG00000020444
nannospalax_galili ENSNGAG00000016015
jaculus_jaculus ENSJJAG00000012262
ictidomys_tridecemlineatus ENSSTOG00000004985
urocitellus_parryii ENSUPAG00010001680
spermophilus_dauricus ENSSDAG00000006132
marmota_marmota_marmota ENSMMMG00000011245
octodon_degus ENSODEG00000001994
cavia_porcellus ENSCPOG00000000980
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000018385
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100000961
fukomys_damarensis ENSFDAG00000005737
oryctolagus_cuniculus ENSOCUG00000001436
ochotona_princeps ENSOPRG00000017160
meriones_unguiculatus ENSMUGG00000003627
microtus_ochrogaster ENSMOCG00000006909
castor_canadensis ENSCCNG00000027202
chinchilla_lanigera ENSCLAG00000000988
equus_asinus_asinus ENSEASG00005020127
ornithorhynchus_anatinus ENSOANG00000006486
