cyprinodon_variegatus ENSCVAG00000004538
xiphophorus_couchianus ENSXCOG00000012502
poecilia_reticulata ENSPREG00000001827
poecilia_mexicana ENSPMEG00000008528
gambusia_affinis ENSGAFG00000012792
fundulus_heteroclitus ENSFHEG00000016487
kryptolebias_marmoratus ENSKMAG00000020506
oryzias_melastigma ENSOMEG00000012173
maylandia_zebra ENSMZEG00005016883
astatotilapia_calliptera ENSACLG00000015577
haplochromis_burtoni ENSHBUG00000001798
pundamilia_nyererei ENSPNYG00000006760
neolamprologus_brichardi ENSNBRG00000003422
mola_mola ENSMMOG00000012761
takifugu_rubripes ENSTRUG00000024742
labrus_bergylta ENSLBEG00000022161
seriola_lalandi_dorsalis ENSSLDG00000006634
seriola_dumerili ENSSDUG00000023719
esox_lucius ENSELUG00000024137
