mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019525
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000033063
mus_spicilegus ENSMSIG00000021683
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018645
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0019709
rattus_norvegicus ENSRNOG00000027309
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012388
cricetulus_griseus_crigri-picr ENSCGRG00015012790
mesocricetus_auratus ENSMAUG00000002315
nannospalax_galili ENSNGAG00000018370
jaculus_jaculus ENSJJAG00000006453
castor_canadensis ENSCCNG00000001913
spermophilus_dauricus ENSSDAG00000019921
ictidomys_tridecemlineatus ENSSTOG00000004899
marmota_marmota_marmota ENSMMMG00000006831
chinchilla_lanigera ENSCLAG00000000152
octodon_degus ENSODEG00000003598
fukomys_damarensis ENSFDAG00000016776
cavia_porcellus ENSCPOG00000020022
oryctolagus_cuniculus ENSOCUG00000008926
homo_sapiens ENSG00000106714
homo_sapiens ENSG00000283378
homo_sapiens ENSG00000154529
gorilla_gorilla ENSGGOG00000000162
pan_troglodytes ENSPTRG00000020961
pongo_abelii ENSPPYG00000019037
pongo_abelii ENSPPYG00000019872
nomascus_leucogenys ENSNLEG00000015707
piliocolobus_tephrosceles ENSPTEG00000019006
colobus_angolensis_palliatus ENSCANG00000030121
rhinopithecus_bieti ENSRBIG00000032664
rhinopithecus_roxellana ENSRROG00000039725
mandrillus_leucophaeus ENSMLEG00000032886
cercocebus_atys ENSCATG00000035993
theropithecus_gelada ENSTGEG00000004399
papio_anubis ENSPANG00000024642
macaca_mulatta ENSMMUG00000016712
macaca_fascicularis ENSMFAG00000005812
macaca_nemestrina ENSMNEG00000032990
chlorocebus_sabaeus ENSCSAG00000006901
macaca_mulatta ENSMMUG00000021063
cebus_capucinus_imitator ENSCCAG00000037426
saimiri_boliviensis_boliviensis ENSSBOG00000032397
callithrix_jacchus ENSCJAG00000004536
aotus_nancymaae ENSANAG00000036162
carlito_syrichta ENSTSYG00000002830
microcebus_murinus ENSMICG00000033419
propithecus_coquereli ENSPCOG00000017184
prolemur_simus ENSPSMG00000012805
otolemur_garnettii ENSOGAG00000003992
tupaia_belangeri ENSTBEG00000011841
bos_taurus ENSBTAG00000006446
bos_mutus ENSBMUG00000012263
bison_bison_bison ENSBBBG00000003722
ovis_aries ENSOARG00000010762
capra_hircus ENSCHIG00000008314
tursiops_truncatus ENSTTRG00000006877
sus_scrofa ENSSSCG00000033204
vicugna_pacos ENSVPAG00000010074
canis_lupus_dingo ENSCAFG00020005430
canis_lupus_familiaris ENSCAFG00000002155
vulpes_vulpes ENSVVUG00000007496
ursus_maritimus ENSUMAG00000016675
ursus_americanus ENSUAMG00000015807
ailuropoda_melanoleuca ENSAMEG00000017286
mustela_putorius_furo ENSMPUG00000006678
neovison_vison ENSNVIG00000024496
mustela_putorius_furo ENSMPUG00000018215
neovison_vison ENSNVIG00000022576
panthera_pardus ENSPPRG00000023237
panthera_tigris_altaica ENSPTIG00000012403
pteropus_vampyrus ENSPVAG00000007151
choloepus_hoffmanni ENSCHOG00000006964
gallus_gallus ENSGALG00000054848
apteryx_owenii ENSAOWG00000010489
apteryx_haastii ENSAHAG00000016470
xenopus_tropicalis ENSXETG00000010874
lepisosteus_oculatus ENSLOCG00000010415
paramormyrops_kingsleyae ENSPKIG00000021284
scleropages_formosus ENSSFOG00015012370
lepisosteus_oculatus ENSLOCG00000010257
amphiprion_ocellaris ENSAOCG00000018341
amphiprion_percula ENSAPEG00000013461
acanthochromis_polyacanthus ENSAPOG00000016155
stegastes_partitus ENSSPAG00000023147
astatotilapia_calliptera ENSACLG00000026698
haplochromis_burtoni ENSHBUG00000003944
pundamilia_nyererei ENSPNYG00000014968
neolamprologus_brichardi ENSNBRG00000019528
maylandia_zebra ENSMZEG00005018025
oreochromis_niloticus ENSONIG00000008317
amphilophus_citrinellus ENSACIG00000008929
fundulus_heteroclitus ENSFHEG00000002995
cyprinodon_variegatus ENSCVAG00000012742
xiphophorus_maculatus ENSXMAG00000000483
xiphophorus_couchianus ENSXCOG00000008245
gambusia_affinis ENSGAFG00000010227
poecilia_mexicana ENSPMEG00000018397
poecilia_latipinna ENSPLAG00000022488
