pan_paniscus ENSPPAG00000038628
pan_troglodytes ENSPTRG00000016163
homo_sapiens ENSG00000081041
gorilla_gorilla ENSGGOG00000022706
pongo_abelii ENSPPYG00000014834
nomascus_leucogenys ENSNLEG00000007933
rhinopithecus_bieti ENSRBIG00000037795
rhinopithecus_roxellana ENSRROG00000044892
colobus_angolensis_palliatus ENSCANG00000035587
papio_anubis ENSPANG00000036029
cercocebus_atys ENSCATG00000039542
theropithecus_gelada ENSTGEG00000014387
mandrillus_leucophaeus ENSMLEG00000023822
macaca_mulatta ENSMMUG00000048596
macaca_nemestrina ENSMNEG00000034692
macaca_fascicularis ENSMFAG00000035439
chlorocebus_sabaeus ENSCSAG00000004749
gorilla_gorilla ENSGGOG00000008738
gorilla_gorilla ENSGGOG00000025940
homo_sapiens ENSG00000163734
nomascus_leucogenys ENSNLEG00000007930
papio_anubis ENSPANG00000032873
theropithecus_gelada ENSTGEG00000014473
chlorocebus_sabaeus ENSCSAG00000004754
saimiri_boliviensis_boliviensis ENSSBOG00000022173
saimiri_boliviensis_boliviensis ENSSBOG00000032845
cebus_capucinus_imitator ENSCCAG00000022520
callithrix_jacchus ENSCJAG00000041123
aotus_nancymaae ENSANAG00000024535
carlito_syrichta ENSTSYG00000008588
oryctolagus_cuniculus ENSOCUG00000024425
