macaca_mulatta ENSMMUG00000042045
macaca_fascicularis ENSMFAG00000030368
macaca_nemestrina ENSMNEG00000006574
mandrillus_leucophaeus ENSMLEG00000027228
theropithecus_gelada ENSTGEG00000001724
cercocebus_atys ENSCATG00000019805
papio_anubis ENSPANG00000031690
piliocolobus_tephrosceles ENSPTEG00000037887
colobus_angolensis_palliatus ENSCANG00000029284
rhinopithecus_bieti ENSRBIG00000022512
rhinopithecus_roxellana ENSRROG00000009139
gorilla_gorilla ENSGGOG00000041489
cebus_capucinus_imitator ENSCCAG00000025145
callithrix_jacchus ENSCJAG00000038183
aotus_nancymaae ENSANAG00000014041
carlito_syrichta ENSTSYG00000032062
microcebus_murinus ENSMICG00000041703
neovison_vison ENSNVIG00000021051
