gopherus_agassizii ENSGAGG00000020789
chrysemys_picta_bellii ENSCPBG00000010459
chelonoidis_abingdonii ENSCABG00000014570
crocodylus_porosus ENSCPRG00005017141
salvator_merianae ENSSMRG00000005767
pogona_vitticeps ENSPVIG00000017048
sphenodon_punctatus ENSSPUG00000001706
meleagris_gallopavo ENSMGAG00000007642
gallus_gallus ENSGALG00000003636
coturnix_japonica ENSCJPG00005017764
anser_brachyrhynchus ENSABRG00000010413
anas_platyrhynchos_platyrhynchos ENSAPLG00000029152
lonchura_striata_domestica ENSLSDG00000016780
taeniopygia_guttata ENSTGUG00000002066
serinus_canaria ENSSCAG00000004890
zonotrichia_albicollis ENSZALG00000017471
junco_hyemalis ENSJHYG00000013159
parus_major ENSPMJG00000009400
cyanistes_caeruleus ENSCCEG00000013096
ficedula_albicollis ENSFALG00000003559
manacus_vitellinus ENSMVIG00005005160
manacus_vitellinus ENSMVIG00005000161
lepidothrix_coronata ENSLCOG00000004852
melopsittacus_undulatus ENSMUNG00000011989
calidris_pugnax ENSCPUG00000016216
calidris_pygmaea ENSCPGG00000000144
apteryx_rowi ENSARWG00000012691
apteryx_owenii ENSAOWG00000004359
apteryx_haastii ENSAHAG00000017548
dromaius_novaehollandiae ENSDNVG00000012141
notechis_scutatus ENSNSUG00000018881
mustela_putorius_furo ENSMPUG00000016318
panthera_tigris_altaica ENSPTIG00000008568
myotis_lucifugus ENSMLUG00000010113
vicugna_pacos ENSVPAG00000011979
ailuropoda_melanoleuca ENSAMEG00000011829
ursus_maritimus ENSUMAG00000021656
neovison_vison ENSNVIG00000011696
canis_lupus_familiaris ENSCAFG00000016138
canis_lupus_dingo ENSCAFG00020004885
vulpes_vulpes ENSVVUG00000028949
panthera_pardus ENSPPRG00000003677
felis_catus ENSFCAG00000011590
pteropus_vampyrus ENSPVAG00000009000
bos_mutus ENSBMUG00000025515
bos_taurus ENSBTAG00000018725
bison_bison_bison ENSBBBG00000015556
capra_hircus ENSCHIG00000017802
ovis_aries ENSOARG00000014192
ovis_aries ENSOARG00000008656
sus_scrofa ENSSSCG00000003465
tursiops_truncatus ENSTTRG00000011420
equus_asinus_asinus ENSEASG00005015915
equus_caballus ENSECAG00000011874
sorex_araneus ENSSARG00000004819
pan_paniscus ENSPPAG00000032204
pan_troglodytes ENSPTRG00000000208
homo_sapiens ENSG00000162458
gorilla_gorilla ENSGGOG00000015190
pongo_abelii ENSPPYG00000001837
nomascus_leucogenys ENSNLEG00000007650
colobus_angolensis_palliatus ENSCANG00000036671
piliocolobus_tephrosceles ENSPTEG00000034099
rhinopithecus_bieti ENSRBIG00000036960
macaca_mulatta ENSMMUG00000032243
macaca_nemestrina ENSMNEG00000041350
macaca_fascicularis ENSMFAG00000044716
cercocebus_atys ENSCATG00000000020
papio_anubis ENSPANG00000019414
mandrillus_leucophaeus ENSMLEG00000036228
theropithecus_gelada ENSTGEG00000023360
chlorocebus_sabaeus ENSCSAG00000000840
gorilla_gorilla ENSGGOG00000039541
pan_paniscus ENSPPAG00000041712
nomascus_leucogenys ENSNLEG00000030015
