pan_troglodytes ENSPTRG00000003803
pan_paniscus ENSPPAG00000042349
homo_sapiens ENSG00000133317
gorilla_gorilla ENSGGOG00000000279
pongo_abelii ENSPPYG00000003132
nomascus_leucogenys ENSNLEG00000004499
papio_anubis ENSPANG00000012182
theropithecus_gelada ENSTGEG00000014824
cercocebus_atys ENSCATG00000038681
mandrillus_leucophaeus ENSMLEG00000041910
macaca_mulatta ENSMMUG00000018304
macaca_nemestrina ENSMNEG00000040245
macaca_fascicularis ENSMFAG00000041888
chlorocebus_sabaeus ENSCSAG00000006834
rhinopithecus_roxellana ENSRROG00000041051
rhinopithecus_bieti ENSRBIG00000034955
colobus_angolensis_palliatus ENSCANG00000042602
piliocolobus_tephrosceles ENSPTEG00000015937
saimiri_boliviensis_boliviensis ENSSBOG00000022059
cebus_capucinus_imitator ENSCCAG00000028471
callithrix_jacchus ENSCJAG00000018504
aotus_nancymaae ENSANAG00000029421
carlito_syrichta ENSTSYG00000012834
microcebus_murinus ENSMICG00000010263
propithecus_coquereli ENSPCOG00000027553
prolemur_simus ENSPSMG00000011815
otolemur_garnettii ENSOGAG00000009408
mus_spicilegus ENSMSIG00000020293
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000024972
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023552
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022642
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0014136
rattus_norvegicus ENSRNOG00000021207
meriones_unguiculatus ENSMUGG00000005879
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010564
cricetulus_griseus_crigri-picr ENSCGRG00015008531
cricetulus_griseus_crigri_1.0 ENSCGRG00000001542
mesocricetus_auratus ENSMAUG00000014489
microtus_ochrogaster ENSMOCG00000019635
peromyscus_maniculatus_bairdii ENSPEMG00000002696
nannospalax_galili ENSNGAG00000004004
jaculus_jaculus ENSJJAG00000014881
castor_canadensis ENSCCNG00000015061
dipodomys_ordii ENSDORG00000012907
spermophilus_dauricus ENSSDAG00000010292
spermophilus_dauricus ENSSDAG00000008202
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000003580
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100014014
fukomys_damarensis ENSFDAG00000011501
chinchilla_lanigera ENSCLAG00000000294
octodon_degus ENSODEG00000002489
cavia_porcellus ENSCPOG00000001729
cavia_aperea ENSCAPG00000012334
tupaia_belangeri ENSTBEG00000003148
ochotona_princeps ENSOPRG00000011830
oryctolagus_cuniculus ENSOCUG00000010300
canis_lupus_familiaris ENSCAFG00000015091
vulpes_vulpes ENSVVUG00000029809
canis_lupus_dingo ENSCAFG00020013880
equus_caballus ENSECAG00000019637
erinaceus_europaeus ENSEEUG00000009588
vicugna_pacos ENSVPAG00000004928
ursus_americanus ENSUAMG00000005529
ursus_americanus ENSUAMG00000024160
ursus_maritimus ENSUMAG00000016873
ailuropoda_melanoleuca ENSAMEG00000005796
mustela_putorius_furo ENSMPUG00000013482
neovison_vison ENSNVIG00000019356
panthera_pardus ENSPPRG00000015392
panthera_tigris_altaica ENSPTIG00000013920
felis_catus ENSFCAG00000014648
myotis_lucifugus ENSMLUG00000010608
sorex_araneus ENSSARG00000009908
pteropus_vampyrus ENSPVAG00000001465
capra_hircus ENSCHIG00000020309
capra_hircus ENSCHIG00000003540
ovis_aries ENSOARG00000002555
bos_mutus ENSBMUG00000023506
bos_taurus ENSBTAG00000007108
bison_bison_bison ENSBBBG00000005432
tursiops_truncatus ENSTTRG00000011714
sus_scrofa ENSSSCG00000013056
dasypus_novemcinctus ENSDNOG00000044389
choloepus_hoffmanni ENSCHOG00000006826
procavia_capensis ENSPCAG00000014784
echinops_telfairi ENSETEG00000010585
loxodonta_africana ENSLAFG00000002946
notamacropus_eugenii ENSMEUG00000011842
phascolarctos_cinereus ENSPCIG00000015539
sarcophilus_harrisii ENSSHAG00000004703
monodelphis_domestica ENSMODG00000028381
ornithorhynchus_anatinus ENSOANG00000004064
salvator_merianae ENSSMRG00000015858
pogona_vitticeps ENSPVIG00000016966
sphenodon_punctatus ENSSPUG00000012784
gopherus_agassizii ENSGAGG00000000850
chelonoidis_abingdonii ENSCABG00000000816
chrysemys_picta_bellii ENSCPBG00000023548
pelodiscus_sinensis ENSPSIG00000012610
