manacus_vitellinus ENSMVIG00005005015
lepidothrix_coronata ENSLCOG00000013917
parus_major ENSPMJG00000007109
cyanistes_caeruleus ENSCCEG00000008327
ficedula_albicollis ENSFALG00000005924
serinus_canaria ENSSCAG00000014469
lonchura_striata_domestica ENSLSDG00000006493
taeniopygia_guttata ENSTGUG00000007115
zonotrichia_albicollis ENSZALG00000003639
junco_hyemalis ENSJHYG00000013141
melopsittacus_undulatus ENSMUNG00000004176
calidris_pugnax ENSCPUG00000006691
calidris_pygmaea ENSCPGG00000002991
gallus_gallus ENSGALG00000006092
coturnix_japonica ENSCJPG00005006264
meleagris_gallopavo ENSMGAG00000006823
numida_meleagris ENSNMEG00000016108
anser_brachyrhynchus ENSABRG00000007207
anas_platyrhynchos_platyrhynchos ENSAPLG00000014707
apteryx_owenii ENSAOWG00000001638
apteryx_rowi ENSARWG00000009739
apteryx_haastii ENSAHAG00000010328
dromaius_novaehollandiae ENSDNVG00000007536
nothoprocta_perdicaria ENSNPEG00000008451
crocodylus_porosus ENSCPRG00005006287
chelonoidis_abingdonii ENSCABG00000000665
gopherus_agassizii ENSGAGG00000019510
chrysemys_picta_bellii ENSCPBG00000014736
pelodiscus_sinensis ENSPSIG00000015801
sphenodon_punctatus ENSSPUG00000018516
anolis_carolinensis ENSACAG00000012278
pogona_vitticeps ENSPVIG00000012501
notechis_scutatus ENSNSUG00000018716
salvator_merianae ENSSMRG00000019470
dasypus_novemcinctus ENSDNOG00000025874
choloepus_hoffmanni ENSCHOG00000013646
procavia_capensis ENSPCAG00000001883
echinops_telfairi ENSETEG00000015266
loxodonta_africana ENSLAFG00000010687
loxodonta_africana ENSLAFG00000026390
cebus_capucinus_imitator ENSCCAG00000035441
saimiri_boliviensis_boliviensis ENSSBOG00000028752
callithrix_jacchus ENSCJAG00000010398
aotus_nancymaae ENSANAG00000035708
pan_paniscus ENSPPAG00000027831
pan_troglodytes ENSPTRG00000013750
homo_sapiens ENSG00000197114
gorilla_gorilla ENSGGOG00000004801
pongo_abelii ENSPPYG00000011246
nomascus_leucogenys ENSNLEG00000010146
colobus_angolensis_palliatus ENSCANG00000041082
piliocolobus_tephrosceles ENSPTEG00000005982
rhinopithecus_roxellana ENSRROG00000039084
rhinopithecus_bieti ENSRBIG00000034134
mandrillus_leucophaeus ENSMLEG00000035416
chlorocebus_sabaeus ENSCSAG00000016628
cercocebus_atys ENSCATG00000034076
theropithecus_gelada ENSTGEG00000008461
papio_anubis ENSPANG00000005904
macaca_fascicularis ENSMFAG00000001467
macaca_mulatta ENSMMUG00000000171
macaca_nemestrina ENSMNEG00000019568
homo_sapiens ENSG00000273154
carlito_syrichta ENSTSYG00000000795
propithecus_coquereli ENSPCOG00000012369
microcebus_murinus ENSMICG00000033269
prolemur_simus ENSPSMG00000001268
otolemur_garnettii ENSOGAG00000034509
castor_canadensis ENSCCNG00000030528
dipodomys_ordii ENSDORG00000001360
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000027582
mus_spicilegus ENSMSIG00000012783
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025732
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024806
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026254
rattus_norvegicus ENSRNOG00000014235
meriones_unguiculatus ENSMUGG00000004834
meriones_unguiculatus ENSMUGG00000002919
cricetulus_griseus_crigri_1.0 ENSCGRG00000014321
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011442
cricetulus_griseus_crigri-picr ENSCGRG00015017528
mesocricetus_auratus ENSMAUG00000017248
peromyscus_maniculatus_bairdii ENSPEMG00000015676
microtus_ochrogaster ENSMOCG00000001324
nannospalax_galili ENSNGAG00000014626
jaculus_jaculus ENSJJAG00000018714
jaculus_jaculus ENSJJAG00000008007
cavia_porcellus ENSCPOG00000014427
cavia_aperea ENSCAPG00000009466
octodon_degus ENSODEG00000006562
chinchilla_lanigera ENSCLAG00000004087
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014870
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003927
fukomys_damarensis ENSFDAG00000002974
ictidomys_tridecemlineatus ENSSTOG00000011986
spermophilus_dauricus ENSSDAG00000007719
urocitellus_parryii ENSUPAG00010003773
marmota_marmota_marmota ENSMMMG00000001152
oryctolagus_cuniculus ENSOCUG00000008687
ochotona_princeps ENSOPRG00000002115
canis_lupus_familiaris ENSCAFG00000013056
canis_lupus_dingo ENSCAFG00020001956
vulpes_vulpes ENSVVUG00000015014
neovison_vison ENSNVIG00000019139
ursus_maritimus ENSUMAG00000022033
ursus_americanus ENSUAMG00000009298
ailuropoda_melanoleuca ENSAMEG00000001752
panthera_tigris_altaica ENSPTIG00000020325
panthera_pardus ENSPPRG00000024151
felis_catus ENSFCAG00000001173
equus_caballus ENSECAG00000019674
equus_asinus_asinus ENSEASG00005023159
bos_mutus ENSBMUG00000017440
bos_taurus ENSBTAG00000007498
bison_bison_bison ENSBBBG00000018356
capra_hircus ENSCHIG00000026209
ovis_aries ENSOARG00000010128
tursiops_truncatus ENSTTRG00000012223
sus_scrofa ENSSSCG00000036595
myotis_lucifugus ENSMLUG00000005264
pteropus_vampyrus ENSPVAG00000013489
erinaceus_europaeus ENSEEUG00000005990
phascolarctos_cinereus ENSPCIG00000017922
notamacropus_eugenii ENSMEUG00000011946
monodelphis_domestica ENSMODG00000017016
sarcophilus_harrisii ENSSHAG00000017828
ornithorhynchus_anatinus ENSOANG00000004932
