canis_lupus_familiaris ENSCAFG00000031590
canis_lupus_dingo ENSCAFG00020024762
ailuropoda_melanoleuca ENSAMEG00000019415
neovison_vison ENSNVIG00000009971
panthera_pardus ENSPPRG00000000754
panthera_tigris_altaica ENSPTIG00000010914
felis_catus ENSFCAG00000035858
equus_caballus ENSECAG00000036848
equus_asinus_asinus ENSEASG00005020709
tursiops_truncatus ENSTTRG00000002339
sus_scrofa ENSSSCG00000033173
capra_hircus ENSCHIG00000014591
ovis_aries ENSOARG00000014332
bison_bison_bison ENSBBBG00000010046
bos_mutus ENSBMUG00000025263
vicugna_pacos ENSVPAG00000009744
pteropus_vampyrus ENSPVAG00000015731
pan_paniscus ENSPPAG00000043145
pan_troglodytes ENSPTRG00000022988
homo_sapiens ENSG00000196800
gorilla_gorilla ENSGGOG00000012747
pongo_abelii ENSPPYG00000015922
cercocebus_atys ENSCATG00000042118
mandrillus_leucophaeus ENSMLEG00000032486
theropithecus_gelada ENSTGEG00000028332
papio_anubis ENSPANG00000024863
macaca_nemestrina ENSMNEG00000031464
macaca_fascicularis ENSMFAG00000033113
chlorocebus_sabaeus ENSCSAG00000011930
colobus_angolensis_palliatus ENSCANG00000043641
piliocolobus_tephrosceles ENSPTEG00000022502
rhinopithecus_bieti ENSRBIG00000002009
rhinopithecus_roxellana ENSRROG00000034906
cebus_capucinus_imitator ENSCCAG00000035413
callithrix_jacchus ENSCJAG00000021244
saimiri_boliviensis_boliviensis ENSSBOG00000021006
aotus_nancymaae ENSANAG00000029562
carlito_syrichta ENSTSYG00000008779
tupaia_belangeri ENSTBEG00000003786
spermophilus_dauricus ENSSDAG00000013498
marmota_marmota_marmota ENSMMMG00000018911
ictidomys_tridecemlineatus ENSSTOG00000031546
urocitellus_parryii ENSUPAG00010013021
cavia_aperea ENSCAPG00000009456
cavia_porcellus ENSCPOG00000021753
cricetulus_griseus_crigri_1.0 ENSCGRG00000000124
cricetulus_griseus_crigri-picr ENSCGRG00015004258
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011311
mesocricetus_auratus ENSMAUG00000005950
peromyscus_maniculatus_bairdii ENSPEMG00000009325
microtus_ochrogaster ENSMOCG00000003998
mus_spicilegus ENSMSIG00000023957
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022238
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023148
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000051050
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018971
rattus_norvegicus ENSRNOG00000045824
rattus_norvegicus ENSRNOG00000028902
rattus_norvegicus ENSRNOG00000046686
oryctolagus_cuniculus ENSOCUG00000008803
ochotona_princeps ENSOPRG00000007179
propithecus_coquereli ENSPCOG00000015724
prolemur_simus ENSPSMG00000014040
microcebus_murinus ENSMICG00000008066
dasypus_novemcinctus ENSDNOG00000038134
choloepus_hoffmanni ENSCHOG00000004502
procavia_capensis ENSPCAG00000015842
echinops_telfairi ENSETEG00000010443
