canis_lupus_dingo ENSCAFG00020002827
vulpes_vulpes ENSVVUG00000019369
felis_catus ENSFCAG00000040418
equus_asinus_asinus ENSEASG00005019526
equus_caballus ENSECAG00000036436
peromyscus_maniculatus_bairdii ENSPEMG00000029306
peromyscus_maniculatus_bairdii ENSPEMG00000024792
mus_spicilegus ENSMSIG00000029266
prolemur_simus ENSPSMG00000013631
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100009550
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000018168
echinops_telfairi ENSETEG00000011161
mola_mola ENSMMOG00000016854
