tupaia_belangeri ENSTBEG00000003301
castor_canadensis ENSCCNG00000006034
propithecus_coquereli ENSPCOG00000023188
microcebus_murinus ENSMICG00000002405
prolemur_simus ENSPSMG00000022828
pan_paniscus ENSPPAG00000039709
pan_troglodytes ENSPTRG00000017038
homo_sapiens ENSG00000039319
gorilla_gorilla ENSGGOG00000000411
pongo_abelii ENSPPYG00000015597
nomascus_leucogenys ENSNLEG00000012945
macaca_mulatta ENSMMUG00000023177
macaca_fascicularis ENSMFAG00000039223
macaca_nemestrina ENSMNEG00000040717
mandrillus_leucophaeus ENSMLEG00000038698
papio_anubis ENSPANG00000009347
chlorocebus_sabaeus ENSCSAG00000015157
colobus_angolensis_palliatus ENSCANG00000013374
piliocolobus_tephrosceles ENSPTEG00000036124
rhinopithecus_roxellana ENSRROG00000045718
saimiri_boliviensis_boliviensis ENSSBOG00000035944
callithrix_jacchus ENSCJAG00000019584
aotus_nancymaae ENSANAG00000034353
equus_caballus ENSECAG00000013918
pteropus_vampyrus ENSPVAG00000009236
bos_mutus ENSBMUG00000002756
bos_taurus ENSBTAG00000021577
bison_bison_bison ENSBBBG00000008156
ovis_aries ENSOARG00000014668
capra_hircus ENSCHIG00000022133
tursiops_truncatus ENSTTRG00000008731
sus_scrofa ENSSSCG00000014121
ursus_maritimus ENSUMAG00000002887
ursus_americanus ENSUAMG00000027244
neovison_vison ENSNVIG00000001838
mustela_putorius_furo ENSMPUG00000004802
canis_lupus_familiaris ENSCAFG00000008834
canis_lupus_dingo ENSCAFG00020026815
vulpes_vulpes ENSVVUG00000024953
panthera_pardus ENSPPRG00000012892
panthera_tigris_altaica ENSPTIG00000010471
felis_catus ENSFCAG00000025974
sorex_araneus ENSSARG00000013387
choloepus_hoffmanni ENSCHOG00000008402
melopsittacus_undulatus ENSMUNG00000016582
meleagris_gallopavo ENSMGAG00000010487
gopherus_agassizii ENSGAGG00000024986
tetraodon_nigroviridis ENSTNIG00000013548
