xenopus_tropicalis ENSXETG00000033843
latimeria_chalumnae ENSLACG00000003876
mola_mola ENSMMOG00000007600
gasterosteus_aculeatus ENSGACG00000011881
amphiprion_ocellaris ENSAOCG00000008223
amphiprion_percula ENSAPEG00000010566
acanthochromis_polyacanthus ENSAPOG00000012904
stegastes_partitus ENSSPAG00000010440
cynoglossus_semilaevis ENSCSEG00000015737
cynoglossus_semilaevis ENSCSEG00000015763
scophthalmus_maximus ENSSMAG00000014656
kryptolebias_marmoratus ENSKMAG00000019966
labrus_bergylta ENSLBEG00000026496
takifugu_rubripes ENSTRUG00000006223
periophthalmus_magnuspinnatus ENSPMGG00000020551
poecilia_formosa ENSPFOG00000023046
poecilia_mexicana ENSPMEG00000019712
poecilia_latipinna ENSPLAG00000014441
poecilia_reticulata ENSPREG00000005773
xiphophorus_couchianus ENSXCOG00000010300
xiphophorus_maculatus ENSXMAG00000019849
gambusia_affinis ENSGAFG00000020190
fundulus_heteroclitus ENSFHEG00000022657
cyprinodon_variegatus ENSCVAG00000002760
oryzias_latipes_asm223467v1 ENSORLG00000009221
oryzias_latipes_asm223471v1 ENSORLG00020017882
oryzias_latipes_asm223469v1 ENSORLG00015007253
oryzias_melastigma ENSOMEG00000012353
astatotilapia_calliptera ENSACLG00000027944
maylandia_zebra ENSMZEG00005002692
pundamilia_nyererei ENSPNYG00000017493
haplochromis_burtoni ENSHBUG00000012077
neolamprologus_brichardi ENSNBRG00000002872
maylandia_zebra ENSMZEG00005025615
oreochromis_niloticus ENSONIG00000020557
amphilophus_citrinellus ENSACIG00000021974
mastacembelus_armatus ENSMAMG00000023484
monopterus_albus ENSMALG00000007218
anabas_testudineus ENSATEG00000024534
seriola_lalandi_dorsalis ENSSLDG00000023629
seriola_dumerili ENSSDUG00000008375
hippocampus_comes ENSHCOG00000016532
gadus_morhua ENSGMOG00000020263
esox_lucius ENSELUG00000006568
pygocentrus_nattereri ENSPNAG00000025781
astyanax_mexicanus ENSAMXG00000026499
ictalurus_punctatus ENSIPUG00000005222
danio_rerio ENSDARG00000031657
scleropages_formosus ENSSFOG00015023482
paramormyrops_kingsleyae ENSPKIG00000000050
lepisosteus_oculatus ENSLOCG00000005085
lepidothrix_coronata ENSLCOG00000012671
manacus_vitellinus ENSMVIG00005013461
junco_hyemalis ENSJHYG00000004148
zonotrichia_albicollis ENSZALG00000003074
serinus_canaria ENSSCAG00000005544
lonchura_striata_domestica ENSLSDG00000010431
taeniopygia_guttata ENSTGUG00000006763
parus_major ENSPMJG00000017619
ficedula_albicollis ENSFALG00000014640
melopsittacus_undulatus ENSMUNG00000013976
calidris_pygmaea ENSCPGG00000014740
calidris_pugnax ENSCPUG00000012182
anser_brachyrhynchus ENSABRG00000014194
anas_platyrhynchos_platyrhynchos ENSAPLG00000024457
meleagris_gallopavo ENSMGAG00000015559
gallus_gallus ENSGALG00000024041
numida_meleagris ENSNMEG00000011969
coturnix_japonica ENSCJPG00005005586
apteryx_rowi ENSARWG00000003111
apteryx_owenii ENSAOWG00000003932
apteryx_haastii ENSAHAG00000013253
dromaius_novaehollandiae ENSDNVG00000013442
nothoprocta_perdicaria ENSNPEG00000014313
crocodylus_porosus ENSCPRG00005014926
gopherus_agassizii ENSGAGG00000007585
chelonoidis_abingdonii ENSCABG00000020892
chrysemys_picta_bellii ENSCPBG00000021129
pelodiscus_sinensis ENSPSIG00000001342
pogona_vitticeps ENSPVIG00000014485
anolis_carolinensis ENSACAG00000006190
notechis_scutatus ENSNSUG00000013771
salvator_merianae ENSSMRG00000016970
phascolarctos_cinereus ENSPCIG00000017360
monodelphis_domestica ENSMODG00000016110
sarcophilus_harrisii ENSSHAG00000013683
notamacropus_eugenii ENSMEUG00000013386
ursus_americanus ENSUAMG00000013331
ursus_maritimus ENSUMAG00000022065
ailuropoda_melanoleuca ENSAMEG00000018730
mustela_putorius_furo ENSMPUG00000020061
neovison_vison ENSNVIG00000022077
vulpes_vulpes ENSVVUG00000009934
canis_lupus_dingo ENSCAFG00020000583
panthera_pardus ENSPPRG00000012078
panthera_tigris_altaica ENSPTIG00000009011
felis_catus ENSFCAG00000031483
bos_taurus ENSBTAG00000033015
bos_mutus ENSBMUG00000018088
bison_bison_bison ENSBBBG00000004028
capra_hircus ENSCHIG00000007917
tursiops_truncatus ENSTTRG00000011387
sus_scrofa ENSSSCG00000039715
vicugna_pacos ENSVPAG00000009060
equus_caballus ENSECAG00000004353
equus_asinus_asinus ENSEASG00005004596
myotis_lucifugus ENSMLUG00000000789
propithecus_coquereli ENSPCOG00000007621
microcebus_murinus ENSMICG00000002137
prolemur_simus ENSPSMG00000024285
otolemur_garnettii ENSOGAG00000012662
carlito_syrichta ENSTSYG00000007002
pongo_abelii ENSPPYG00000006967
pan_paniscus ENSPPAG00000032283
chlorocebus_sabaeus ENSCSAG00000018842
mandrillus_leucophaeus ENSMLEG00000026819
piliocolobus_tephrosceles ENSPTEG00000034608
rhinopithecus_bieti ENSRBIG00000014266
homo_sapiens ENSG00000180185
pan_troglodytes ENSPTRG00000046890
gorilla_gorilla ENSGGOG00000024697
nomascus_leucogenys ENSNLEG00000008809
colobus_angolensis_palliatus ENSCANG00000024564
rhinopithecus_roxellana ENSRROG00000033003
macaca_mulatta ENSMMUG00000000738
macaca_fascicularis ENSMFAG00000037024
macaca_nemestrina ENSMNEG00000042967
cercocebus_atys ENSCATG00000024626
papio_anubis ENSPANG00000015411
theropithecus_gelada ENSTGEG00000004191
aotus_nancymaae ENSANAG00000019351
aotus_nancymaae ENSANAG00000034768
aotus_nancymaae ENSANAG00000023277
cebus_capucinus_imitator ENSCCAG00000027433
callithrix_jacchus ENSCJAG00000014764
saimiri_boliviensis_boliviensis ENSSBOG00000033711
pan_paniscus ENSPPAG00000041698
pan_troglodytes ENSPTRG00000043652
gorilla_gorilla ENSGGOG00000023164
dasypus_novemcinctus ENSDNOG00000031262
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022116
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000045316
mus_spicilegus ENSMSIG00000008407
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021208
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0023525
rattus_norvegicus ENSRNOG00000014727
meriones_unguiculatus ENSMUGG00000018050
peromyscus_maniculatus_bairdii ENSPEMG00000013732
peromyscus_maniculatus_bairdii ENSPEMG00000028372
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013933
cricetulus_griseus_crigri-picr ENSCGRG00015014315
mesocricetus_auratus ENSMAUG00000008227
microtus_ochrogaster ENSMOCG00000001032
nannospalax_galili ENSNGAG00000013637
jaculus_jaculus ENSJJAG00000012552
urocitellus_parryii ENSUPAG00010016476
spermophilus_dauricus ENSSDAG00000014464
marmota_marmota_marmota ENSMMMG00000011106
octodon_degus ENSODEG00000020210
castor_canadensis ENSCCNG00000031458
ochotona_princeps ENSOPRG00000004601
dipodomys_ordii ENSDORG00000009678
tupaia_belangeri ENSTBEG00000000251
loxodonta_africana ENSLAFG00000008141
procavia_capensis ENSPCAG00000012720
petromyzon_marinus ENSPMAG00000006599
eptatretus_burgeri ENSEBUG00000008012
ciona_intestinalis ENSCING00000020809
caenorhabditis_elegans_strain_n2 WBGene00022798
saccharomyces_cerevisiae_strain_s288c YNL168C
