seriola_lalandi_dorsalis ENSSLDG00000013032
cynoglossus_semilaevis ENSCSEG00000007011
spermophilus_dauricus ENSSDAG00000009580
urocitellus_parryii ENSUPAG00010005427
mus_spicilegus ENSMSIG00000024833
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017096
piliocolobus_tephrosceles ENSPTEG00000037304
pan_paniscus ENSPPAG00000032497
neovison_vison ENSNVIG00000021040
prolemur_simus ENSPSMG00000017294
spermophilus_dauricus ENSSDAG00000001840
canis_lupus_dingo ENSCAFG00020025978
vulpes_vulpes ENSVVUG00000000459
bison_bison_bison ENSBBBG00000016087
piliocolobus_tephrosceles ENSPTEG00000033652
piliocolobus_tephrosceles ENSPTEG00000007366
piliocolobus_tephrosceles ENSPTEG00000004481
piliocolobus_tephrosceles ENSPTEG00000011125
rhinopithecus_roxellana ENSRROG00000039793
macaca_mulatta ENSMMUG00000046561
peromyscus_maniculatus_bairdii ENSPEMG00000028878
cricetulus_griseus_crigri-picr ENSCGRG00015014519
sus_scrofa ENSSSCG00000037176
piliocolobus_tephrosceles ENSPTEG00000025361
ursus_maritimus ENSUMAG00000023715
canis_lupus_dingo ENSCAFG00020001643
neovison_vison ENSNVIG00000011374
panthera_tigris_altaica ENSPTIG00000015079
sus_scrofa ENSSSCG00000033962
equus_caballus ENSECAG00000022442
castor_canadensis ENSCCNG00000007557
marmota_marmota_marmota ENSMMMG00000008731
cricetulus_griseus_crigri-picr ENSCGRG00015000847
peromyscus_maniculatus_bairdii ENSPEMG00000014233
mus_spicilegus ENSMSIG00000000943
mus_spicilegus ENSMSIG00000000417
chinchilla_lanigera ENSCLAG00000007800
nannospalax_galili ENSNGAG00000012847
meriones_unguiculatus ENSMUGG00000024583
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100000252
octodon_degus ENSODEG00000014090
cavia_porcellus ENSCPOG00000002434
ochotona_princeps ENSOPRG00000001399
pan_troglodytes ENSPTRG00000050292
pan_paniscus ENSPPAG00000010953
nomascus_leucogenys ENSNLEG00000028817
mandrillus_leucophaeus ENSMLEG00000039164
macaca_mulatta ENSMMUG00000039584
piliocolobus_tephrosceles ENSPTEG00000010874
pan_paniscus ENSPPAG00000039091
microcebus_murinus ENSMICG00000031143
chrysemys_picta_bellii ENSCPBG00000006913
chelonoidis_abingdonii ENSCABG00000015602
apteryx_rowi ENSARWG00000017783
apteryx_owenii ENSAOWG00000013189
monopterus_albus ENSMALG00000017712
hippocampus_comes ENSHCOG00000009436
gadus_morhua ENSGMOG00000019851
gadus_morhua ENSGMOG00000020252
gadus_morhua ENSGMOG00000019988
esox_lucius ENSELUG00000000187
