pelodiscus_sinensis ENSPSIG00000017959
chrysemys_picta_bellii ENSCPBG00000002142
meleagris_gallopavo ENSMGAG00000009712
numida_meleagris ENSNMEG00000014832
anas_platyrhynchos_platyrhynchos ENSAPLG00000022272
cyanistes_caeruleus ENSCCEG00000015418
serinus_canaria ENSSCAG00000005944
melopsittacus_undulatus ENSMUNG00000000360
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100012629
fukomys_damarensis ENSFDAG00000007138
chinchilla_lanigera ENSCLAG00000007912
cavia_aperea ENSCAPG00000016284
cavia_porcellus ENSCPOG00000033847
cricetulus_griseus_crigri_1.0 ENSCGRG00000004275
mandrillus_leucophaeus ENSMLEG00000036972
colobus_angolensis_palliatus ENSCANG00000035602
pan_paniscus ENSPPAG00000040317
saimiri_boliviensis_boliviensis ENSSBOG00000031457
dasypus_novemcinctus ENSDNOG00000046784
echinops_telfairi ENSETEG00000019604
pteropus_vampyrus ENSPVAG00000011825
myotis_lucifugus ENSMLUG00000009603
bos_mutus ENSBMUG00000006020
ovis_aries ENSOARG00000010550
vicugna_pacos ENSVPAG00000004526
ailuropoda_melanoleuca ENSAMEG00000001341
ursus_maritimus ENSUMAG00000018069
canis_lupus_familiaris ENSCAFG00000012338
vulpes_vulpes ENSVVUG00000007899
dasypus_novemcinctus ENSDNOG00000036176
ictidomys_tridecemlineatus ENSSTOG00000022293
spermophilus_dauricus ENSSDAG00000001041
marmota_marmota_marmota ENSMMMG00000000478
loxodonta_africana ENSLAFG00000022517
tupaia_belangeri ENSTBEG00000014078
otolemur_garnettii ENSOGAG00000014684
sarcophilus_harrisii ENSSHAG00000008398
ornithorhynchus_anatinus ENSOANG00000004164
anolis_carolinensis ENSACAG00000006366
cyprinodon_variegatus ENSCVAG00000006275
