kryptolebias_marmoratus ENSKMAG00000021998
paramormyrops_kingsleyae ENSPKIG00000003822
lepisosteus_oculatus ENSLOCG00000002269
tursiops_truncatus ENSTTRG00000003983
ovis_aries ENSOARG00000013248
erinaceus_europaeus ENSEEUG00000002785
pteropus_vampyrus ENSPVAG00000003539
ailuropoda_melanoleuca ENSAMEG00000013457
ursus_americanus ENSUAMG00000021130
homo_sapiens ENSG00000124208
pongo_abelii ENSPPYG00000011123
macaca_mulatta ENSMMUG00000012228
chlorocebus_sabaeus ENSCSAG00000015097
piliocolobus_tephrosceles ENSPTEG00000013879
tupaia_belangeri ENSTBEG00000008732
ochotona_princeps ENSOPRG00000010822
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000089739
procavia_capensis ENSPCAG00000012149
choloepus_hoffmanni ENSCHOG00000003065
bos_mutus ENSBMUG00000011633
bison_bison_bison ENSBBBG00000008727
bos_taurus ENSBTAG00000010135
sus_scrofa ENSSSCG00000027287
myotis_lucifugus ENSMLUG00000022209
neovison_vison ENSNVIG00000007421
ursus_maritimus ENSUMAG00000024453
canis_lupus_familiaris ENSCAFG00000031195
canis_lupus_dingo ENSCAFG00020017489
vulpes_vulpes ENSVVUG00000022420
panthera_pardus ENSPPRG00000021919
panthera_tigris_altaica ENSPTIG00000011419
felis_catus ENSFCAG00000026629
equus_caballus ENSECAG00000015236
equus_asinus_asinus ENSEASG00005023319
prolemur_simus ENSPSMG00000012778
propithecus_coquereli ENSPCOG00000014768
otolemur_garnettii ENSOGAG00000009132
cebus_capucinus_imitator ENSCCAG00000024997
callithrix_jacchus ENSCJAG00000039715
saimiri_boliviensis_boliviensis ENSSBOG00000000313
aotus_nancymaae ENSANAG00000027579
pan_troglodytes ENSPTRG00000040435
pan_paniscus ENSPPAG00000028727
homo_sapiens ENSG00000240849
gorilla_gorilla ENSGGOG00000015114
nomascus_leucogenys ENSNLEG00000029433
rhinopithecus_bieti ENSRBIG00000043990
rhinopithecus_roxellana ENSRROG00000041253
colobus_angolensis_palliatus ENSCANG00000032333
macaca_nemestrina ENSMNEG00000042824
macaca_fascicularis ENSMFAG00000038414
mandrillus_leucophaeus ENSMLEG00000033014
cercocebus_atys ENSCATG00000041753
papio_anubis ENSPANG00000011164
theropithecus_gelada ENSTGEG00000015358
cavia_porcellus ENSCPOG00000023991
cavia_aperea ENSCAPG00000017640
octodon_degus ENSODEG00000006093
chinchilla_lanigera ENSCLAG00000005635
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000005163
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100002819
fukomys_damarensis ENSFDAG00000011001
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025631
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000090213
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024711
mus_spicilegus ENSMSIG00000015756
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026153
rattus_norvegicus ENSRNOG00000060571
meriones_unguiculatus ENSMUGG00000004854
peromyscus_maniculatus_bairdii ENSPEMG00000006010
microtus_ochrogaster ENSMOCG00000010275
cricetulus_griseus_crigri_1.0 ENSCGRG00000013228
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010523
cricetulus_griseus_crigri-picr ENSCGRG00015018731
mesocricetus_auratus ENSMAUG00000016961
jaculus_jaculus ENSJJAG00000002964
castor_canadensis ENSCCNG00000010867
ictidomys_tridecemlineatus ENSSTOG00000016416
oryctolagus_cuniculus ENSOCUG00000003571
loxodonta_africana ENSLAFG00000007392
dasypus_novemcinctus ENSDNOG00000036975
phascolarctos_cinereus ENSPCIG00000008453
notamacropus_eugenii ENSMEUG00000013826
lepidothrix_coronata ENSLCOG00000008259
dromaius_novaehollandiae ENSDNVG00000003658
