gadus_morhua ENSGMOG00000010891
hippocampus_comes ENSHCOG00000008052
mola_mola ENSMMOG00000015760
gasterosteus_aculeatus ENSGACG00000010299
labrus_bergylta ENSLBEG00000011322
monopterus_albus ENSMALG00000004952
mastacembelus_armatus ENSMAMG00000017978
anabas_testudineus ENSATEG00000007294
seriola_dumerili ENSSDUG00000014610
seriola_lalandi_dorsalis ENSSLDG00000013098
scophthalmus_maximus ENSSMAG00000012563
amphiprion_percula ENSAPEG00000000913
amphiprion_ocellaris ENSAOCG00000006875
acanthochromis_polyacanthus ENSAPOG00000019861
stegastes_partitus ENSSPAG00000004896
astatotilapia_calliptera ENSACLG00000013675
pundamilia_nyererei ENSPNYG00000008482
maylandia_zebra ENSMZEG00005016609
haplochromis_burtoni ENSHBUG00000011796
neolamprologus_brichardi ENSNBRG00000018527
oreochromis_niloticus ENSONIG00000013573
amphilophus_citrinellus ENSACIG00000004636
fundulus_heteroclitus ENSFHEG00000001262
cyprinodon_variegatus ENSCVAG00000022472
poecilia_formosa ENSPFOG00000005990
poecilia_latipinna ENSPLAG00000000519
poecilia_mexicana ENSPMEG00000008495
poecilia_reticulata ENSPREG00000020021
xiphophorus_maculatus ENSXMAG00000003836
xiphophorus_couchianus ENSXCOG00000004797
gambusia_affinis ENSGAFG00000009935
kryptolebias_marmoratus ENSKMAG00000012440
oryzias_latipes_asm223467v1 ENSORLG00000017437
oryzias_latipes_asm223469v1 ENSORLG00015018420
oryzias_latipes_asm223471v1 ENSORLG00020001375
oryzias_melastigma ENSOMEG00000021362
mola_mola ENSMMOG00000015764
cynoglossus_semilaevis ENSCSEG00000020438
takifugu_rubripes ENSTRUG00000011584
tetraodon_nigroviridis ENSTNIG00000016365
periophthalmus_magnuspinnatus ENSPMGG00000017164
esox_lucius ENSELUG00000005906
pygocentrus_nattereri ENSPNAG00000018221
astyanax_mexicanus ENSAMXG00000001378
ictalurus_punctatus ENSIPUG00000018404
danio_rerio ENSDARG00000009689
astyanax_mexicanus ENSAMXG00000035129
pygocentrus_nattereri ENSPNAG00000004380
ictalurus_punctatus ENSIPUG00000011453
danio_rerio ENSDARG00000015059
esox_lucius ENSELUG00000004862
paramormyrops_kingsleyae ENSPKIG00000017433
scleropages_formosus ENSSFOG00015012421
paramormyrops_kingsleyae ENSPKIG00000020048
scleropages_formosus ENSSFOG00015001337
scleropages_formosus ENSSFOG00015001316
takifugu_rubripes ENSTRUG00000022485
lepisosteus_oculatus ENSLOCG00000009284
sphenodon_punctatus ENSSPUG00000018314
sphenodon_punctatus ENSSPUG00000018303
sphenodon_punctatus ENSSPUG00000018306
sphenodon_punctatus ENSSPUG00000018310
chelonoidis_abingdonii ENSCABG00000011357
gopherus_agassizii ENSGAGG00000011130
lonchura_striata_domestica ENSLSDG00000003575
calidris_pugnax ENSCPUG00000001002
apteryx_owenii ENSAOWG00000017448
apteryx_haastii ENSAHAG00000001403
latimeria_chalumnae ENSLACG00000018743
pogona_vitticeps ENSPVIG00000006982
anolis_carolinensis ENSACAG00000029141
notechis_scutatus ENSNSUG00000019117
salvator_merianae ENSSMRG00000010209
chrysemys_picta_bellii ENSCPBG00000022371
gopherus_agassizii ENSGAGG00000011124
pelodiscus_sinensis ENSPSIG00000005199
crocodylus_porosus ENSCPRG00005017967
cavia_porcellus ENSCPOG00000013581
