notechis_scutatus ENSNSUG00000013311
pogona_vitticeps ENSPVIG00000009132
salvator_merianae ENSSMRG00000017041
anolis_carolinensis ENSACAG00000015723
sphenodon_punctatus ENSSPUG00000004235
chelonoidis_abingdonii ENSCABG00000004186
gopherus_agassizii ENSGAGG00000004350
chrysemys_picta_bellii ENSCPBG00000023812
pelodiscus_sinensis ENSPSIG00000015945
gallus_gallus ENSGALG00000049399
tursiops_truncatus ENSTTRG00000008374
sus_scrofa ENSSSCG00000013763
capra_hircus ENSCHIG00000014809
ovis_aries ENSOARG00000007462
bos_taurus ENSBTAG00000008841
bos_mutus ENSBMUG00000000150
bison_bison_bison ENSBBBG00000005189
pteropus_vampyrus ENSPVAG00000017548
myotis_lucifugus ENSMLUG00000012992
ursus_americanus ENSUAMG00000007182
ursus_maritimus ENSUMAG00000004671
ailuropoda_melanoleuca ENSAMEG00000013062
canis_lupus_dingo ENSCAFG00020006741
canis_lupus_familiaris ENSCAFG00000016398
vulpes_vulpes ENSVVUG00000026764
neovison_vison ENSNVIG00000006385
mustela_putorius_furo ENSMPUG00000003126
felis_catus ENSFCAG00000014364
panthera_pardus ENSPPRG00000011956
equus_asinus_asinus ENSEASG00005015306
equus_caballus ENSECAG00000016571
sorex_araneus ENSSARG00000004553
pan_troglodytes ENSPTRG00000010573
pan_paniscus ENSPPAG00000042487
homo_sapiens ENSG00000132017
gorilla_gorilla ENSGGOG00000000384
pongo_abelii ENSPPYG00000009630
nomascus_leucogenys ENSNLEG00000013221
rhinopithecus_roxellana ENSRROG00000033775
rhinopithecus_bieti ENSRBIG00000036812
piliocolobus_tephrosceles ENSPTEG00000037174
chlorocebus_sabaeus ENSCSAG00000006394
papio_anubis ENSPANG00000011700
theropithecus_gelada ENSTGEG00000006672
mandrillus_leucophaeus ENSMLEG00000043946
cercocebus_atys ENSCATG00000041636
macaca_fascicularis ENSMFAG00000030070
macaca_mulatta ENSMMUG00000008326
macaca_nemestrina ENSMNEG00000031487
colobus_angolensis_palliatus ENSCANG00000036220
saimiri_boliviensis_boliviensis ENSSBOG00000028396
cebus_capucinus_imitator ENSCCAG00000020314
cebus_capucinus_imitator ENSCCAG00000030809
callithrix_jacchus ENSCJAG00000005014
aotus_nancymaae ENSANAG00000026170
carlito_syrichta ENSTSYG00000037378
propithecus_coquereli ENSPCOG00000016926
prolemur_simus ENSPSMG00000000694
microcebus_murinus ENSMICG00000012026
otolemur_garnettii ENSOGAG00000026882
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007123
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010729
fukomys_damarensis ENSFDAG00000002532
chinchilla_lanigera ENSCLAG00000015146
octodon_degus ENSODEG00000010421
cavia_aperea ENSCAPG00000008492
