chinchilla_lanigera ENSCLAG00000001119
octodon_degus ENSODEG00000015776
cavia_aperea ENSCAPG00000001288
cavia_porcellus ENSCPOG00000015453
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000016807
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100012904
castor_canadensis ENSCCNG00000029779
pan_troglodytes ENSPTRG00000018304
pan_paniscus ENSPPAG00000038759
homo_sapiens ENSG00000151917
gorilla_gorilla ENSGGOG00000000788
pongo_abelii ENSPPYG00000016736
nomascus_leucogenys ENSNLEG00000002914
macaca_fascicularis ENSMFAG00000030448
macaca_mulatta ENSMMUG00000000795
macaca_nemestrina ENSMNEG00000033409
theropithecus_gelada ENSTGEG00000007865
mandrillus_leucophaeus ENSMLEG00000043195
cercocebus_atys ENSCATG00000036894
chlorocebus_sabaeus ENSCSAG00000013396
papio_anubis ENSPANG00000011220
piliocolobus_tephrosceles ENSPTEG00000001356
colobus_angolensis_palliatus ENSCANG00000035245
rhinopithecus_roxellana ENSRROG00000042799
cebus_capucinus_imitator ENSCCAG00000035225
saimiri_boliviensis_boliviensis ENSSBOG00000022779
callithrix_jacchus ENSCJAG00000010332
aotus_nancymaae ENSANAG00000034932
carlito_syrichta ENSTSYG00000036887
prolemur_simus ENSPSMG00000021576
propithecus_coquereli ENSPCOG00000027547
microcebus_murinus ENSMICG00000037952
otolemur_garnettii ENSOGAG00000004372
tupaia_belangeri ENSTBEG00000015887
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000042182
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0014823
mus_spicilegus ENSMSIG00000001969
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014018
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027264
rattus_norvegicus ENSRNOG00000052376
meriones_unguiculatus ENSMUGG00000027132
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020381
cricetulus_griseus_crigri_1.0 ENSCGRG00000016870
mesocricetus_auratus ENSMAUG00000014586
microtus_ochrogaster ENSMOCG00000010367
peromyscus_maniculatus_bairdii ENSPEMG00000016987
nannospalax_galili ENSNGAG00000020217
jaculus_jaculus ENSJJAG00000015751
ictidomys_tridecemlineatus ENSSTOG00000024640
oryctolagus_cuniculus ENSOCUG00000007262
bos_mutus ENSBMUG00000013909
bos_taurus ENSBTAG00000008228
bison_bison_bison ENSBBBG00000016782
ovis_aries ENSOARG00000005869
capra_hircus ENSCHIG00000016519
tursiops_truncatus ENSTTRG00000000920
vicugna_pacos ENSVPAG00000011449
sus_scrofa ENSSSCG00000001498
equus_caballus ENSECAG00000008079
equus_asinus_asinus ENSEASG00005003455
pteropus_vampyrus ENSPVAG00000008623
myotis_lucifugus ENSMLUG00000001178
ursus_americanus ENSUAMG00000004480
ursus_maritimus ENSUMAG00000000237
ailuropoda_melanoleuca ENSAMEG00000006775
neovison_vison ENSNVIG00000006793
mustela_putorius_furo ENSMPUG00000002696
canis_lupus_familiaris ENSCAFG00000002447
canis_lupus_dingo ENSCAFG00020015862
vulpes_vulpes ENSVVUG00000008381
panthera_tigris_altaica ENSPTIG00000018733
panthera_pardus ENSPPRG00000014117
felis_catus ENSFCAG00000000962
sorex_araneus ENSSARG00000014414
choloepus_hoffmanni ENSCHOG00000002301
dasypus_novemcinctus ENSDNOG00000030905
loxodonta_africana ENSLAFG00000020660
echinops_telfairi ENSETEG00000015439
apteryx_haastii ENSAHAG00000010860
apteryx_owenii ENSAOWG00000006478
apteryx_rowi ENSARWG00000006604
nothoprocta_perdicaria ENSNPEG00000008143
dromaius_novaehollandiae ENSDNVG00000011846
anser_brachyrhynchus ENSABRG00000021669
anas_platyrhynchos_platyrhynchos ENSAPLG00000003662
gallus_gallus ENSGALG00000016283
meleagris_gallopavo ENSMGAG00000013890
coturnix_japonica ENSCJPG00005007572
numida_meleagris ENSNMEG00000015060
taeniopygia_guttata ENSTGUG00000012798
lonchura_striata_domestica ENSLSDG00000004361
serinus_canaria ENSSCAG00000008845
parus_major ENSPMJG00000008875
cyanistes_caeruleus ENSCCEG00000001148
zonotrichia_albicollis ENSZALG00000017024
junco_hyemalis ENSJHYG00000015057
ficedula_albicollis ENSFALG00000001729
manacus_vitellinus ENSMVIG00005011930
lepidothrix_coronata ENSLCOG00000003475
melopsittacus_undulatus ENSMUNG00000010796
calidris_pygmaea ENSCPGG00000015448
calidris_pugnax ENSCPUG00000006038
crocodylus_porosus ENSCPRG00005012392
chelonoidis_abingdonii ENSCABG00000010368
gopherus_agassizii ENSGAGG00000025571
chrysemys_picta_bellii ENSCPBG00000022618
pelodiscus_sinensis ENSPSIG00000015163
sphenodon_punctatus ENSSPUG00000006339
monodelphis_domestica ENSMODG00000018724
phascolarctos_cinereus ENSPCIG00000011850
dipodomys_ordii ENSDORG00000003766
lepisosteus_oculatus ENSLOCG00000012643
