cavia_porcellus ENSCPOG00000039173
cavia_aperea ENSCAPG00000012234
chinchilla_lanigera ENSCLAG00000012532
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007048
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100013064
fukomys_damarensis ENSFDAG00000012055
dipodomys_ordii ENSDORG00000025922
microtus_ochrogaster ENSMOCG00000016357
peromyscus_maniculatus_bairdii ENSPEMG00000029164
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011223
cricetulus_griseus_crigri_1.0 ENSCGRG00000010986
cricetulus_griseus_crigri-picr ENSCGRG00015016715
mesocricetus_auratus ENSMAUG00000001783
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021912
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000090223
mus_spicilegus ENSMSIG00000014678
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021006
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016711
meriones_unguiculatus ENSMUGG00000026788
nannospalax_galili ENSNGAG00000016455
jaculus_jaculus ENSJJAG00000013366
spermophilus_dauricus ENSSDAG00000022292
urocitellus_parryii ENSUPAG00010020435
marmota_marmota_marmota ENSMMMG00000004533
ictidomys_tridecemlineatus ENSSTOG00000033674
ochotona_princeps ENSOPRG00000006144
propithecus_coquereli ENSPCOG00000022744
prolemur_simus ENSPSMG00000023144
canis_lupus_familiaris ENSCAFG00000029311
canis_lupus_dingo ENSCAFG00020024321
vulpes_vulpes ENSVVUG00000016329
ursus_maritimus ENSUMAG00000001875
mustela_putorius_furo ENSMPUG00000008663
neovison_vison ENSNVIG00000009784
ailuropoda_melanoleuca ENSAMEG00000006415
panthera_tigris_altaica ENSPTIG00000012652
panthera_pardus ENSPPRG00000004577
felis_catus ENSFCAG00000035623
ovis_aries ENSOARG00000009912
capra_hircus ENSCHIG00000026748
bos_mutus ENSBMUG00000010149
bos_taurus ENSBTAG00000051421
bison_bison_bison ENSBBBG00000001532
tursiops_truncatus ENSTTRG00000010923
sus_scrofa ENSSSCG00000037110
pteropus_vampyrus ENSPVAG00000016868
equus_caballus ENSECAG00000012551
myotis_lucifugus ENSMLUG00000014243
microcebus_murinus ENSMICG00000015516
procavia_capensis ENSPCAG00000006702
spermophilus_dauricus ENSSDAG00000022299
spermophilus_dauricus ENSSDAG00000022305
rattus_norvegicus ENSRNOG00000001628
castor_canadensis ENSCCNG00000007154
ursus_americanus ENSUAMG00000020656
equus_asinus_asinus ENSEASG00005006050
erinaceus_europaeus ENSEEUG00000013620
