marmota_marmota_marmota ENSMMMG00000002511
spermophilus_dauricus ENSSDAG00000010781
nannospalax_galili ENSNGAG00000018047
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011763
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100009170
fukomys_damarensis ENSFDAG00000010269
octodon_degus ENSODEG00000008565
oryctolagus_cuniculus ENSOCUG00000029718
ochotona_princeps ENSOPRG00000017310
dipodomys_ordii ENSDORG00000000770
sorex_araneus ENSSARG00000002778
canis_lupus_dingo ENSCAFG00020002662
canis_lupus_familiaris ENSCAFG00000011235
vulpes_vulpes ENSVVUG00000020262
ursus_maritimus ENSUMAG00000000975
ursus_americanus ENSUAMG00000025851
ailuropoda_melanoleuca ENSAMEG00000008045
mustela_putorius_furo ENSMPUG00000018602
neovison_vison ENSNVIG00000023446
panthera_tigris_altaica ENSPTIG00000006168
panthera_pardus ENSPPRG00000004041
felis_catus ENSFCAG00000022011
equus_caballus ENSECAG00000016906
equus_asinus_asinus ENSEASG00005013136
sus_scrofa ENSSSCG00000001164
vicugna_pacos ENSVPAG00000004279
ovis_aries ENSOARG00000018426
capra_hircus ENSCHIG00000016376
bos_mutus ENSBMUG00000004738
bos_taurus ENSBTAG00000011498
bison_bison_bison ENSBBBG00000004659
tursiops_truncatus ENSTTRG00000009547
myotis_lucifugus ENSMLUG00000015830
pteropus_vampyrus ENSPVAG00000015425
erinaceus_europaeus ENSEEUG00000000968
pan_troglodytes ENSPTRG00000017847
pan_paniscus ENSPPAG00000041452
homo_sapiens ENSG00000096654
gorilla_gorilla ENSGGOG00000004180
pongo_abelii ENSPPYG00000016345
nomascus_leucogenys ENSNLEG00000004444
piliocolobus_tephrosceles ENSPTEG00000037088
colobus_angolensis_palliatus ENSCANG00000007446
rhinopithecus_roxellana ENSRROG00000032055
rhinopithecus_bieti ENSRBIG00000036096
macaca_fascicularis ENSMFAG00000045374
macaca_mulatta ENSMMUG00000008060
macaca_nemestrina ENSMNEG00000045288
chlorocebus_sabaeus ENSCSAG00000007954
theropithecus_gelada ENSTGEG00000002828
papio_anubis ENSPANG00000024972
mandrillus_leucophaeus ENSMLEG00000028257
saimiri_boliviensis_boliviensis ENSSBOG00000008124
cebus_capucinus_imitator ENSCCAG00000021175
aotus_nancymaae ENSANAG00000034182
callithrix_jacchus ENSCJAG00000011235
carlito_syrichta ENSTSYG00000034379
propithecus_coquereli ENSPCOG00000022333
prolemur_simus ENSPSMG00000015352
microcebus_murinus ENSMICG00000008458
otolemur_garnettii ENSOGAG00000004175
choloepus_hoffmanni ENSCHOG00000001902
dasypus_novemcinctus ENSDNOG00000018392
loxodonta_africana ENSLAFG00000015545
procavia_capensis ENSPCAG00000005688
echinops_telfairi ENSETEG00000002837
