rhinopithecus_bieti ENSRBIG00000030242
rhinopithecus_roxellana ENSRROG00000031248
colobus_angolensis_palliatus ENSCANG00000032944
saimiri_boliviensis_boliviensis ENSSBOG00000019604
aotus_nancymaae ENSANAG00000036694
carlito_syrichta ENSTSYG00000030282
carlito_syrichta ENSTSYG00000030366
cebus_capucinus_imitator ENSCCAG00000017225
cebus_capucinus_imitator ENSCCAG00000011776
saimiri_boliviensis_boliviensis ENSSBOG00000036407
aotus_nancymaae ENSANAG00000019642
aotus_nancymaae ENSANAG00000019776
gorilla_gorilla ENSGGOG00000043209
pan_paniscus ENSPPAG00000031879
carlito_syrichta ENSTSYG00000028588
carlito_syrichta ENSTSYG00000026281
theropithecus_gelada ENSTGEG00000017738
papio_anubis ENSPANG00000033606
theropithecus_gelada ENSTGEG00000017757
cercocebus_atys ENSCATG00000043097
mandrillus_leucophaeus ENSMLEG00000028847
theropithecus_gelada ENSTGEG00000028433
papio_anubis ENSPANG00000005062
macaca_nemestrina ENSMNEG00000013886
macaca_mulatta ENSMMUG00000012900
macaca_nemestrina ENSMNEG00000043162
macaca_fascicularis ENSMFAG00000039544
piliocolobus_tephrosceles ENSPTEG00000028841
theropithecus_gelada ENSTGEG00000028307
pan_paniscus ENSPPAG00000032174
pan_troglodytes ENSPTRG00000047568
nomascus_leucogenys ENSNLEG00000028052
carlito_syrichta ENSTSYG00000036263
microcebus_murinus ENSMICG00000048114
dipodomys_ordii ENSDORG00000027865
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013259
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013265
cricetulus_griseus_crigri-picr ENSCGRG00015012291
cricetulus_griseus_crigri-picr ENSCGRG00015011880
cricetulus_griseus_crigri-picr ENSCGRG00015003339
cricetulus_griseus_crigri-picr ENSCGRG00015013005
cricetulus_griseus_crigri-picr ENSCGRG00015010150
cricetulus_griseus_crigri-picr ENSCGRG00015011866
cricetulus_griseus_crigri_1.0 ENSCGRG00000000645
peromyscus_maniculatus_bairdii ENSPEMG00000008635
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000093861
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000094335
mus_spicilegus ENSMSIG00000009960
mus_spicilegus ENSMSIG00000005447
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000095497
rattus_norvegicus ENSRNOG00000056179
rattus_norvegicus ENSRNOG00000053228
rattus_norvegicus ENSRNOG00000060654
rattus_norvegicus ENSRNOG00000045682
mus_spicilegus ENSMSIG00000020312
peromyscus_maniculatus_bairdii ENSPEMG00000028930
peromyscus_maniculatus_bairdii ENSPEMG00000027215
peromyscus_maniculatus_bairdii ENSPEMG00000031197
peromyscus_maniculatus_bairdii ENSPEMG00000027633
peromyscus_maniculatus_bairdii ENSPEMG00000022123
peromyscus_maniculatus_bairdii ENSPEMG00000027479
microtus_ochrogaster ENSMOCG00000001452
rattus_norvegicus ENSRNOG00000049501
rattus_norvegicus ENSRNOG00000046592
rattus_norvegicus ENSRNOG00000038336
rattus_norvegicus ENSRNOG00000049193
rattus_norvegicus ENSRNOG00000046284
rattus_norvegicus ENSRNOG00000048067
rattus_norvegicus ENSRNOG00000058405
rattus_norvegicus ENSRNOG00000049185
rattus_norvegicus ENSRNOG00000045599
rattus_norvegicus ENSRNOG00000049268
rattus_norvegicus ENSRNOG00000047920
rattus_norvegicus ENSRNOG00000060746
rattus_norvegicus ENSRNOG00000049049
peromyscus_maniculatus_bairdii ENSPEMG00000030096
mus_spicilegus ENSMSIG00000017341
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000076535
rattus_norvegicus ENSRNOG00000046324
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012578
cricetulus_griseus_crigri-picr ENSCGRG00015007714
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013132
cricetulus_griseus_crigri-picr ENSCGRG00015002210
cricetulus_griseus_crigri-picr ENSCGRG00015002376
