poecilia_mexicana ENSPMEG00000019240
poecilia_latipinna ENSPLAG00000019362
poecilia_formosa ENSPFOG00000004387
poecilia_reticulata ENSPREG00000016776
xiphophorus_maculatus ENSXMAG00000005276
xiphophorus_couchianus ENSXCOG00000002990
gambusia_affinis ENSGAFG00000020010
fundulus_heteroclitus ENSFHEG00000015276
fundulus_heteroclitus ENSFHEG00000015472
cyprinodon_variegatus ENSCVAG00000022475
kryptolebias_marmoratus ENSKMAG00000016111
oryzias_latipes_asm223471v1 ENSORLG00020001393
oryzias_latipes_asm223467v1 ENSORLG00000011913
oryzias_latipes_asm223469v1 ENSORLG00015021655
oryzias_melastigma ENSOMEG00000016356
maylandia_zebra ENSMZEG00005016079
labrus_bergylta ENSLBEG00000027982
gasterosteus_aculeatus ENSGACG00000019333
tetraodon_nigroviridis ENSTNIG00000002695
takifugu_rubripes ENSTRUG00000008370
amphiprion_ocellaris ENSAOCG00000020704
amphiprion_percula ENSAPEG00000023413
acanthochromis_polyacanthus ENSAPOG00000000452
stegastes_partitus ENSSPAG00000023315
astatotilapia_calliptera ENSACLG00000013874
maylandia_zebra ENSMZEG00005028570
pundamilia_nyererei ENSPNYG00000020311
haplochromis_burtoni ENSHBUG00000003234
neolamprologus_brichardi ENSNBRG00000019241
oreochromis_niloticus ENSONIG00000011995
amphilophus_citrinellus ENSACIG00000009674
mola_mola ENSMMOG00000002762
mastacembelus_armatus ENSMAMG00000023330
monopterus_albus ENSMALG00000014177
anabas_testudineus ENSATEG00000023605
scophthalmus_maximus ENSSMAG00000015745
cynoglossus_semilaevis ENSCSEG00000003165
seriola_lalandi_dorsalis ENSSLDG00000013682
seriola_lalandi_dorsalis ENSSLDG00000005060
seriola_dumerili ENSSDUG00000019438
hippocampus_comes ENSHCOG00000013196
periophthalmus_magnuspinnatus ENSPMGG00000015757
gadus_morhua ENSGMOG00000002102
esox_lucius ENSELUG00000019293
pygocentrus_nattereri ENSPNAG00000010833
astyanax_mexicanus ENSAMXG00000018234
ictalurus_punctatus ENSIPUG00000020954
danio_rerio ENSDARG00000070230
paramormyrops_kingsleyae ENSPKIG00000016756
scleropages_formosus ENSSFOG00015022332
lepisosteus_oculatus ENSLOCG00000015053
notamacropus_eugenii ENSMEUG00000003469
phascolarctos_cinereus ENSPCIG00000025304
sarcophilus_harrisii ENSSHAG00000008627
monodelphis_domestica ENSMODG00000002071
erinaceus_europaeus ENSEEUG00000004288
sorex_araneus ENSSARG00000013630
echinops_telfairi ENSETEG00000011079
oryctolagus_cuniculus ENSOCUG00000006962
ochotona_princeps ENSOPRG00000009073
macaca_fascicularis ENSMFAG00000040964
macaca_mulatta ENSMMUG00000005797
macaca_nemestrina ENSMNEG00000032077
papio_anubis ENSPANG00000018236
theropithecus_gelada ENSTGEG00000010621
cercocebus_atys ENSCATG00000016973
mandrillus_leucophaeus ENSMLEG00000039184
chlorocebus_sabaeus ENSCSAG00000002986
rhinopithecus_roxellana ENSRROG00000034412
rhinopithecus_bieti ENSRBIG00000034732
piliocolobus_tephrosceles ENSPTEG00000016598
pan_paniscus ENSPPAG00000036081
pan_troglodytes ENSPTRG00000005382
homo_sapiens ENSG00000136010
pongo_abelii ENSPPYG00000004898
nomascus_leucogenys ENSNLEG00000006586
gorilla_gorilla ENSGGOG00000011316
colobus_angolensis_palliatus ENSCANG00000011511
cebus_capucinus_imitator ENSCCAG00000020572
saimiri_boliviensis_boliviensis ENSSBOG00000030223
callithrix_jacchus ENSCJAG00000014729
aotus_nancymaae ENSANAG00000029853
carlito_syrichta ENSTSYG00000013894
prolemur_simus ENSPSMG00000011234
microcebus_murinus ENSMICG00000011711
propithecus_coquereli ENSPCOG00000019575
otolemur_garnettii ENSOGAG00000004847
ovis_aries ENSOARG00000017047
capra_hircus ENSCHIG00000019598
bos_mutus ENSBMUG00000007607
bos_taurus ENSBTAG00000006326
bison_bison_bison ENSBBBG00000016382
tursiops_truncatus ENSTTRG00000016966
sus_scrofa ENSSSCG00000000839
vicugna_pacos ENSVPAG00000010976
equus_caballus ENSECAG00000023888
equus_asinus_asinus ENSEASG00005020936
myotis_lucifugus ENSMLUG00000007263
pteropus_vampyrus ENSPVAG00000017646
ursus_americanus ENSUAMG00000005033
ursus_maritimus ENSUMAG00000018417
ailuropoda_melanoleuca ENSAMEG00000006782
mustela_putorius_furo ENSMPUG00000012098
neovison_vison ENSNVIG00000010886
canis_lupus_familiaris ENSCAFG00000001911
canis_lupus_dingo ENSCAFG00020005589
vulpes_vulpes ENSVVUG00000020845
panthera_pardus ENSPPRG00000003194
panthera_tigris_altaica ENSPTIG00000016186
felis_catus ENSFCAG00000001459
loxodonta_africana ENSLAFG00000014160
procavia_capensis ENSPCAG00000005242
dasypus_novemcinctus ENSDNOG00000017237
choloepus_hoffmanni ENSCHOG00000005123
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000020256
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016489
mus_spicilegus ENSMSIG00000001571
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015670
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031414
rattus_norvegicus ENSRNOG00000008586
meriones_unguiculatus ENSMUGG00000020245
peromyscus_maniculatus_bairdii ENSPEMG00000016164
microtus_ochrogaster ENSMOCG00000006729
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012721
cricetulus_griseus_crigri_1.0 ENSCGRG00000003053
cricetulus_griseus_crigri-picr ENSCGRG00015012648
cricetulus_griseus_crigri-picr ENSCGRG00015022662
mesocricetus_auratus ENSMAUG00000011366
nannospalax_galili ENSNGAG00000020174
jaculus_jaculus ENSJJAG00000014933
chinchilla_lanigera ENSCLAG00000006653
octodon_degus ENSODEG00000012884
cavia_porcellus ENSCPOG00000010497
cavia_aperea ENSCAPG00000004109
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000005088
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018326
fukomys_damarensis ENSFDAG00000013211
spermophilus_dauricus ENSSDAG00000022068
urocitellus_parryii ENSUPAG00010002279
ictidomys_tridecemlineatus ENSSTOG00000008471
marmota_marmota_marmota ENSMMMG00000017239
castor_canadensis ENSCCNG00000015363
dipodomys_ordii ENSDORG00000007732
ornithorhynchus_anatinus ENSOANG00000001804
ornithorhynchus_anatinus ENSOANG00000020594
pogona_vitticeps ENSPVIG00000014454
anolis_carolinensis ENSACAG00000015729
notechis_scutatus ENSNSUG00000013263
salvator_merianae ENSSMRG00000015905
sphenodon_punctatus ENSSPUG00000004266
taeniopygia_guttata ENSTGUG00000011095
lonchura_striata_domestica ENSLSDG00000014712
serinus_canaria ENSSCAG00000002993
zonotrichia_albicollis ENSZALG00000001508
junco_hyemalis ENSJHYG00000008073
ficedula_albicollis ENSFALG00000013444
cyanistes_caeruleus ENSCCEG00000007147
parus_major ENSPMJG00000008748
manacus_vitellinus ENSMVIG00005017718
lepidothrix_coronata ENSLCOG00000009242
calidris_pugnax ENSCPUG00000008374
calidris_pugnax ENSCPUG00000014911
calidris_pygmaea ENSCPGG00000011245
melopsittacus_undulatus ENSMUNG00000001839
anser_brachyrhynchus ENSABRG00000004880
anas_platyrhynchos_platyrhynchos ENSAPLG00000008126
gallus_gallus ENSGALG00000012691
coturnix_japonica ENSCJPG00005018295
meleagris_gallopavo ENSMGAG00000012924
numida_meleagris ENSNMEG00000011981
apteryx_haastii ENSAHAG00000006049
apteryx_owenii ENSAOWG00000011972
apteryx_rowi ENSARWG00000007356
dromaius_novaehollandiae ENSDNVG00000007131
nothoprocta_perdicaria ENSNPEG00000015759
crocodylus_porosus ENSCPRG00005018375
gopherus_agassizii ENSGAGG00000007152
chelonoidis_abingdonii ENSCABG00000003575
chrysemys_picta_bellii ENSCPBG00000023220
xenopus_tropicalis ENSXETG00000001886
latimeria_chalumnae ENSLACG00000004201
petromyzon_marinus ENSPMAG00000004042
